System,Avg Duration (ms),Std Duration (ms),Avg Server (ms),Std Server (ms),Server (%),Avg Fwd (ms),Std Fwd (ms),Fwd (%),Avg Seq (ms),Std Seq (ms),Seq (%),Avg MH orderer (ms),Std MH orderer (ms),MH orderer (%),Avg Log man (ms),Std Log man (ms),Log man (%),Avg Sched (ms),Std Sched (ms),Sched (%),Avg Lck man (ms),Std Lck man (ms),Lck man (%),Avg Worker (ms),Std Worker (ms),Worker (%),Avg Other (ms),Std Other (ms),Other (%),SP_SH Avg Duration (ms),SP_SH Std Duration (ms),SP_SH Avg Server (ms),SP_SH Std Server (ms),SP_SH Server (%),SP_SH Avg Fwd (ms),SP_SH Std Fwd (ms),SP_SH Fwd (%),SP_SH Avg Seq (ms),SP_SH Std Seq (ms),SP_SH Seq (%),SP_SH Avg MH orderer (ms),SP_SH Std MH orderer (ms),SP_SH MH orderer (%),SP_SH Avg Log man (ms),SP_SH Std Log man (ms),SP_SH Log man (%),SP_SH Avg Sched (ms),SP_SH Std Sched (ms),SP_SH Sched (%),SP_SH Avg Lck man (ms),SP_SH Std Lck man (ms),SP_SH Lck man (%),SP_SH Avg Worker (ms),SP_SH Std Worker (ms),SP_SH Worker (%),SP_SH Avg Other (ms),SP_SH Std Other (ms),SP_SH Other (%),MP_SH Avg Duration (ms),MP_SH Std Duration (ms),MP_SH Avg Server (ms),MP_SH Std Server (ms),MP_SH Server (%),MP_SH Avg Fwd (ms),MP_SH Std Fwd (ms),MP_SH Fwd (%),MP_SH Avg Seq (ms),MP_SH Std Seq (ms),MP_SH Seq (%),MP_SH Avg MH orderer (ms),MP_SH Std MH orderer (ms),MP_SH MH orderer (%),MP_SH Avg Log man (ms),MP_SH Std Log man (ms),MP_SH Log man (%),MP_SH Avg Sched (ms),MP_SH Std Sched (ms),MP_SH Sched (%),MP_SH Avg Lck man (ms),MP_SH Std Lck man (ms),MP_SH Lck man (%),MP_SH Avg Worker (ms),MP_SH Std Worker (ms),MP_SH Worker (%),MP_SH Avg Other (ms),MP_SH Std Other (ms),MP_SH Other (%),MP_MH Avg Duration (ms),MP_MH Std Duration (ms),MP_MH Avg Server (ms),MP_MH Std Server (ms),MP_MH Server (%),MP_MH Avg Fwd (ms),MP_MH Std Fwd (ms),MP_MH Fwd (%),MP_MH Avg Seq (ms),MP_MH Std Seq (ms),MP_MH Seq (%),MP_MH Avg MH orderer (ms),MP_MH Std MH orderer (ms),MP_MH MH orderer (%),MP_MH Avg Log man (ms),MP_MH Std Log man (ms),MP_MH Log man (%),MP_MH Avg Sched (ms),MP_MH Std Sched (ms),MP_MH Sched (%),MP_MH Avg Lck man (ms),MP_MH Std Lck man (ms),MP_MH Lck man (%),MP_MH Avg Worker (ms),MP_MH Std Worker (ms),MP_MH Worker (%),MP_MH Avg Other (ms),MP_MH Std Other (ms),MP_MH Other (%)
janus,217.7469,149.46519,0.08907,0.19258,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.74759,142.03343,0.89438,20.34143,54.79597,0.09342,2.60958,10.93933,0.01198,190.73983,157.88791,0.00056,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.74968,158.58393,0.98957,0.02494,0.0109,0.00013,2.019,8.98192,0.01059,298.76813,78.55839,0.35461,0.23465,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.74132,72.27483,0.71206,81.29089,85.00719,0.27209,4.38131,15.50893,0.01466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slog,154.36887,119.47862,0.34511,0.82012,0.00224,0.37631,0.33467,0.00244,5.16359,5.06286,0.03345,0.82201,1.59994,0.00532,0.17735,0.32941,0.00115,0.00076,0.00128,0.0,1.03828,5.47834,0.00673,0.36024,0.62484,0.00233,146.08521,118.05782,0.94634,157.63504,124.18925,0.00058,0.00019,0.0,0.30861,0.34132,0.00196,5.42804,4.7014,0.03443,0.0,0.0,0.0,0.1191,0.29828,0.00076,0.00029,8e-05,0.0,0.00786,0.00379,5e-05,0.02042,0.00869,0.00013,151.75013,123.21464,0.96267,134.92521,109.92888,1.08285,0.98088,0.00803,0.50657,0.35896,0.00375,5.45162,7.6337,0.0404,0.0,0.0,0.0,0.12214,0.18701,0.00091,0.0005,0.00018,0.0,0.00769,0.00429,6e-05,1.00285,0.71265,0.00743,126.75099,107.12922,0.93942,177.71496,144.16877,1.18292,1.5773,0.00666,0.45485,0.3667,0.00256,4.32981,2.49675,0.02436,3.26887,1.08594,0.01839,0.56048,0.49292,0.00315,0.0018,0.00058,1e-05,4.14664,8.83385,0.02333,1.3533,0.53498,0.00762,162.41628,144.17446,0.91391
calvin,115.56736,113.63496,0.0802,0.2115,0.00069,0.01701,0.00591,0.00015,3.20143,1.8454,0.0277,0.0,0.0,0.0,1.04029,4.80027,0.009,0.00037,0.00019,0.0,0.00957,0.00651,8e-05,0.19077,0.37192,0.00165,111.02773,113.92349,0.96072,116.49479,113.22123,0.00049,0.00018,0.0,0.01735,0.00638,0.00015,3.27943,1.92629,0.02815,0.0,0.0,0.0,1.28267,5.38127,0.01101,0.00032,0.00014,0.0,0.00956,0.00683,8e-05,0.02414,0.01365,0.00021,111.88083,113.7065,0.96039,112.07849,117.93394,0.38007,0.31924,0.00339,0.01575,0.00348,0.00014,2.90799,1.50715,0.02595,0.0,0.0,0.0,0.12847,0.13769,0.00115,0.00055,0.00022,0.0,0.00961,0.00525,9e-05,0.81761,0.40217,0.00729,107.81842,117.5008,0.96199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detock,286.47384,201.1683,0.30212,0.9377,0.00105,0.55596,0.95753,0.00194,129.85774,157.41389,0.4533,0.0,0.0,0.0,3.88286,8.92867,0.01355,0.0004,0.00032,0.0,18.76919,58.89283,0.06552,15.83144,44.29389,0.05526,117.27413,85.41338,0.40937,245.57806,204.96436,0.00067,0.0003,0.0,0.51001,1.08063,0.00208,152.20487,165.02124,0.61978,0.0,0.0,0.0,2.90736,9.51485,0.01184,0.00029,0.00011,0.0,0.01014,0.00594,4e-05,0.01954,0.00995,8e-05,89.92518,53.66762,0.36618,325.96204,201.75494,1.83758,1.67303,0.00564,0.85177,0.53694,0.00261,157.26708,151.19001,0.48247,0.0,0.0,0.0,2.01265,1.43031,0.00617,0.0003,0.00012,0.0,0.00708,0.00639,2e-05,69.7585,31.5331,0.21401,94.22707,48.56101,0.28907,447.65306,61.64079,0.18992,0.07894,0.00042,0.95979,0.63574,0.00214,6.52569,2.35033,0.01458,0.0,0.0,0.0,13.25912,7.75823,0.02962,0.00089,0.00079,0.0,48.61583,95.50373,0.1086,116.27433,155.39454,0.25974,261.82749,105.61207,0.58489
