Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
538112157548544,False,False,1750101808680149196,1750101809150582999,470.4338,0.00061,0.49795,0.0,321.25339,2.93315,0.00028,0.00792,0.01142,0.0,145.72906
330278690095105,False,False,1750101798583957490,1750101798685477106,101.51962,0.00041,0.08644,0.0,7.30834,0.06379,0.0003,0.00804,0.01545,0.0,94.03685
227182295121920,False,False,1750101793752582394,1750101794224496400,471.91401,0.00057,0.41156,0.0,343.58185,0.98399,0.00028,0.00434,0.00948,0.0,126.92193
554119500660736,False,False,1750101809546742866,1750101810078618992,531.87613,0.00075,0.52203,0.0,419.65312,1.51028,0.00027,0.00854,0.02061,0.0,110.16053
491245474414593,False,False,1750101806336723752,1750101806355907693,19.18394,0.00047,0.01228,0.0,2.05737,0.03468,0.00062,0.00599,0.0132,0.0,17.05933
304444461809665,False,False,1750101797227162919,1750101797248353595,21.19068,0.00036,0.02236,0.0,2.16781,0.04489,0.00039,0.0038,0.01295,0.0,18.93811
1144273776934912,False,False,1750101837534315112,1750101837825201065,290.88595,0.00155,0.21418,0.0,154.73065,2.19418,0.00026,0.0126,0.02344,0.0,133.70908
311733021310977,False,False,1750101797649950131,1750101797725371088,75.42096,0.00042,0.07777,0.0,1.88588,0.08605,0.00028,0.02006,0.02953,0.0,73.32097
204204220088321,True,False,1750101792779403543,1750101792861708451,82.30491,0.8955,2.1286,0.0,1.75431,0.29797,0.0003,0.00421,58.42877,0.0,18.79524
911211671584769,False,False,1750101826666046246,1750101826688224567,22.17832,0.00033,1.14456,0.0,6.71992,0.03162,0.00024,0.01068,0.01945,0.0,14.25152
1095822250868736,True,True,1750101835259828513,1750101835696657166,436.82865,0.28899,0.27231,0.0,8.38093,7.10459,0.00055,0.00658,136.14691,0.0,284.62778
227895259693057,True,False,1750101793766444220,1750101793845216182,78.77196,0.44183,0.99974,0.0,4.55376,0.04472,0.00026,0.00653,56.6619,0.0,16.06321
591678989664257,False,False,1750101811198706136,1750101811221605481,22.89935,0.00058,0.483,0.0,5.38146,0.06432,0.00027,0.01277,0.02081,0.0,16.93612
980051407405056,False,False,1750101829908546314,1750101830289997184,381.45087,0.00073,0.01677,0.0,255.51323,2.68566,0.00026,0.00777,0.01602,0.0,123.21041
53888954662912,False,True,1750101785942643212,1750101786286208972,343.56576,0.00057,0.01885,0.0,5.71726,4.91294,0.00084,0.00312,0.03602,0.0,332.87617
837162140434433,False,True,1750101823035612638,1750101823536690604,501.07797,0.00065,0.0,0.0,5.9816,8.73879,0.00124,175.34267,0.06447,0.0,310.94855
697889235927040,False,False,1750101816468360435,1750101816960103026,491.74259,0.00081,0.01774,0.0,379.32917,1.56153,0.00014,0.00898,0.01089,0.0,110.81333
499109559533569,False,True,1750101806729224218,1750101807149232652,420.00843,0.00016,0.0,0.0,6.7187,7.43375,0.00096,0.00426,0.0299,0.0,405.82071
61177514164224,False,False,1750101786280570828,1750101786703726877,423.15605,0.00065,0.52741,0.0,305.29303,1.4269,0.00013,0.00417,0.00865,0.0,115.89511
730883174694912,True,True,1750101818022923771,1750101818494257664,471.33389,0.1223,1.8112,0.0,6.12485,22.6843,0.00071,2.59374,328.61106,0.0,109.38573
824126914691072,False,False,1750101822465384019,1750101822978926353,513.54233,0.00041,1.52365,0.0,366.05192,2.32166,0.00028,0.00901,0.02526,0.0,143.61015
802115207299072,False,False,1750101821430753296,1750101821902179852,471.42656,0.00065,0.01665,0.0,356.53007,1.57439,0.00013,0.00543,0.01333,0.0,113.2859
615803820965889,False,False,1750101812499733988,1750101812670854367,171.12038,0.0016,0.01649,0.0,4.63084,57.75269,0.00043,0.00662,0.01912,0.0,108.69258
987352851808256,False,False,1750101830334546624,1750101830766855861,432.30924,0.00089,0.01271,0.0,322.51481,1.66647,0.00025,0.00661,0.01829,0.0,108.08919
171128676941825,False,True,1750101791049347751,1750101791456790088,407.44234,0.00031,0.0,0.0,8.9552,6.34128,0.00086,99.75906,0.01998,0.0,292.36565
947972296671233,False,False,1750101828443632416,1750101828571051919,127.4195,0.00056,0.03746,0.0,3.53557,0.07927,0.00026,0.02332,0.0424,0.0,123.70065
756880611737600,True,False,1750101819146986295,1750101819579724131,432.73784,0.64762,0.46197,0.0,172.59168,3.37359,0.00013,0.00255,105.5784,0.0,150.08189
578721073332224,False,False,1750101810645826682,1750101811117857717,472.03103,0.00039,0.32444,0.0,316.15228,2.27249,0.00028,0.01466,0.03705,0.0,153.22945
1044256873512961,False,True,1750101832880895505,1750101833309527638,428.63213,0.00018,0.0,0.0,9.87095,9.99159,0.00122,102.45224,0.05803,0.0,306.25792
769589419966465,False,False,1750101819721182089,1750101819727513348,6.33126,0.00058,0.24427,0.0,5.04036,0.0,0.0,0.0,0.0,0.0,1.04605
700715324407809,False,True,1750101816540998539,1750101816990373131,449.37459,0.00089,1.27398,0.0,3.44946,6.18374,0.00076,278.55894,0.03653,0.0,159.87029
83403969921025,True,False,1750101787187287203,1750101787261488814,74.20161,0.17082,0.5622,0.0,5.00532,0.04824,0.00026,0.00477,42.32722,0.0,26.08277
92165703204864,False,False,1750101787608759981,1750101788025578420,416.81844,0.00053,0.02446,0.0,295.40802,2.23431,0.00014,0.0135,0.02475,0.0,119.11274
853598980276224,True,False,1750101823912944904,1750101824446547684,533.60278,1.90558,0.60625,0.0,329.81193,1.8901,0.00025,0.00421,87.04678,0.0,112.33768
1114045797105664,False,False,1750101836132888855,1750101836550993496,418.10464,0.00078,0.36026,0.0,270.45431,3.7746,0.00035,0.01057,0.02775,0.0,143.47602
1163223172644865,True,True,1750101838489440944,1750101839003597845,514.1569,0.13055,0.90548,0.0,3.35801,16.54872,0.00204,191.85972,0.19855,0.0,301.15383
620476745383937,False,False,1750101812619411579,1750101812702607600,83.19602,0.00047,0.01341,0.0,2.69756,0.16789,0.00027,0.01213,0.0212,0.0,80.28308
1298299894104065,False,False,1750101844547587210,1750101844709457411,161.8702,0.00115,0.05117,0.0,7.79651,7.95999,0.00043,0.02473,0.0433,0.0,145.99292
1186888442445824,True,False,1750101839524675034,1750101839833993375,309.31834,3.05545,0.36554,0.0,87.61093,3.58387,0.00026,0.00271,92.28929,0.0,122.41029
1004747469357057,False,False,1750101831012620286,1750101831030689426,18.06914,0.00057,0.02746,0.0,1.75295,0.05332,0.00026,0.00741,0.01147,0.0,16.21569
113498805764096,False,False,1750101788552504165,1750101789032831767,480.3276,0.00061,0.36318,0.0,338.00975,1.4863,0.00026,0.0099,0.03122,0.0,140.42638
185473867710465,False,True,1750101791876238067,1750101792277823220,401.58515,0.00036,1.78654,0.0,9.1087,5.18464,0.00085,189.91524,0.03341,0.0,195.5554
281131379326977,False,False,1750101796201247245,1750101796220607304,19.36006,0.00037,0.73304,0.0,3.0188,0.04574,0.00027,0.0218,0.03818,0.0,15.50186
293556719714305,False,False,1750101796719690767,1750101796758299959,38.60919,0.00033,0.01609,0.0,7.1892,0.03403,0.00028,0.01494,0.01069,0.0,31.34363
944751071199232,False,False,1750101828353294223,1750101828914667703,561.37348,0.00057,3.56493,0.0,433.85783,1.65199,0.00042,0.00788,0.01404,0.0,122.27582
997055182929920,False,False,1750101830794727940,1750101831257353598,462.62566,0.0015,0.03909,0.0,357.58709,1.56236,0.00028,0.01046,0.01848,0.0,103.40638
304942678016001,False,False,1750101797237882369,1750101797252229621,14.34725,0.00034,0.02402,0.0,4.93861,0.03087,0.00013,0.00531,0.01383,0.0,9.33414
744468156252160,False,False,1750101818594547945,1750101819065875456,471.32751,0.00064,0.91166,0.0,306.32897,2.90911,0.00053,0.00933,0.0138,0.0,161.15347
1158545953259520,False,False,1750101838342316929,1750101838841130810,498.81388,0.00066,0.10838,0.0,373.82149,2.1551,0.00027,0.0101,0.02292,0.0,122.69496
961003227447296,True,False,1750101829015958591,1750101829425193445,409.23485,1.62185,0.60232,0.0,188.90853,2.74745,0.00025,0.0045,102.00548,0.0,113.34447
431322090700800,True,False,1750101803566619573,1750101804197804167,631.18459,0.00486,0.38095,0.0,432.30026,1.82457,0.00028,0.01599,76.44055,0.0,120.21714
1262312363130881,False,False,1750101842885262035,1750101842895663873,10.40184,0.00103,1.44454,0.0,4.23379,0.0483,0.00027,0.01746,0.03085,0.0,4.62559
1297483850317824,False,True,1750101844527638181,1750101845033652733,506.01455,0.00062,0.32443,0.0,5.90711,4.20393,0.00131,243.35734,0.0977,0.0,252.1221
117407226003456,True,True,1750101788637211257,1750101789005504064,368.29281,0.21786,0.85016,0.0,8.23898,6.69889,0.00025,0.00327,0.14079,0.0,352.14261
1188520530018305,False,False,1750101839717850583,1750101839929841554,211.99097,0.00095,0.07235,0.0,4.78363,55.1726,0.00041,0.00958,0.04322,0.0,151.90823
274963806289921,False,False,1750101796072214341,1750101796132728803,60.51446,0.00049,6.53062,0.0,0.14386,0.0449,0.00029,0.01216,0.01829,0.0,53.76384
239186728714241,False,False,1750101794279973658,1750101794321324027,41.35037,0.00056,0.02006,0.0,5.21826,0.03739,0.00029,0.0194,0.02027,0.0,36.03415
177644142329857,False,False,1750101791428868327,1750101791438553977,9.68565,0.00059,0.89328,0.0,4.84451,0.0491,0.00027,0.01082,0.0171,0.0,3.86998
1217975415734272,False,True,1750101841034117394,1750101841483294518,449.17712,0.0008,0.01724,0.0,12.36491,35.55699,0.00138,232.95545,0.03044,0.0,168.24992
559574109126656,False,False,1750101809683611547,1750101810123968345,440.3568,0.00039,1.09592,0.0,282.30215,3.40358,0.00029,0.00705,0.01869,0.0,153.52872
639881407627265,False,False,1750101813587437231,1750101813691905821,104.46859,0.00067,0.06259,0.0,1.51118,0.06339,0.00034,0.00894,0.01683,0.0,102.80465
253368710725633,False,False,1750101794822641400,1750101794832857109,10.21571,0.00039,0.02011,0.0,6.3201,0.04348,0.00029,0.00628,0.00993,0.0,3.81513
1053851830452224,False,False,1750101833323046413,1750101833715556247,392.50983,0.00053,0.398,0.0,242.22427,4.29766,0.00027,0.00627,0.0115,0.0,145.57132
1193799044825089,False,True,1750101839857069401,1750101840322072778,465.00338,0.0003,0.0,0.0,6.99789,9.25946,0.00143,177.77848,0.07167,0.0,270.89415
