x_var,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
1.0,168.0,6.0820905,10.239975549999915,138.81773787999998,6.0820905,10.239975549999915,138.81773787999998,,,,,,,0.0,2370322.3,6.323847892857142,17772.0,98.8179445,208.7174495,244.89129175000025,33.097061,70.6192871,86.23562651000009,181.430105,213.0983234,332.8012020199991,193.246045,223.41381479999998,362.630526,0.0,270413024.43333334,0.3614258658939155,12986.0,140.695227,192.9938606000001,487.49945816000036,140.695227,192.9938606000001,487.49945816000036,,,,,,,0.0,146633895.18333334,0.3039949101853278,18576.0,75.123686,212.02526819999997,324.0085421199984,15.399357,38.122936599999996,58.759871380000035,184.324384,223.55532739999998,492.2016688799998,187.599516,226.270805,506.6217179599997,0.0,268368544.78333333,0.343581551230979
250.0,,,,,,,,,,,,,,,,,18669.0,87.964312,210.86824879999963,4435.727332899995,12.188091499999999,31.377978299999985,60.020327670000015,168.03029750000002,576.7435054499999,11213.841406170008,171.549244,619.0843682999889,10832.781629440024,0.0,287297145.46666664,0.36214810163015343,13835.0,138.417371,167.79736799999992,259.7049671499996,138.417371,167.79736799999992,259.7049671499996,,,,,,,0.0,135390231.43333334,0.2690859868931454,18732.0,72.176023,202.5184650999999,4661.836705699997,15.8829525,30.067144499999994,51.37383472999999,160.9092135,824.9413962499991,10174.920158599887,163.788379,787.9860385999997,9676.056363279984,0.0,282627517.3333333,0.35594439177165643
500.0,,,,,,,,,,,,,,,,,18380.0,111.014034,662.5345009999944,10292.340068239999,10.8308105,18.127354799999992,58.57893234000004,147.478479,2877.136218,15257.78827019992,149.74927000000002,2824.1108448499995,14688.471434129999,0.0,282927677.75,0.36308778862894453,13835.0,138.453558,174.01513239999997,263.34047825999966,138.453558,174.01513239999997,263.34047825999966,,,,,,,0.0,136448792.51666668,0.27061625228285746,17670.0,141.92415,904.381842,9134.167915900021,10.9891605,19.541532250000003,68.19373075,153.07150000000001,3760.5804070499967,12588.738759839976,155.762982,3772.4259825999984,13019.9815152,0.0,266748415.3,0.3593643636672326
625.0,21236.0,42.749176,443.35765625,903.9388905999999,42.749176,443.35765625,903.9388905999999,,,,,,,0.0,239540975.43333334,0.2733951548628116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750.0,,,,,,,,,,,,,,,,,15899.0,140.29496999999998,1519.5707794999987,7783.541855589997,8.6758175,25.764610899999997,170.32606543999958,147.310128,4341.656026849996,9578.667776909999,149.81523700000002,4445.95495105,9584.154322110002,0.0,245201641.88333333,0.37228963064762977,12532.0,138.1966935,321.11796359999965,528.3192597899999,138.1966935,321.11796359999965,528.3192597899999,,,,,,,0.0,121814868.06666666,0.275398768060432,16020.0,141.239537,2090.4812376999944,7281.4423807400635,8.774917,18.03437639999997,68.02289763999907,149.672408,4562.251199299985,8479.65758904,151.688149,4667.797078299999,8533.8812321,0.0,242285634.31666666,0.36583724633791087
1000.0,,,,,,,,,,,,,,,,,13899.0,140.398828,1920.769899,2728.5087018000004,7.0399899999999995,12.098343099999997,38.79976582999998,146.97551249999998,2494.868514399999,2879.8416734600005,148.57992,2502.2903501,2878.38190528,0.0,210802856.43333334,0.3763621216394465,11194.0,138.991741,450.588408,750.0775405999968,138.991741,450.588408,750.0775405999968,,,,,,,0.0,110133731.98333333,0.28744636766720266,13447.0,138.728994,2048.104801499999,7826.048463239914,7.5538065,17.62534625,90.44326164999991,148.261019,3766.382054,9438.287288,150.08601199999998,4081.5571931999934,9602.956595880034,0.0,204086292.11666667,0.37902326484222015
1250.0,22476.0,65.284163,1555.414794,5282.501089999913,65.284163,1555.414794,5282.501089999913,,,,,,,0.0,251275790.1,0.2687540399537284,15935.0,141.3953055,1203.3932166999984,7460.98526012,8.392912,14.229393,29.610992799999945,148.084592,4088.8416211499975,9133.423200579999,150.002142,4189.6170734,9394.901026040001,0.0,236685304.45,0.3607597169124569,11512.0,137.9974905,435.7081300500001,858.1339131299975,137.9974905,435.7081300500001,858.1339131299975,,,,,,,0.0,114872061.58333333,0.2877381194984943,15439.0,144.28892050000002,2346.5164912499904,12056.021937349993,9.322432,18.124081,38.983323020000014,152.9870085,5087.804558149998,13009.28073975,155.3219485,5586.9975644999995,13011.480557009994,0.0,220749252.65,0.3517057486236155
1500.0,,,,,,,,,,,,,,,,,17028.0,143.0305695,1195.9916394999937,8335.87782085,13.2407585,38.25480739999998,56.736525809999925,153.016504,3552.7780919999996,11613.26961656,157.77148,3645.9048540000003,12104.419232900042,0.0,252606442.06666666,0.35630307971184716,12466.0,140.2770975,206.16078075,298.5810057499999,140.2770975,206.16078075,298.5810057499999,,,,,,,0.0,125454092.45,0.2826954796245789,16600.0,147.0892955,1394.04297225,8715.903133899998,15.524711,41.39383459999998,74.16836712000003,157.551174,4392.33867719999,10852.057482440008,163.374252,4441.756650549997,11236.35554323,0.0,238548218.0,0.34855206987951814
1750.0,,,,,,,,,,,,,,,,,18641.0,149.724368,193.06292459999992,4826.09072692,15.305285,33.323868000000004,58.89493670000003,164.016849,635.0387287999994,10400.79793576,166.981612,662.5934953,10404.34931308,0.0,265823072.16666666,0.33965245659209986,13423.0,138.593855,213.7579888,254.23625419999954,138.593855,213.7579888,254.23625419999954,,,,,,,0.0,133345087.16666667,0.2742979768556458,16847.0,147.128285,256.3264728999997,5280.331152649998,20.369683,78.002261,112.46930379999988,159.60549550000002,1400.5625703499989,9387.032109800031,176.01674,1399.324491,8781.780066800002,0.0,241213238.23333332,0.34660561314576294
1875.0,22529.0,81.610506,3472.0240025,7546.175259709999,81.610506,3472.0240025,7546.175259709999,,,,,,,0.0,251237645.08333334,0.26808792674626775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,,,,,,,,,18908.0,148.701615,193.89304719999998,207.46018243999998,22.387118,59.24015179999999,93.64950667999996,177.368794,194.66586125,238.54195299999952,183.67325649999998,199.62621575,230.1701556200002,0.0,269722422.6333333,0.3389807728298428,13135.0,140.320681,244.44788799999995,280.40266832,140.320681,244.44788799999995,280.40266832,,,,,,,0.0,128182362.71666667,0.2724512565156706,17335.0,149.41319,280.61983774999857,328.96122857,19.423433,174.97882,191.35584039999986,156.9098035,310.67624424999997,359.6130655000004,175.431771,319.25280219999996,384.8181009999999,0.0,245415513.01666668,0.34169658265551395
2500.0,20987.0,114.008171,6228.2170093,14220.46913626,114.008171,6228.2170093,14220.46913626,,,,,,,0.0,229091499.4,0.26668080182970405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125.0,22932.0,136.9732435,6934.0493255,13699.989262250001,136.9732435,6934.0493255,13699.989262250001,,,,,,,0.0,250760769.43333334,0.26296072687365546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750.0,22310.0,171.139644,5415.391171949997,9897.36971094,171.139644,5415.391171949997,9897.36971094,,,,,,,0.0,247413884.4,0.26729169376961004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375.0,22566.0,197.292034,5568.605754,8852.447247400001,197.292034,5568.605754,8852.447247400001,,,,,,,0.0,252955873.65,0.2691712077018523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,22227.0,234.8001035,4758.92599125,5796.2053755000015,234.8001035,4758.92599125,5796.2053755000015,,,,,,,0.0,249482899.31666666,0.2701515268067365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
