x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,cockroachdb_cpu_usage_percent,cockroachdb_mem_usage_percent,cockroachdb_net_usage_percent,cockroachdb_disk_usage_percent,cockroachdb_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
-111.0,76.55116489955357,4.5604241071428575,6.042428371764704,1.8868526785714284,0.0,72.17952711838943,4.510999599358973,2.891554009513889,1.5269010416666664,0.0,20.740234375,0.9070312499999998,0.34544969790989916,2.1823883928571433,0.0,64.94477013221153,4.286778846153846,3.2996581543443515,1.9135096153846156,0.0,77.68351283482141,4.484308035714287,5.793306485081977,1.888125,0.0
-100.0,80.52999999999999,4.963461538461539,6.1743407561975525,1.869543269230769,0.0,72.47456881009616,4.5794711538461526,2.8120704448635916,1.5131249999999998,0.0,31.925984700520832,1.1364843750000002,0.5669919139152564,2.1460416666666666,0.0,66.42048677884617,4.544711538461539,3.1706097457572113,1.8968028846153848,0.0,81.47026442307694,4.833461538461537,5.305209574161578,1.8763221153846152,0.0
-75.0,76.15606724330355,5.12375,5.692784370112427,1.8495312500000003,0.0,72.15712139423078,4.636826923076923,2.7962559041276234,1.5000000000000002,0.0,39.21929487179488,1.2244210737179488,0.5850678730433633,2.109088541666667,0.0,64.51961237980768,4.7253605769230775,2.747599509079602,1.877235576923077,0.0,82.63111177884616,4.964951923076923,5.094791985456294,1.8592548076923077,0.0
-50.0,77.75731971153847,5.219110576923077,5.681200095898602,1.829014423076923,0.0,73.10549479166667,4.715494791666668,2.8145420384194875,1.4858593750000002,0.0,31.187202899639413,1.2509475160256407,0.5221835355963116,2.0677604166666668,0.0,54.623781379250914,5.024278492647059,2.2634277780410663,1.853073299632353,0.0,81.5313115985577,5.088437499999999,5.057431234530886,1.8382692307692305,0.0
-25.0,80.94255709134616,5.27923076923077,5.91691808969697,1.8056730769230769,0.0,72.20347055288461,4.1508653846153845,3.2283386240553,1.5766105769230767,0.0,26.796575520833333,1.3166406249999998,0.41648866376024574,2.0218489583333334,0.0,57.81963671874999,5.586208333333333,2.2768488302045538,1.6308541666666665,0.0,82.0148182091346,5.164158653846154,5.061001809261655,1.8171153846153842,0.0
0.0,77.24236886160715,5.344821428571429,5.284596854978516,1.78390625,0.0,71.41635228866186,4.4184375000000005,2.8460157793700422,1.556033653846154,0.0,20.192952473958332,1.3319270833333337,0.3860061142991803,1.9742447916666666,0.0,68.93597142928687,5.619577323717948,2.5970591929160265,1.6133293269230766,0.0,82.5600187800481,5.23715544871795,4.922521839925481,1.7946274038461543,0.0
50.0,75.15487025669646,5.452008928571428,4.351573577566023,1.7402008928571429,0.0,73.46210611979166,4.756145833333332,2.6466403478462617,1.470625,0.0,10.788106595552883,1.3265745192307694,0.29773024602390713,1.932343750000001,0.0,68.06607772435898,5.40667467948718,2.706004125776705,1.7669471153846157,0.0,80.4327674278846,5.286682692307693,,1.7731730769230771,0.0
100.0,78.43723257211538,5.527836538461537,,1.7139182692307688,0.0,71.98708233173076,4.789591346153845,2.513226445402586,1.4554807692307692,0.0,6.0801416015625005,1.3048958333333334,0.12042759106292969,1.889192708333333,0.0,69.64513671875001,5.539583333333333,2.517157675080645,1.7359895833333332,0.0,78.5000811298077,5.35252403846154,,1.7443990384615384,0.0
250.0,68.78234385731456,5.531389079670331,,1.7147475961538459,0.0,69.37301795372596,4.816013621794872,1.7760270443253967,1.4440625,0.0,3.167085336538462,1.3325000000000002,0.06363451403211806,1.8537259615384614,0.0,54.0672040264423,5.570336538461539,0.47498506573383076,1.7048076923076925,0.0,71.06429900340545,5.309308894230769,,1.7159214743589741,0.0
500.0,33.88909555288461,2.903705357142858,0.4343433045807726,0.8847166895604395,0.0,67.64613631810897,3.9374699519230765,1.0594389218588791,1.830457848837209,0.0,1.8855914105425824,1.3529447115384619,0.036218408383540374,1.813698489010989,0.0,38.809077148437495,5.563886718750002,0.22075811629703623,1.6690625,0.0,62.203626910199176,5.291540178571429,0.5143379237729114,1.6956249999999995,0.0
