x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,15421,7,14,140,6039,6,144,146,5987,6,141,145,1512,132,135,136
250,24713,10,16,146,14868,6,145,148,15320,6,142,144,3752,133,136,138
500,25844,19,34,319,28182,8,147,151,28844,7,145,148,7451,134,136,139
600,-1,-1,-1,-1,29234,10,151,171,30775,9,148,154,-1,-1,-1,-1
700,-1,-1,-1,-1,27154,11,153,263,29430,10,150,234,-1,-1,-1,-1
750,23158,30,56,935,29168,10,169,395,29025,11,188,410,11029,134,138,177
800,-1,-1,-1,-1,29861,12,160,412,29128,11,224,371,-1,-1,-1,-1
900,-1,-1,-1,-1,28361,12,201,885,27978,14,153,980,-1,-1,-1,-1
1000,23729,41,79,1540,22318,14,152,1901,26207,17,269,496,14430,135,141,262
1250,30133,77,229,345,30357,21,162,1537,31933,25,338,787,18036,136,146,199
1500,26871,70,147,1438,33136,36,302,851,31643,39,406,735,21105,137,166,221
1750,-1,-1,-1,-1,35813,54,350,858,-1,-1,-1,-1,-1,-1,-1,-1
2000,26496,86,153,2993,32641,70,483,1201,38511,55,320,856,23664,144,234,488
2500,22322,140,267,4101,31814,111,495,948,29659,99,279,2857,25724,174,296,356
5000,26470,228,1751,4064,32157,187,933,2911,33629,200,981,2715,28302,292,810,1494
