x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,10848,6,10,139,-1,-1,-1,-1,-1,-1,-1,-1,1005,131,135,260
250,18565,8,131,140,16021,5,141,146,16671,5,140,142,2540,132,136,263
500,21542,15,138,142,27553,6,143,148,30160,6,142,146,5039,133,137,267
600,-1,-1,-1,-1,33603,7,144,149,33596,8,144,149,-1,-1,-1,-1
700,-1,-1,-1,-1,35541,9,146,152,33516,9,146,151,-1,-1,-1,-1
750,22165,23,140,144,-1,-1,-1,-1,-1,-1,-1,-1,7588,133,137,268
800,-1,-1,-1,-1,33780,10,148,156,36996,12,149,154,-1,-1,-1,-1
900,-1,-1,-1,-1,37737,13,151,158,37349,14,152,158,-1,-1,-1,-1
1000,24251,29,141,146,38472,16,153,160,35090,19,156,163,9682,134,146,272
1250,24015,38,141,146,36906,22,160,178,35812,26,164,172,12321,135,155,272
1500,24334,47,141,152,38170,31,168,178,33621,32,169,184,14494,135,171,277
2000,26167,60,144,219,-1,-1,-1,-1,-1,-1,-1,-1,18533,136,258,367
2500,27848,80,147,285,-1,-1,-1,-1,-1,-1,-1,-1,21169,137,278,479
5000,34250,166,284,443,-1,-1,-1,-1,-1,-1,-1,-1,29274,158,490,1070
7500,31190,220,500,726,-1,-1,-1,-1,-1,-1,-1,-1,28527,189,945,1497
