x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,13089,8,12,144,20803,7,11,140,20056,8,12,140,1490,132,136,137
150,15147,10,14,366,24487,10,16,144,24564,10,16,143,2259,132,136,137
200,16718,13,140,216,25385,12,24,148,24428,12,21,146,3005,133,136,137
250,15722,17,40,231,25755,15,31,152,24172,16,29,150,3748,133,136,137
300,15172,21,34,206,24455,17,58,160,24600,16,36,156,4488,133,136,138
400,17045,33,145,229,23408,17,62,173,24887,29,51,161,5962,133,136,138
500,15185,35,141,933,24913,22,83,193,25245,37,69,163,7418,134,137,142
750,15676,57,251,636,22726,32,245,381,25301,57,103,187,11029,135,138,150
1000,13997,75,496,1950,22767,72,432,556,24489,63,188,463,14345,136,149,221
1250,14279,91,360,2546,22346,94,394,552,23857,67,244,719,16444,139,216,298
1500,15164,139,843,2003,21687,92,739,880,22630,50,394,806,16442,143,316,368
2000,15332,150,903,2241,22027,133,585,695,22549,125,798,1035,16491,215,418,471
2500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16023,227,777,1111
3000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16817,320,690,773
4000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16359,408,1191,1912
