x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,15215,7,12,139,2611,133,145,146,2690,132,143,155,1437,132,185,253
250,33437,8,135,145,6311,134,145,147,6477,133,142,160,3443,133,234,261
500,34945,14,22,112,11962,136,146,148,12605,135,143,153,6404,134,251,267
750,38755,20,35,455,17251,137,147,149,18237,135,144,146,9052,135,259,306
1000,35579,30,58,1089,22336,138,148,151,23023,137,145,150,11503,138,264,329
1250,37304,35,63,1478,27214,139,148,151,28297,138,147,150,13327,157,282,402
1500,44168,44,146,205,31997,140,149,153,32845,139,149,153,15688,173,297,396
2000,37345,72,382,1049,40202,143,154,190,40707,142,156,189,19222,198,338,440
2500,39916,91,212,1549,36285,146,496,969,42460,146,214,336,21589,220,396,565
5000,44457,144,686,1221,41525,182,755,2773,34920,180,848,2768,4915,665,10855,14895
