x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,5993,6,10,139,2108,5,140,145,2162,5,138,141,561,131,136,266
250,10566,8,23,140,5047,5,141,146,5370,5,139,142,1434,132,136,267
500,11818,15,138,142,10139,5,142,147,10366,5,141,144,2882,133,263,269
750,12180,23,139,143,14606,6,144,149,14427,6,143,147,4328,133,266,271
1000,12165,25,140,144,17902,8,147,154,17805,8,147,154,5833,134,267,271
1250,13532,37,141,145,19287,12,152,164,20491,11,151,160,7165,134,269,276
1500,14339,44,142,147,19210,18,158,184,18216,16,156,200,8624,135,270,278
2000,15352,63,143,156,18678,23,169,235,16838,32,176,399,11316,136,272,288
2500,16245,78,149,187,19363,31,206,328,19570,48,190,376,13167,136,276,377
5000,18823,171,296,396,18599,88,474,858,19527,125,265,405,17589,151,522,934
7500,17690,239,721,1048,18296,179,631,1305,19527,177,575,1155,17830,203,1028,1482
10000,17934,303,683,916,18982,169,873,1732,19256,269,817,1423,16916,148,1322,2379
