x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,11805,9,137,145,2653,133,147,150,2697,71,143,156,1483,132,136,141
250,12491,15,144,482,6462,136,150,154,6689,87,145,148,3707,133,137,142
500,12430,54,190,512,11947,141,162,186,11763,141,155,315,7097,135,139,259
750,14622,62,282,592,11388,147,367,773,12008,141,226,1539,10911,136,142,168
1000,15837,129,303,445,12495,153,479,1160,12186,146,365,1717,12699,140,171,338
1250,13782,109,545,1694,13018,170,738,1436,14035,156,542,1209,13910,167,259,297
1500,12367,124,165,4961,12399,173,864,1513,13012,157,691,1328,13839,168,361,554
2000,10862,161,1190,5011,14014,180,1190,2027,10376,263,700,5044,14773,257,480,609
2500,12499,209,793,6985,12343,245,306,9180,10702,408,1033,3119,12424,284,726,4336
5000,14022,404,2049,9296,12737,383,1553,15280,14007,562,2101,4314,14518,702,1258,1508
