dependent_percent,throughput_split,throughput_grouped,latency_p50,latency_p95,latency_p99,latency_p50_dependent,latency_p95_dependent,latency_p99_dependent,latency_p50_non_dependent,latency_p95_non_dependent,latency_p99_non_dependent
0,6358,6358,153,336,532,-1,-1,-1,153,336,532
1,6220,6158,156,393,686,160,529,1068,156,391,683
20,6393,5331,155,441,775,146,580,1063,156,412,715
40,7261,5189,78,547,617,57,546,1094,147,547,597
60,7787,4866,73,390,577,63,401,767,144,362,508
80,8819,4898,59,321,405,55,326,417,144,196,290
99,9152,4596,49,318,362,49,318,363,145,181,224
100,9117,4556,48,318,365,48,318,365,-1,-1,-1
