dependent_percent,throughput_split,throughput_grouped,latency_p50,latency_p95,latency_p99,latency_p50_dependent,latency_p95_dependent,latency_p99_dependent,latency_p50_non_dependent,latency_p95_non_dependent,latency_p99_non_dependent
0,6971,6971,140,150,184,-1,-1,-1,140,150,184
1,6884,6814,141,158,240,155,301,336,141,158,186
20,6383,5311,140,280,296,146,291,327,140,150,193
40,5973,4268,140,283,296,144,289,305,139,149,165
60,5464,3413,140,284,410,143,287,456,138,148,330
80,5370,2982,139,282,294,141,283,296,137,145,159
99,5180,2600,139,280,292,139,280,292,136,143,156
100,5146,2570,139,281,291,139,281,291,-1,-1,-1
