dependent_percent,throughput_split,throughput_grouped,latency_p50,latency_p95,latency_p99,latency_p50_dependent,latency_p95_dependent,latency_p99_dependent,latency_p50_non_dependent,latency_p95_non_dependent,latency_p99_non_dependent
0,5675,5675,154,439,835,-1,-1,-1,154,439,835
1,5733,5677,165,371,525,193,538,755,165,369,517
20,6954,5796,152,345,519,154,439,629,152,314,445
40,7234,5165,123,340,829,83,376,853,149,292,809
60,7745,4838,89,335,664,71,357,673,146,263,655
80,8165,4536,71,318,560,59,326,573,144,226,483
99,9039,4539,54,314,391,54,314,392,145,192,250
100,8574,4285,56,315,430,56,315,430,-1,-1,-1
