dependent_percent,throughput_split,throughput_grouped,latency_p50,latency_p95,latency_p99,latency_p50_dependent,latency_p95_dependent,latency_p99_dependent,latency_p50_non_dependent,latency_p95_non_dependent,latency_p99_non_dependent
0,5043,5043,23,332,509,-1,-1,-1,23,332,509
1,5552,5497,49,184,1373,75,293,1530,49,183,1372
20,6052,5043,45,209,633,72,319,788,43,192,574
40,5617,4010,42,149,1286,61,277,1433,40,145,1218
60,5981,3738,39,329,906,58,361,1085,37,216,604
80,6157,3419,39,285,882,56,288,926,35,157,755
99,6727,3379,56,286,330,56,286,330,34,148,233
100,6930,3464,54,286,351,54,286,351,-1,-1,-1
