x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost
1.0,7053.0,7.278749,742.2137855999999,1262.3715829800003,6.12917,201.5578765,220.43423693999998,279.769801,1242.9460311999999,1466.07928416,313.841686,1238.7395695,1463.45607395,0.0,32916372.516666666,0.23725045375490336,21549.0,11.903234,151.5111388,161.2547166,10.3050275,22.14705245,28.53592869,146.81447550000001,158.61017475,183.46334905000046,149.053147,162.36417849999998,180.95764114000005,0.0,93589500.98333333,0.1339639899608644,22925.0,222.19988999999998,283.3698395,342.02301719999707,222.19988999999998,283.3698395,342.02301719999707,,,,,,,0.0,83279839.21666667,0.1169289764158488,2912.0,135.0694095,140.6860551,148.56720188000014,135.0694095,140.6860551,148.56720188000014,,,,,,,0.0,10038679.15,0.41750466449175827
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9711.0,7.8985425,140.81146495,145.08858721,7.8985425,140.81146495,145.08858721,,,,,,,0.0,31625032.9,0.16965303861600248
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15594.0,7.8763369999999995,143.91146565,190.4522396000006,7.8763369999999995,143.91146565,190.4522396000006,,,,,,,0.0,50182916.75,0.12945096415287932
125.0,12349.0,52.558516499999996,218.55364925,279.87663535,8.360004,137.8017313499999,165.53187543999994,143.827618,266.9565764,304.61961587999997,192.16646,282.9231602,307.87240333999995,0.0,55088059.7,0.1714115470078549,22774.0,10.178302500000001,149.939325,154.21690169,8.9608285,13.819538999999999,19.483174979999994,146.555478,152.9914166,168.0545216,148.103221,154.913208,186.59387162,0.0,98896348.16666667,0.13141858976610757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17964.0,8.499565,373.82522989999995,3359.24523894,8.499565,373.82522989999995,3359.24523894,,,,,,,0.0,55729022.45,0.11854711918281005
200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19971.0,9.565468,133.09896919999994,3164.91720964,9.565468,133.09896919999994,3164.91720964,,,,,,,0.0,61614858.35,0.11252802398477794
250.0,16606.0,15.582444,183.24973579999997,295.5805016399996,10.4985225,59.516816999999996,77.9046263,145.511303,216.14036689999995,1330.9085768199998,154.646316,223.88743724999986,1651.1505037499937,0.0,76056641.83333333,0.1527238851419166,20691.0,10.8362145,151.8385275,177.62207515,9.2713395,20.945383849999974,50.04930739,147.47475250000002,160.0208044,262.9937425299995,149.75838900000002,178.840127,260.46705570000057,0.0,90549995.65,0.13658111802232853,,,,,,,,,,,,,,,,,20365.0,11.248125,28.012186399999955,2725.732956280001,11.248125,28.012186399999955,2725.732956280001,,,,,,,0.0,62913413.55,0.11162623476552912
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20568.0,12.365863000000001,41.155938799999994,1040.9491026200028,12.365863000000001,41.155938799999994,1040.9491026200028,,,,,,,0.0,63498936.166666664,0.1110938702515234
350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855.0,14.130386000000001,39.30494274999999,540.7541320200002,14.130386000000001,39.30494274999999,540.7541320200002,,,,,,,0.0,65930903.28333333,0.11189729396627507
375.0,22229.0,9.909075,149.37215650000002,161.26824609999983,8.508988,16.621128999999996,62.62327496000014,145.713315,154.6505249,224.47132219999992,147.679225,160.77795559999998,270.91601608000053,0.0,100307076.05,0.1359099159206442,21593.0,9.2651845,150.58027825,157.04711164999995,8.044318,15.187481399999998,26.073993979999976,146.985099,154.579015,202.86670391999874,148.829337,157.79510915,206.9888337299997,0.0,94707704.36666666,0.13472672103613828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
