x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost
400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21844.0,14.891129,33.7559397,54.90182935999999,14.891129,33.7559397,54.90182935999999,,,,,,,0.0,68107789.05,0.10882419799487274
500.0,22831.0,8.888964,148.17887249999998,154.0436519600004,7.7678405,14.281134699999987,56.52917557000001,145.277307,151.4356335,190.32094427999996,146.762906,155.743765,198.11098780000003,0.0,102743490.4,0.13446059340370553,22710.0,8.875653,150.39780755,157.05934498999991,7.762601999999999,13.267909750000001,19.721536999999998,146.83315599999997,154.09281685,254.90340825000047,148.631549,159.99942155000002,306.2238348700001,0.0,99096251.4,0.1319649946279172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625.0,22503.0,9.803184,150.1255888,155.88598911999998,8.5888705,14.430499599999994,22.56077342999995,146.216191,154.31776569999997,171.51225232,147.753381,156.75541529999998,196.42677415000003,0.0,100711186.55,0.1346142172599209,21013.0,9.147401,150.4300704,160.31571624,7.903134,15.703190349999996,48.41346696999986,146.491396,155.7556081,463.7909306799959,148.272414,160.3938002,499.51464480000016,0.0,90913682.03333333,0.13483432354574154,23143.0,170.0253385,337.87378480000007,982.6615121100001,170.0253385,337.87378480000007,982.6615121100001,,,,,,,0.0,83932656.4,0.11639170064382319,,,,,,,,,,,,,,,,
750.0,17622.0,11.636017,176.78672779999948,675.064195839999,9.940163,18.120815999999998,34.687176999999785,144.618462,559.3181483999999,858.5580445199998,146.661713,557.466384,867.8776533200003,0.0,77462758.28333333,0.14551442320205807,21911.0,10.814162,152.48607779999998,164.70136168000002,9.305768,15.614968000000001,25.672809099999956,147.423945,160.7300054,210.6270087199999,149.38264,163.6082495,212.54913345000014,0.0,93773414.36666666,0.13191859282247878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875.0,20218.0,15.7103715,154.779381,203.78105435999998,12.5683945,25.610694549999995,43.19495981000008,146.655486,185.63088604999976,306.31580138,150.42402750000002,189.52213534999976,298.54743415000104,0.0,88608448.65,0.13785582020971412,20732.0,13.724376,153.17009299999998,163.33029226000005,11.51663,26.584739199999962,52.32571491999995,147.689493,160.29631329999998,256.25349405999924,150.736299,164.36480849999998,257.8054633200004,0.0,88058945.68333334,0.1339079159592257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.0,18379.0,24.643536,161.1202935,172.4886368,18.9444625,38.3967265,70.48031767000056,148.3205575,169.35556825,183.48663530000005,156.878368,173.73700569999997,186.63266292,0.0,79731697.1,0.14198998541814026,17700.0,25.2964405,166.7927995999999,182.85326885000003,20.600400999999998,44.7186685,70.1317890999968,151.243111,179.57761835,193.0232693400004,162.1381905,183.90212054999995,193.77952770000002,0.0,74367705.7,0.14137593864406783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25566.0,148.086153,326.8632445,372.18574920000003,148.086153,326.8632445,372.18574920000003,,,,,,,0.0,93604398.18333334,0.11292685455944093,,,,,,,,,,,,,,,,
1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24566.0,157.81374399999999,338.506974,625.1637045800001,157.81374399999999,338.506974,625.1637045800001,,,,,,,0.0,90636633.41666667,0.11510757422182419,,,,,,,,,,,,,,,,
2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24565.0,206.922494,289.715906,502.78028320000004,206.922494,289.715906,502.78028320000004,,,,,,,0.0,90887113.83333333,0.11531619282176538,,,,,,,,,,,,,,,,
3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24121.0,152.271896,473.29494199999965,877.51731744,152.271896,473.29494199999965,877.51731744,,,,,,,0.0,89329605.1,0.11614742763567015,,,,,,,,,,,,,,,,
3750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21224.0,140.832578,713.0689857999997,1495.708554119999,140.832578,713.0689857999997,1495.708554119999,,,,,,,0.0,78846684.23333333,0.12212277066842567,,,,,,,,,,,,,,,,
4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23344.0,193.149517,285.79532244999996,892.7372403100001,193.149517,285.79532244999996,892.7372403100001,,,,,,,0.0,85012403.33333333,0.116314601896276,,,,,,,,,,,,,,,,
5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23624.0,212.9878195,266.792034,298.39342971,212.9878195,266.792034,298.39342971,,,,,,,0.0,84581039.51666667,0.11457080893723895,,,,,,,,,,,,,,,,
