x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99
1.0,6.12917,201.5578765,220.43423693999998,279.769801,1242.9460311999999,1466.07928416,313.841686,1238.7395695,1463.45607395,,,,,,,10.3050275,22.14705245,28.53592869,146.81447550000001,158.61017475,183.46334905000046,149.053147,162.36417849999998,180.95764114000005,,,,,,,222.19988999999998,283.3698395,342.02301719999707,,,,,,,,,,,,,135.0694095,140.6860551,148.56720188000014,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8985425,140.81146495,145.08858721,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8763369999999995,143.91146565,190.4522396000006,,,,,,,,,,,,
125.0,8.360004,137.8017313499999,165.53187543999994,143.827618,266.9565764,304.61961587999997,192.16646,282.9231602,307.87240333999995,,,,,,,8.9608285,13.819538999999999,19.483174979999994,146.555478,152.9914166,168.0545216,148.103221,154.913208,186.59387162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.499565,373.82522989999995,3359.24523894,,,,,,,,,,,,
200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.565468,133.09896919999994,3164.91720964,,,,,,,,,,,,
250.0,10.4985225,59.516816999999996,77.9046263,145.511303,216.14036689999995,1330.9085768199998,154.646316,223.88743724999986,1651.1505037499937,,,,,,,9.2713395,20.945383849999974,50.04930739,147.47475250000002,160.0208044,262.9937425299995,149.75838900000002,178.840127,260.46705570000057,,,,,,,,,,,,,,,,,,,,,,11.248125,28.012186399999955,2725.732956280001,,,,,,,,,,,,
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.365863000000001,41.155938799999994,1040.9491026200028,,,,,,,,,,,,
350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.130386000000001,39.30494274999999,540.7541320200002,,,,,,,,,,,,
375.0,8.508988,16.621128999999996,62.62327496000014,145.713315,154.6505249,224.47132219999992,147.679225,160.77795559999998,270.91601608000053,,,,,,,8.044318,15.187481399999998,26.073993979999976,146.985099,154.579015,202.86670391999874,148.829337,157.79510915,206.9888337299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
