x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
1.0,6.6,9.4,14.431,140.56,143.92,148.249,140.737,144.548,191.329,,,,,,,132.419,136.4,137.972,,,,,,,,,,,,,6.125,9.93,138.423,,,,,,,,,,,,,6.49,7.484,11.191,144.177,147.486,148.953,144.458,148.601,539.853,,,,,,
10.0,6.145,6.909,8.679,138.696,141.447,142.194,138.976,141.788,142.803,,,,,,,132.117,135.93,137.31,,,,,,,,,,,,,6.093,138.361,140.922,,,,,,,,,,,,,6.083,6.733,11.706,142.411,146.38,148.352,142.727,146.651,147.845,,,,,,
100.0,5.569,7.103,11.48,139.335,143.234,157.835,139.874,144.356,161.351,,,,,,,132.423,135.619,136.556,,,,,,,,,,,,,7.474,144.973,447.195,,,,,,,,,,,,,5.821,7.372,13.067,142.2,146.924,150.518,142.962,147.506,151.437,,,,,,
200.0,5.546,9.317,13.754,142.017,153.19,175.625,142.842,154.346,175.099,,,,,,,133.053,135.911,137.057,,,,,,,,,,,,,10.285,142.977,153.838,,,,,,,,,,,,,5.95,8.09,13.102,143.072,147.422,152.89,143.858,148.21,154.525,,,,,,
250.0,5.834,11.745,26.237,141.131,146.575,165.347,142.215,150.63,168.157,,,,,,,133.297,136.007,137.047,,,,,,,,,,,,,12.327,439.735,1014.021,,,,,,,,,,,,,6.078,9.838,18.971,143.623,148.677,220.521,144.535,149.834,224.454,,,,,,
300.0,5.791,11.125,18.16,142.172,170.396,219.631,143.232,174.067,230.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,7.396,31.383,58.975,143.782,163.174,191.919,146.015,178.377,196.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.0,9.499,33.081,64.001,145.975,168.226,200.092,150.272,180.135,205.952,,,,,,,134.131,136.775,141.49,,,,,,,,,,,,,12.694,967.845,7867.334,,,,,,,,,,,,,8.256,33.297,55.454,147.2,170.078,198.188,149.17,180.56,202.608,,,,,,
1000.0,27.61,158.995,393.02,152.695,310.263,552.438,197.138,421.3,628.437,,,,,,,135.514,142.647,178.691,,,,,,,,,,,,,46.745,1952.556,15215.364,,,,,,,,,,,,,16.198,105.506,675.349,152.156,536.734,1900.765,168.735,632.849,1896.694,,,,,,
1500.0,,,,,,,,,,,,,,,,137.365,233.312,285.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,,,,,,,,139.491,259.279,880.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250.0,,,,,,,,,,,,,,,,145.848,343.57,625.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,80.921,772.276,1017.473,170.995,918.487,1289.529,357.299,1125.053,1524.451,,,,,,,166.499,396.537,675.148,,,,,,,,,,,,,139.493,2316.484,10815.345,,,,,,,,,,,,,91.027,232.916,852.869,194.136,8577.264,11824.961,299.027,8504.895,12345.801,,,,,,
3000.0,,,,,,,,,,,,,,,,232.262,432.63,616.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,207.538,903.081,1136.42,581.448,1357.347,1643.062,811.015,1388.636,1644.239,,,,,,,180.993,1142.946,1388.752,,,,,,,,,,,,,237.286,5854.889,14379.01,,,,,,,,,,,,,314.686,483.253,4020.832,450.482,3915.424,5341.392,473.408,4567.35,5879.112,,,,,,
10000.0,716.564,1732.345,2407.784,744.463,1781.52,2640.786,1091.257,2473.776,2764.027,,,,,,,854.455,1796.61,3230.888,,,,,,,,,,,,,673.789,2354.824,7225.805,,,,,,,,,,,,,498.492,2413.858,3009.608,541.61,2474.808,3068.319,1036.311,2717.832,3628.373,,,,,,
25000.0,1643.976,2909.561,3395.26,1757.204,3963.034,5521.642,2320.463,4532.67,6857.024,,,,,,,1864.895,3014.123,3157.021,,,,,,,,,,,,,1289.65,7398.114,19794.392,,,,,,,,,,,,,929.509,4339.448,6082.887,1649.324,6687.032,8786.516,2817.606,8059.858,8822.471,,,,,,
50000.0,3312.081,5166.713,5845.12,3406.405,6058.133,8541.213,4545.334,7862.432,9155.136,,,,,,,3589.759,5685.204,6227.182,,,,,,,,,,,,,2539.851,15765.923,25627.904,,,,,,,,,,,,,3035.045,6991.963,36047.172,3489.807,31922.593,41685.444,4925.367,39955.836,43191.579,,,,,,
100000.0,,,,,,,,,,,,,,,,6274.633,11407.306,12698.906,,,,,,,,,,,,,5895.289,32763.86,39368.128,,,,,,,,,,,,,,,,,,,,,,,,,,,
