x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_input_throughput,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_input_throughput,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_input_throughput,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_input_throughput,slog_aborts
1.0,19.294,94.351,0.007,0.762,53.0,0.0,5.645,95.37,0.002,0.763,15.0,0.0,38.008,94.364,0.017,0.762,172.0,0.0,16.715,94.35,0.007,0.762,52.0,0.0
10.0,55.961,94.376,0.058,0.763,530.0,0.0,24.79,94.19,0.013,0.763,150.0,0.0,55.252,94.44,0.122,0.763,1720.0,0.0,59.736,94.375,0.058,0.763,520.0,0.0
100.0,74.274,94.586,0.472,0.763,5300.0,0.0,63.134,94.19,0.123,0.763,1500.0,0.0,60.331,95.147,0.928,0.763,17200.0,0.0,80.327,94.593,0.455,0.763,5200.0,0.0
200.0,75.89,94.815,0.879,0.76,10600.0,0.0,69.862,95.346,0.247,0.763,3000.0,0.0,61.046,95.371,1.323,0.76,34400.0,0.0,82.478,94.824,0.85,0.76,10400.0,0.0
250.0,76.072,95.019,1.101,0.763,13477.0,0.0,68.514,94.199,0.303,0.763,3917.0,0.0,64.013,95.807,1.212,0.763,43030.0,0.0,77.488,95.014,1.015,0.763,13106.0,0.0
300.0,76.15,95.038,1.922,0.568,16172.0,0.0,,,,,,,,,,,,,,,,,,
400.0,71.548,96.232,1.672,0.568,21563.0,0.0,,,,,,,,,,,,,,,,,,
500.0,75.905,95.691,1.866,0.763,26500.0,0.0,70.522,94.206,0.589,0.763,7500.0,0.0,58.417,96.345,1.203,0.763,86000.0,0.0,80.42,95.721,1.864,0.763,26000.0,0.0
1000.0,70.464,96.454,1.802,0.763,53000.0,0.0,72.593,94.227,1.121,0.763,15000.0,0.0,55.001,96.64,1.33,0.763,172000.0,0.0,80.361,96.481,1.908,0.763,52000.0,0.0
1500.0,,,,,,,71.934,94.357,1.517,0.568,23505.0,0.0,,,,,,,,,,,,
2000.0,,,,,,,65.843,94.377,1.677,0.568,30000.0,0.0,,,,,,,,,,,,
2250.0,,,,,,,69.444,94.343,1.82,0.568,33750.0,0.0,,,,,,,,,,,,
2500.0,74.337,96.823,2.112,0.763,132500.0,0.0,70.596,94.269,1.776,0.568,37500.0,0.0,57.007,97.11,1.397,0.763,430000.0,0.0,72.452,97.121,1.58,0.763,130000.0,0.0
3000.0,,,,,,,67.353,94.3,1.776,0.568,47011.0,0.0,,,,,,,,,,,,
5000.0,73.52,97.341,2.265,0.763,265000.0,0.0,72.349,94.322,1.775,0.763,75000.0,0.0,62.1,97.318,1.354,0.763,860000.0,0.0,78.005,97.932,2.03,0.763,260000.0,0.0
10000.0,68.836,97.735,2.377,0.763,539080.0,0.0,66.873,94.429,1.787,0.763,156706.0,0.0,65.436,97.739,1.461,0.763,1721203.0,0.0,78.933,98.408,2.265,0.763,524251.0,0.0
25000.0,67.291,98.211,2.469,0.763,1347700.0,0.0,68.279,94.578,1.907,0.763,391765.0,0.0,61.949,97.973,1.52,0.763,4303008.0,0.0,76.659,98.875,2.34,0.763,1310629.0,0.0
50000.0,70.817,99.074,2.642,0.763,2695400.0,0.0,70.842,94.791,1.973,0.763,783530.0,0.0,63.793,98.574,1.616,0.763,8606016.0,0.0,48.134,99.677,1.497,0.762,2621258.0,0.0
100000.0,,,,,,,70.051,95.281,2.077,0.763,1500000.0,0.0,53.07,99.508,1.482,0.763,17200000.0,0.0,,,,,,
