,usw1,usw2,use1,use2,euw1,euw2,apne1,apne2
usw1,0.2077,24.933,64.3,49.6,131.0,141.667,115.0,138.0
usw2,24.933,0.3393,63.4333,46.767,116.0,127.0,96.433,118.66
use1,64.3,63.5,0.308,12.6,67.567,76.1,152.333,183.0
use2,49.467,46.833,12.967,0.2787,78.767,86.1,133.667,161.333
euw1,130.667,116.333,67.6,78.8,0.8813,9.72,201.333,233.667
euw2,141.667,126.667,76.167,86.1,9.817,0.529,211.0,243.0
apne1,115.0,96.433,152.333,133.333,201.0,211.333,0.439,33.967
apne2,138.667,118.667,184.0,161.333,233.0,243.0,34.067,0.231
