,usw1,usw2,use1,use2,euw1,euw2,apne1,apne2
usw1,0.2077,24.933,64.3,0.2077,131,0.2077,115,0.2077
usw2,24.933,0.3393,63.4333,24.933,116,24.933,96.433,24.933
use1,64.3,63.5,0.308,64.3,67.567,64.3,152.333,64.3
use2,0.2077,24.933,64.3,0.2077,131,0.2077,115,0.2077
euw1,130.667,116.333,67.6,130.667,0.8813,130.667,201.333,130.667
euw2,0.2077,24.933,64.3,0.2077,131,0.2077,115,0.2077
apne1,115,96.433,152.333,115,201,115,0.439,115
apne2,0.2077,24.933,64.3,0.2077,131,0.2077,115,0.2077
