,usw1,usw2,use1,use2,euw1,euw2,apne1,apne2
usw1,0.2077,0.2077,0.2077,0.2077,131,131,131,131
usw2,0.2077,0.2077,0.2077,0.2077,131,131,131,131
use1,0.2077,0.2077,0.2077,0.2077,131,131,131,131
use2,0.2077,0.2077,0.2077,0.2077,131,131,131,131
euw1,130.667,130.667,130.667,130.667,0.8813,0.8813,0.8813,0.8813
euw2,130.667,130.667,130.667,130.667,0.8813,0.8813,0.8813,0.8813
apne1,130.667,130.667,130.667,130.667,0.8813,0.8813,0.8813,0.8813
apne2,130.667,130.667,130.667,130.667,0.8813,0.8813,0.8813,0.8813
