x_var,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
1.0,13249.0,140.532538,170.4341154,524.7395107199995,140.532538,170.4341154,524.7395107199995,,,,,,,0.0,137045877.75,0.2834868710846102,161.0,6.26391,10.702757000000002,139.18748334,6.26391,10.702757000000002,139.18748334,,,,,,,0.0,2169321.566666667,6.5738287660455486,12785.0,76.66076699999999,166.85710879999993,242.20034614000005,73.710606,155.7388206,176.10780072,71.6671785,158.06722929999998,186.54166544999987,81.733945,194.90114949999997,270.5477104799999,0.0,151789683.03333333,0.3168395510885152,15390.0,58.110803,152.50517069999995,231.68577602000025,57.133257,106.41520059999995,146.43024415999997,57.043188,108.36387599999998,199.43330092,59.637836,194.80805069999997,242.32535548000004,0.0,171904283.21666667,0.2893492959280918
125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15525.0,32.348614,190.0533403999999,273.71572012000007,26.9748145,178.93757939999998,225.71403672999998,26.822983,180.56361520000002,244.76744211999997,41.0992765,204.59747400000003,298.75229922,0.0,183001197.73333332,0.30112875714439075,17537.0,9.749956000000001,265.7964203999999,549.4160146599991,10.233008,196.0543871499997,275.48916344999975,9.262877,370.4441672,720.1638374000033,10.14045,226.66415440000026,330.40152432,0.0,203822141.71666667,0.2903257589287412
250.0,14268.0,138.024395,146.3877245,168.11843949999985,138.024395,146.3877245,168.11843949999985,,,,,,,0.0,151248688.05,0.2831492683627698,15948.0,16.349802,644.3245072,4831.435965279957,16.349802,644.3245072,4831.435965279957,,,,,,,0.0,162232130.03333333,0.2670957236435081,19280.0,14.944825,254.86675239999983,512.7602994800009,14.903316499999999,208.718511,285.19308555,14.614982,304.8441092999999,643.3113762799991,15.294228,224.1212789999997,374.32861046999943,0.0,224424279.21666667,0.2854504971127247,16868.0,27.531953,172.3775171,322.67204837999964,23.858269,110.87964734999986,182.97066784999998,26.3374435,174.61417315,354.9323031900005,30.384421,180.00305870000003,311.78315657999866,0.0,204096773.96666667,0.302165963915896
375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18180.0,20.288477,167.15527,773.8122601999967,19.643089,108.11744799999992,245.8714057500001,19.7159765,166.66798434999995,486.5571297300005,21.118155,187.97190419999998,1535.858263099998,0.0,215825176.71666667,0.29326202059039247,14778.0,31.157741,167.3950403999999,811.1747449200004,29.357282,91.40219039999997,213.40719843999983,30.008961999999997,111.05396485000018,329.4399639200001,33.3442005,191.8510323499999,3156.3666471899933,0.0,179912783.46666667,0.3121705013759192
500.0,12942.0,139.393217,166.6984444,473.2257930799864,139.393217,166.6984444,473.2257930799864,,,,,,,0.0,139557157.38333333,0.29409234644310517,13628.0,37.118442,1860.4175462499995,4772.939143199964,37.118442,1860.4175462499995,4772.939143199964,,,,,,,0.0,146172644.6,0.2889971303199296,18830.0,28.949194,199.42932059999953,428.54029940000197,25.693944,141.42134700000003,281.20271329999986,28.172988,216.159075299999,453.6287811399993,30.717994,198.27698899999956,454.19133334000145,0.0,223472399.23333332,0.2912611781554258,17774.0,23.089574,160.5321603999999,371.90464557999337,21.669923,107.69007279999994,184.4100259599999,22.678307,154.79412014999997,361.68693952999905,23.931463,168.81036990000007,422.89124804,0.0,214739597.76666668,0.29873927958441177
625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16523.0,31.48349,171.59814719999997,726.6080349999997,29.085972,89.8764005999999,230.20345244000004,29.918968,138.46685604999996,351.8070068999984,34.529338,188.38412375,2210.446373449993,0.0,194106521.5,0.2963826441929432,17678.0,19.855196,202.56010959999992,583.728089039998,18.719677,146.36517159999994,346.1167704999995,19.731822,226.8714853999998,589.441982080001,20.369,204.45325189999983,604.5621903699999,0.0,210930537.7,0.2960521978730626
750.0,14026.0,139.0727295,155.20839275,219.23985564999933,139.0727295,155.20839275,219.23985564999933,,,,,,,0.0,151379869.41666666,0.28822168746138127,14720.0,49.404176,2289.3015403999993,3201.8616912400007,49.404176,2289.3015403999993,3201.8616912400007,,,,,,,0.0,158423745.81666666,0.28420345899003624,16602.0,37.791734,173.35115969999976,461.6846326699998,33.519977499999996,89.64851179999988,233.73696042999993,36.192128499999995,109.35223289999995,289.3024360099998,40.5520865,194.3741695,1250.190882150005,0.0,194061642.71666667,0.2949182540858531,15901.0,34.098072,158.82794359999983,608.2064045199994,31.915731,79.7485995,146.32961319999978,33.054431,108.55298160000008,283.12644056000113,35.9512,184.8887844,1134.8562293599987,0.0,180836825.53333333,0.29128586319518684
875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17484.0,45.302942,142.5095809499999,222.99488440000002,40.135943999999995,105.92178104999998,127.43350284999968,42.206977,108.9267705,162.1842305,50.514082,183.58603999999988,250.50658467999992,0.0,205957110.41666666,0.29364803296347136,14923.0,34.276064,145.52577479999994,1120.8702394400007,32.537241,98.30101119999999,109.89007150000003,31.707248,100.15801315,170.6763439999997,38.659911,203.1670825,4468.522527949988,0.0,171476087.6,0.29783031240367225
1000.0,13983.0,139.845637,159.6905898,196.13112427999997,139.845637,159.6905898,196.13112427999997,,,,,,,0.0,148048556.53333333,0.2843432118048106,15167.0,108.457964,4003.2950009999977,11935.607028040002,108.457964,4003.2950009999977,11935.607028040002,,,,,,,0.0,161383292.71666667,0.2797300622623678,13805.0,70.934218,153.45904885000004,228.4007947500002,53.0722655,116.507149,150.30443999999994,60.548824999999994,123.18635250000001,166.67258478,85.067238,187.21551679999922,237.5879318199999,0.0,162177780.81666666,0.30847921885790175,14086.0,68.038971,147.47994035000002,226.0802837199999,65.78572,114.66574834999997,132.64556192999999,63.02183,116.95396160000001,171.75843311999884,74.076938,190.40154799999976,238.23724565999999,0.0,161452893.45,0.3012961713048417
1250.0,14017.0,139.710157,154.87439890000002,197.21876458999964,139.710157,154.87439890000002,197.21876458999964,,,,,,,0.0,149966525.03333333,0.28639013345699266,16272.0,80.806786,2451.927419899989,8991.326902719999,80.806786,2451.927419899989,8991.326902719999,,,,,,,0.0,173269350.88333333,0.27534335162651585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
