,eu-west-1,eu-west-2,us-west-1,us-west-2,us-east-1,us-east-2,ap-northeast-1,ap-northeast-2
eu-west-1,1.20,9.80,129,117,68.8,80.8,199,230
eu-west-2,10.1,0.305,145,127,77.4,87.0,213,238
us-west-1,130,145,0.205,18.7,66.0,49.7,107,129
us-west-2,117,128,18.7,0.599,63.9,46.2,97.3,114
us-east-1,68.8,77.1,66.0,64.1,0.457,13.7,153,175
us-east-2,80.3,87.0,49.3,46.2,13.5,0.261,134,159
ap-northeast-1,199,214,107,97.3,153,134,0.574,31.5
ap-northeast-2,228,238,131,114,178,159,31.6,0.233
