x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost
0.0,9161.0,14.193655,69.75086919999994,239.73053466000002,14.193655,69.75086919999994,239.73053466000002,,,,,,,0.0,225509587.86666667,0.6031210301641015
0.01,8185.0,13.1927065,30.981060749999997,293.2615312500012,13.050647,26.702719,52.318143000000305,150.735095,2782.6672981999995,3335.191852919998,,,,0.0,216236848.13333333,0.6523808140093666
0.02,9484.0,14.31561,42.0970348,156.09597467999998,13.9962345,28.926514750000003,42.0970387,150.711121,168.280588,193.4706933,,,,0.0,240525463.2,0.6142460210881485
0.05,7408.0,12.606602500000001,146.71945105,160.12424739000002,11.916228499999999,30.048488599999974,51.077628999999895,147.4027745,169.21408625,224.98443366999453,,,,0.0,198358095.61666667,0.6725380551205903
0.075,7208.0,10.714650500000001,146.6515216,152.71644002,9.994382,18.56719524999999,26.16460148999999,145.63660099999998,154.7454771,260.0394335100003,,,,0.0,194538856.08333334,0.6806017094432113
0.1,5670.0,9.8157505,145.98887805,151.75388960000004,9.015699,16.4450155,27.872668440000012,144.4310355,152.878062,447.0420180300018,,,,0.0,154510748.01666668,0.7240238025279249
0.15,5736.0,9.402118999999999,145.50620455,149.47798311,8.365141000000001,15.031798399999994,20.342064109999953,143.48873650000002,149.61102325,155.28778175000002,,,,0.0,157183494.21666667,0.7250121834611809
0.2,5119.0,9.3543835,145.2226112,149.99475902,8.083729,15.1611785,28.698895799999992,142.870912,149.64517220000002,292.37657320000017,,,,0.0,140027671.91666666,0.7453708611708016
0.25,4793.0,9.1852395,145.2119473,149.77117909999998,7.84974,14.150047349999996,21.097979500000022,142.72535349999998,148.9966663,205.12523267999964,,,,0.0,130717319.45,0.7572181074483622
0.3,4629.0,9.137436000000001,144.7675761,148.21256957000003,7.6644925,13.802833049999998,22.56172319999994,142.34706749999998,147.65564394999998,154.1211411299999,,,,0.0,126553306.48333333,0.7660544674155684
0.4,4332.0,9.202341,144.52614150000002,148.16690314000002,7.503651,13.81559555,28.3160661199984,141.99573099999998,147.3092785,156.26431017,,,,0.0,120265172.53333333,0.7895437328408741
0.5,4116.0,9.178464,144.11823575,147.39297007,7.2594385,13.17813475,21.48218419999992,141.5174325,146.46093555,153.23420239,,,,0.0,113404412.68333334,0.7976404892290251
0.6,3811.0,9.581955,144.3262197,148.19318568,7.335634,13.393454199999999,29.06102636999997,141.5274355,146.7218908,237.66747696999997,,,,0.0,105882176.1,0.822000399370244
0.7,3737.0,9.5575945,144.009286,147.08041518,7.1055255,12.793766549999999,18.52340467999996,141.2498715,146.02604225,152.0592618099999,,,,0.0,103155550.95,0.823685046561413
0.8,3541.0,10.031227,144.1798217,147.74727486000006,7.237169,13.1475965,20.94495110000006,141.224893,146.1369996,156.91497939999994,,,,0.0,98793123.78333333,0.8446378073049046
0.9,3341.0,10.360515,143.99677499999999,147.54894899,7.119809,12.7919626,18.32316024000001,141.027698,145.795069,152.7588365,,,,0.0,91308601.58333333,0.8503956993913997
1.0,3256.0,10.4830705,143.7976224,147.201626,6.980517,12.488414,18.005859199999996,140.88731,145.4830405,154.13395966000007,,,,0.0,90100407.93333334,0.8651744959049961
