x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99
0.0,14.193655,69.75086919999994,239.73053466000002,,,,,,,,,,,,
0.01,13.050647,26.702719,52.318143000000305,150.735095,2782.6672981999995,3335.191852919998,,,,,,,,,
0.02,13.9962345,28.926514750000003,42.0970387,150.711121,168.280588,193.4706933,,,,,,,,,
0.05,11.916228499999999,30.048488599999974,51.077628999999895,147.4027745,169.21408625,224.98443366999453,,,,,,,,,
0.075,9.994382,18.56719524999999,26.16460148999999,145.63660099999998,154.7454771,260.0394335100003,,,,,,,,,
0.1,9.015699,16.4450155,27.872668440000012,144.4310355,152.878062,447.0420180300018,,,,,,,,,
0.15,8.365141000000001,15.031798399999994,20.342064109999953,143.48873650000002,149.61102325,155.28778175000002,,,,,,,,,
0.2,8.083729,15.1611785,28.698895799999992,142.870912,149.64517220000002,292.37657320000017,,,,,,,,,
0.25,7.84974,14.150047349999996,21.097979500000022,142.72535349999998,148.9966663,205.12523267999964,,,,,,,,,
0.3,7.6644925,13.802833049999998,22.56172319999994,142.34706749999998,147.65564394999998,154.1211411299999,,,,,,,,,
0.4,7.503651,13.81559555,28.3160661199984,141.99573099999998,147.3092785,156.26431017,,,,,,,,,
0.5,7.2594385,13.17813475,21.48218419999992,141.5174325,146.46093555,153.23420239,,,,,,,,,
0.6,7.335634,13.393454199999999,29.06102636999997,141.5274355,146.7218908,237.66747696999997,,,,,,,,,
0.7,7.1055255,12.793766549999999,18.52340467999996,141.2498715,146.02604225,152.0592618099999,,,,,,,,,
0.8,7.237169,13.1475965,20.94495110000006,141.224893,146.1369996,156.91497939999994,,,,,,,,,
0.9,7.119809,12.7919626,18.32316024000001,141.027698,145.795069,152.7588365,,,,,,,,,
1.0,6.980517,12.488414,18.005859199999996,140.88731,145.4830405,154.13395966000007,,,,,,,,,
