x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,23.0,10.373,171.45,333.672,7.844,146.974,413.982,142.323,179.045,235.406,,,,0.0,9476242.667,52.371,28.0,10.0,132.596,266.88,279.459,132.596,266.88,279.459,,,,,,,0.0,1754584.85,105.009,13.0,95.0,6.485,38.046,141.778,6.485,38.046,141.778,,,,,,,0.0,5319423.117,11.804,121.0,21.0,8.435,176.065,416.178,7.252,150.255,416.166,145.996,286.237,368.886,,,,0.0,2294235.25,50.518,27.0
10.0,231.0,9.102,156.746,171.957,7.159,146.745,169.658,141.59,165.211,172.586,,,,0.0,15583152.15,5.743,280.0,120.0,132.045,143.034,146.928,132.045,143.034,146.928,,,,,,,0.0,6660763.617,9.568,130.0,918.0,7.394,140.787,149.448,7.394,140.787,149.448,,,,,,,0.0,190302682.183,5.252,1210.0,231.0,8.005,155.047,192.485,6.57,144.14,232.271,145.09,165.509,175.853,,,,0.0,24444167.25,6.51,270.0
100.0,1889.0,18.116,165.927,182.274,13.224,157.655,171.408,153.729,176.098,339.392,,,,0.0,114579444.117,1.75,2800.0,1183.0,133.582,143.686,150.196,133.582,143.686,150.196,,,,,,,0.0,60751821.3,1.885,1300.0,2378.0,45.7,173.841,657.125,45.7,173.841,657.125,,,,,,,0.0,102350733.8,1.288,12100.0,2087.0,15.384,163.59,178.427,11.277,153.209,165.169,153.438,174.099,263.916,,,,0.0,123903841.467,1.674,2700.0
250.0,3175.0,47.057,261.567,383.258,32.489,207.237,340.214,180.64,334.463,486.343,,,,0.0,192497154.167,1.532,7197.0,2831.0,138.435,152.838,167.905,138.435,152.838,167.905,,,,,,,0.0,111011903.967,1.143,3478.0,2948.0,100.034,409.259,610.218,100.034,409.259,610.218,,,,,,,0.0,189283782.967,1.628,30254.0,3289.0,35.522,355.611,493.554,25.626,290.495,396.495,208.94,458.6,546.938,,,,0.0,200671893.3,1.529,6792.0
500.0,3386.0,119.967,806.236,1014.729,46.715,747.325,982.572,210.601,923.244,1135.629,,,,0.0,203450295.25,1.501,14000.0,3288.0,152.782,477.914,558.389,152.782,477.914,558.389,,,,,,,0.0,129761171.117,1.098,6500.0,2659.0,200.239,1075.763,1191.731,200.239,1075.763,1191.731,,,,,,,0.0,269306276.75,2.407,60500.0,3741.0,135.009,504.656,667.027,91.652,407.131,604.531,282.827,636.116,707.968,,,,0.0,219643800.9,1.446,13500.0
750.0,3630.0,202.234,938.366,1130.348,158.122,867.818,1080.786,359.488,1057.499,1209.078,,,,0.0,229209922.083,1.542,21000.0,3208.0,197.5,749.099,805.169,197.5,749.099,805.169,,,,,,,0.0,128590142.633,1.118,9750.0,3254.0,289.109,1128.107,1411.877,289.109,1128.107,1411.877,,,,,,,0.0,143892039.383,1.196,90750.0,3712.0,210.94,837.596,1250.603,153.096,718.946,1175.946,352.693,1107.029,1359.311,,,,0.0,220232892.667,1.46,20250.0
1000.0,3528.0,255.322,1283.998,1946.861,204.14,1160.568,1825.859,441.419,1510.648,2111.901,,,,0.0,210937096.867,1.483,28000.0,3254.0,357.648,1048.454,1241.492,357.648,1048.454,1241.492,,,,,,,0.0,129698648.517,1.109,13000.0,3097.0,411.635,931.943,1003.7,411.635,931.943,1003.7,,,,,,,0.0,203253409.1,1.64,121000.0,3736.0,234.228,1165.247,1561.11,166.114,1090.919,1509.089,441.943,1354.53,1700.091,,,,0.0,226528364.717,1.484,27000.0
2500.0,4098.0,811.911,1716.97,2434.52,727.798,1646.294,2296.671,1021.493,1906.565,2887.932,,,,0.0,251152655.917,1.473,70000.0,3589.0,847.699,1908.296,2097.375,847.699,1908.296,2097.375,,,,,,,0.0,141759301.55,1.073,32500.0,3347.0,981.925,2081.246,2169.705,981.925,2081.246,2169.705,,,,,,,0.0,147243195.433,1.183,302500.0,3919.0,788.223,2204.449,2729.386,696.817,2043.384,2653.421,1083.096,2644.345,2789.326,,,,0.0,235101966.767,1.459,67500.0
5000.0,4141.0,1628.176,3776.853,4947.039,1446.723,3099.71,4595.223,2186.415,4142.131,5837.277,,,,0.0,257344305.317,1.488,140000.0,3826.0,1942.305,2976.474,3337.625,1942.305,2976.474,3337.625,,,,,,,0.0,152043415.05,1.06,65000.0,3627.0,1997.353,3720.279,9162.933,1997.353,3720.279,9162.933,,,,,,,0.0,266123138.7,1.747,605000.0,3865.0,1768.058,4005.762,5940.93,1626.64,3764.591,5749.277,2146.172,4885.977,6729.515,,,,0.0,227885514.4,1.442,135000.0
10000.0,4296.0,3609.705,5088.561,7247.438,3455.147,5007.884,6764.752,4028.958,5334.664,8326.929,,,,0.0,250306536.767,1.402,287894.0,4236.0,3712.071,5909.16,6614.364,3712.071,5909.16,6614.364,,,,,,,0.0,161142595.083,1.0,139121.0,4121.0,3821.072,5550.49,6431.984,3821.072,5550.49,6431.984,,,,,,,0.0,344003225.4,1.916,1210190.0,4339.0,3276.159,6048.692,8735.445,3035.881,5889.612,8159.418,3954.066,6825.344,9863.493,,,,0.0,249824455.25,1.385,271687.0
