x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
1.0,7.844,146.974,413.982,142.323,179.045,235.406,,,,,,,,,,132.596,266.88,279.459,,,,,,,,,,,,,6.485,38.046,141.778,,,,,,,,,,,,,7.252,150.255,416.166,145.996,286.237,368.886,,,,,,,,,
10.0,7.159,146.745,169.658,141.59,165.211,172.586,,,,,,,,,,132.045,143.034,146.928,,,,,,,,,,,,,7.394,140.787,149.448,,,,,,,,,,,,,6.57,144.14,232.271,145.09,165.509,175.853,,,,,,,,,
100.0,13.224,157.655,171.408,153.729,176.098,339.392,,,,,,,,,,133.582,143.686,150.196,,,,,,,,,,,,,45.7,173.841,657.125,,,,,,,,,,,,,11.277,153.209,165.169,153.438,174.099,263.916,,,,,,,,,
250.0,32.489,207.237,340.214,180.64,334.463,486.343,,,,,,,,,,138.435,152.838,167.905,,,,,,,,,,,,,100.034,409.259,610.218,,,,,,,,,,,,,25.626,290.495,396.495,208.94,458.6,546.938,,,,,,,,,
500.0,46.715,747.325,982.572,210.601,923.244,1135.629,,,,,,,,,,152.782,477.914,558.389,,,,,,,,,,,,,200.239,1075.763,1191.731,,,,,,,,,,,,,91.652,407.131,604.531,282.827,636.116,707.968,,,,,,,,,
750.0,158.122,867.818,1080.786,359.488,1057.499,1209.078,,,,,,,,,,197.5,749.099,805.169,,,,,,,,,,,,,289.109,1128.107,1411.877,,,,,,,,,,,,,153.096,718.946,1175.946,352.693,1107.029,1359.311,,,,,,,,,
1000.0,204.14,1160.568,1825.859,441.419,1510.648,2111.901,,,,,,,,,,357.648,1048.454,1241.492,,,,,,,,,,,,,411.635,931.943,1003.7,,,,,,,,,,,,,166.114,1090.919,1509.089,441.943,1354.53,1700.091,,,,,,,,,
2500.0,727.798,1646.294,2296.671,1021.493,1906.565,2887.932,,,,,,,,,,847.699,1908.296,2097.375,,,,,,,,,,,,,981.925,2081.246,2169.705,,,,,,,,,,,,,696.817,2043.384,2653.421,1083.096,2644.345,2789.326,,,,,,,,,
5000.0,1446.723,3099.71,4595.223,2186.415,4142.131,5837.277,,,,,,,,,,1942.305,2976.474,3337.625,,,,,,,,,,,,,1997.353,3720.279,9162.933,,,,,,,,,,,,,1626.64,3764.591,5749.277,2146.172,4885.977,6729.515,,,,,,,,,
10000.0,3455.147,5007.884,6764.752,4028.958,5334.664,8326.929,,,,,,,,,,3712.071,5909.16,6614.364,,,,,,,,,,,,,3821.072,5550.49,6431.984,,,,,,,,,,,,,3035.881,5889.612,8159.418,3954.066,6825.344,9863.493,,,,,,,,,
25000.0,9155.304,12276.632,12909.511,10271.59,12876.699,13130.323,,,,,,,,,,9292.768,10915.193,12316.527,,,,,,,,,,,,,9548.145,11465.784,12434.864,,,,,,,,,,,,,8733.847,11748.567,14721.699,9559.454,12444.74,17263.446,,,,,,,,,
50000.0,16997.274,21616.631,26153.503,19259.92,23517.012,28601.458,,,,,,,,,,17949.14,20793.026,22487.614,,,,,,,,,,,,,16880.345,23286.412,23936.991,,,,,,,,,,,,,16902.838,21237.801,25826.495,18692.887,23074.679,27935.438,,,,,,,,,
