,Calvin,SLOG,Detock,Janus
r5.4xlarge,102.7360,157.5622,171.0792,140.8148
m5.4xlarge,94.5319,166.9128,156.8137,127.3520
r5.2xlarge,60.7983,72.3799,68.0864,83.0276
m5.2xlarge,,,,
m6i.8xlarge,129.8507,251.3286,231.8649,207.8379
