System,"""Avg Duration (ms)"": round(summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Std Duration (ms)"": round(summary_stats_all.loc['std', 'Duration (ms)'], 5), 
        ""Avg Server (ms)"": round(summary_stats_all.loc['mean', 'Server (ms)'], 5),
        ""Std Server (ms)"": round(summary_stats_all.loc['std', 'Server (ms)'], 5),
        ""Server (%)"": round(summary_stats_all.loc['mean', 'Server (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Fwd (ms)"": round(summary_stats_all.loc['mean', 'Fwd (ms)'], 5),
        ""Std Fwd (ms)"": round(summary_stats_all.loc['std', 'Fwd (ms)'], 5),
        ""Fwd (%)"": round(summary_stats_all.loc['mean', 'Fwd (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Seq (ms)"": round(summary_stats_all.loc['mean', 'Seq (ms)'], 5),
        ""Std Seq (ms)"": round(summary_stats_all.loc['std', 'Seq (ms)'], 5),
        ""Seq (%)"": round(summary_stats_all.loc['mean', 'Seq (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg MH orderer (ms)"": round(summary_stats_all.loc['mean', 'MH orderer (ms)'], 5),
        ""Std MH orderer (ms)"": round(summary_stats_all.loc['std', 'MH orderer (ms)'], 5),
        ""MH orderer (%)"": round(summary_stats_all.loc['mean', 'MH orderer (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Log man (ms)"": round(summary_stats_all.loc['mean', 'Log man (ms)'], 5),
        ""Std Log man (ms)"": round(summary_stats_all.loc['std', 'Log man (ms)'], 5),
        ""Log man (%)"": round(summary_stats_all.loc['mean', 'Log man (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Sched (ms)"": round(summary_stats_all.loc['mean', 'Sched (ms)'], 5),
        ""Std Sched (ms)"": round(summary_stats_all.loc['std', 'Sched (ms)'], 5),
        ""Sched (%)"": round(summary_stats_all.loc['mean', 'Sched (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Lck man (ms)"": round(summary_stats_all.loc['mean', 'Lck man (ms)'], 5),
        ""Std Lck man (ms)"": round(summary_stats_all.loc['std', 'Lck man (ms)'], 5),
        ""Lck man (%)"": round(summary_stats_all.loc['mean', 'Lck man (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Worker (ms)"": round(summary_stats_all.loc['mean', 'Worker (ms)'], 5),
        ""Std Worker (ms)"": round(summary_stats_all.loc['std', 'Worker (ms)'], 5),
        ""Worker (%)"": round(summary_stats_all.loc['mean', 'Worker (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Idle (ms)"": round(summary_stats_all.loc['mean', 'Idle (ms)'], 5),
        ""Std Idle (ms)"": round(summary_stats_all.loc['std', 'Idle (ms)'], 5),
        ""Idle (%)"": round(summary_stats_all.loc['mean', 'Idle (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),
        ""Avg Other (ms)"": round(summary_stats_all.loc['mean', 'Other (ms)'], 5),
        ""Std Other (ms)"": round(summary_stats_all.loc['std', 'Other (ms)'], 5),
        ""Other (%)"": round(summary_stats_all.loc['mean', 'Other (ms)'] / summary_stats_all.loc['mean', 'Duration (ms)'], 5),SP_SH Avg Duration (ms)",SP_SH Std Duration (ms),SP_SH Avg Server (ms),SP_SH Std Server (ms),SP_SH Server (%),SP_SH Avg Fwd (ms),SP_SH Std Fwd (ms),SP_SH Fwd (%),SP_SH Avg Seq (ms),SP_SH Std Seq (ms),SP_SH Seq (%),SP_SH Avg MH orderer (ms),SP_SH Std MH orderer (ms),SP_SH MH orderer (%),SP_SH Avg Log man (ms),SP_SH Std Log man (ms),SP_SH Log man (%),SP_SH Avg Sched (ms),SP_SH Std Sched (ms),SP_SH Sched (%),SP_SH Avg Lck man (ms),SP_SH Std Lck man (ms),SP_SH Lck man (%),SP_SH Avg Worker (ms),SP_SH Std Worker (ms),SP_SH Worker (%),SP_SH Avg Idle (ms),SP_SH Std Idle (ms),SP_SH Idle (%),SP_SH Avg Other (ms),SP_SH Std Other (ms),SP_SH Other (%),MP_SH Avg Duration (ms),MP_SH Std Duration (ms),MP_SH Avg Server (ms),MP_SH Std Server (ms),MP_SH Server (%),MP_SH Avg Fwd (ms),MP_SH Std Fwd (ms),MP_SH Fwd (%),MP_SH Avg Seq (ms),MP_SH Std Seq (ms),MP_SH Seq (%),MP_SH Avg MH orderer (ms),MP_SH Std MH orderer (ms),MP_SH MH orderer (%),MP_SH Avg Log man (ms),MP_SH Std Log man (ms),MP_SH Log man (%),MP_SH Avg Sched (ms),MP_SH Std Sched (ms),MP_SH Sched (%),MP_SH Avg Lck man (ms),MP_SH Std Lck man (ms),MP_SH Lck man (%),MP_SH Avg Worker (ms),MP_SH Std Worker (ms),MP_SH Worker (%),MP_SH Avg Idle (ms),MP_SH Std Idle (ms),MP_SH Idle (%),MP_SH Avg Other (ms),MP_SH Std Other (ms),MP_SH Other (%),MP_MH Avg Duration (ms),MP_MH Std Duration (ms),MP_MH Avg Server (ms),MP_MH Std Server (ms),MP_MH Server (%),MP_MH Avg Fwd (ms),MP_MH Std Fwd (ms),MP_MH Fwd (%),MP_MH Avg Seq (ms),MP_MH Std Seq (ms),MP_MH Seq (%),MP_MH Avg MH orderer (ms),MP_MH Std MH orderer (ms),MP_MH MH orderer (%),MP_MH Avg Log man (ms),MP_MH Std Log man (ms),MP_MH Log man (%),MP_MH Avg Sched (ms),MP_MH Std Sched (ms),MP_MH Sched (%),MP_MH Avg Lck man (ms),MP_MH Std Lck man (ms),MP_MH Lck man (%),MP_MH Avg Worker (ms),MP_MH Std Worker (ms),MP_MH Worker (%),MP_MH Avg Idle (ms),MP_MH Std Idle (ms),MP_MH Idle (%),MP_MH Avg Other (ms),MP_MH Std Other (ms),MP_MH Other (%)
calvin,1729.48793,2003.86942,0.03789,0.01023,2e-05,0.0,0.0,0.0,3.57676,1.75372,0.00207,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.95232,1920.50158,0.7181,378.07542,1055.60781,0.21861,1876.90725,2231.28761,0.06724,0.01464,4e-05,0.0,0.0,0.0,7.16969,3.52173,0.00382,0.0,0.0,0.0,0.0,0.0,0.0,0.00071,0.00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2745.41075,3868.85489,1.46273,761.90871,1426.22992,0.40594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slog,152.97869,518.76905,2.64566,1.99659,0.01729,0.0,0.0,0.0,0.16397,1.6269,0.00107,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.99022,519.57882,0.90202,3.40832,5.66297,0.02228,217.75735,638.1134,7.52279,3.13635,0.03455,0.0,0.0,0.0,0.34774,3.42354,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.00079,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.56215,1279.29617,1.84408,6.83886,9.58518,0.03141,1392.36998,1830.77023,7.48012,3.16696,0.00537,0.0,0.0,0.0,4.85724,21.22133,0.00349,0.0,0.0,0.0,0.0,0.0,0.0,230.49616,1253.14316,0.16554,0.0,0.0,0.0,0.0,0.0,0.0,5329.26241,7525.8115,3.82748,9.76656,17.30395,0.00701
Detock,212.42063,791.27031,2.63471,1.92556,0.0124,0.0,0.0,0.0,0.13888,1.40346,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.42298,788.20084,0.79758,3.06515,3.75447,0.01443,313.44112,1022.36879,7.5025,3.02976,0.02394,0.0,0.0,0.0,0.30355,2.90993,0.00097,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.30887,2046.82324,1.70785,6.22464,6.36079,0.01986,1258.09574,1921.80464,7.44243,3.13122,0.00592,0.0,0.0,0.0,1.50469,8.74701,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,59.29798,398.10414,0.04713,0.0,0.0,0.0,0.0,0.0,0.0,4872.74843,8162.95704,3.87311,13.5456,18.2455,0.01077
janus,562.34799,300.1441,0.03704,0.01133,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.10997,205.73774,0.75062,5.22649,4.38798,0.00929,685.26161,307.0384,0.0688,0.01593,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.696,448.27613,1.57852,11.13919,8.0592,0.01626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
