x_var,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost
1875.0,,,,,,,,,,,,,,,,,32317.532,34.325,311.528,458.28,21.828,155.383,284.804,286.17,393.641,594.002,291.602,422.943,618.454,0.0,129701162.833,0.112,24552.757,120.223,1032.083,1835.012,120.223,1032.083,1835.012,,,,,,,0.0,74471275.2,0.102,,,,,,,,,,,,,,,,
1950.0,24494.094,30.149,302.546,997.541,22.744,147.462,414.176,288.6,860.217,1809.902,291.242,862.179,1806.402,0.0,98231283.017,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20768.045,279.621,1206.207,1676.097,279.621,1206.207,1676.097,,,,,,,0.0,81046652.3,0.127
2250.0,,,,,,,,,,,,,,,,,30620.949,54.679,326.646,376.962,36.457,161.729,212.292,287.248,347.675,515.803,293.163,355.437,547.281,0.0,136206764.283,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275.0,23252.81,50.002,319.499,330.27,43.316,156.926,162.046,303.24,325.474,623.222,305.62,327.081,638.786,0.0,92915033.367,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22464.521,156.35,176.378,5003.161,156.35,176.378,5003.161,,,,,,,0.0,67752312.4,0.106,,,,,,,,,,,,,,,,
2600.0,21981.69,77.684,347.38,357.966,67.62,170.944,176.688,325.253,353.97,386.847,327.6,355.884,386.706,0.0,93953453.783,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625.0,,,,,,,,,,,,,,,,,26449.209,83.466,355.892,390.466,59.029,176.433,194.203,282.4,386.293,403.993,285.162,388.229,414.963,0.0,120146733.867,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,,,,,,,,,,,,,,,,,19823.241,139.624,410.477,427.804,108.718,203.11,213.166,354.128,423.32,446.497,356.764,424.442,455.528,0.0,228428075.183,0.282,,,,,,,,,,,,,,,,,21876.538,285.484,1002.621,1440.128,285.484,1002.621,1440.128,,,,,,,0.0,84207289.0,0.123
3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21012.867,202.434,282.945,3031.031,202.434,282.945,3031.031,,,,,,,0.0,63841670.683,0.109,,,,,,,,,,,,,,,,
3750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21741.691,239.869,260.277,1644.54,239.869,260.277,1644.54,,,,,,,0.0,65252303.233,0.107,,,,,,,,,,,,,,,,
4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22855.682,293.935,901.794,1262.11,293.935,901.794,1262.11,,,,,,,0.0,87662423.45,0.121
4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22024.512,272.673,319.079,419.065,272.673,319.079,419.065,,,,,,,0.0,65861889.6,0.106,,,,,,,,,,,,,,,,
5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22177.52,319.905,385.169,412.164,319.905,385.169,412.164,,,,,,,0.0,62871761.733,0.102,22444.562,296.764,913.257,1107.901,296.764,913.257,1107.901,,,,,,,0.0,86057716.333,0.122
6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22987.243,282.557,918.797,1156.648,282.557,918.797,1156.648,,,,,,,0.0,87120065.2,0.12
7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19672.139,276.747,1104.716,1831.509,276.747,1104.716,1831.509,,,,,,,0.0,74539133.35,0.127
8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21740.93,432.649,662.396,770.309,432.649,662.396,770.309,,,,,,,0.0,78799877.117,0.119
