x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,68.747,269.434,439.848,,,,,,,,,,,,,310.397,808.976,1266.455,,,,,,,,,,,,,163.279,254.291,4582.06,,,,,,,,,,,,,78.014,173.943,317.922,,,,,,,,,,,,
10.0,42.939,103.475,195.623,331.736,4450.362,19672.047,335.491,4603.019,20286.329,,,,,,,291.428,774.95,1199.726,,,,,,,,,,,,,156.408,173.621,3999.064,,,,,,,,,,,,,33.869,112.841,260.306,312.682,2653.761,3907.667,331.009,2685.534,3903.583,,,,,,
20.0,56.583,153.646,185.126,317.657,1984.733,13424.241,319.505,2035.69,13856.239,,,,,,,316.383,667.137,967.995,,,,,,,,,,,,,162.628,269.817,4766.519,,,,,,,,,,,,,25.417,147.749,406.74,304.113,1471.822,2976.683,311.415,1482.745,2967.915,,,,,,
30.0,33.98,149.064,177.092,295.06,810.11,9981.976,298.753,816.105,10223.987,,,,,,,289.455,774.201,1249.247,,,,,,,,,,,,,164.502,220.762,4823.51,,,,,,,,,,,,,29.661,146.547,156.794,292.849,825.576,10496.131,294.982,784.202,10677.234,,,,,,
40.0,21.541,144.944,198.402,283.382,516.693,9178.12,285.724,522.786,9800.159,,,,,,,283.844,937.242,1475.324,,,,,,,,,,,,,149.056,452.012,1590.106,,,,,,,,,,,,,15.028,145.97,365.816,280.707,622.252,5627.059,283.093,644.995,5598.381,,,,,,
50.0,14.497,143.061,403.953,278.931,643.114,7783.385,281.308,681.233,7950.475,,,,,,,286.688,920.242,1238.834,,,,,,,,,,,,,164.76,306.243,3165.362,,,,,,,,,,,,,12.32,146.432,433.627,286.583,856.957,946.713,288.604,858.686,949.358,,,,,,
60.0,12.866,247.312,548.686,288.895,826.703,1183.757,290.814,827.723,1187.201,,,,,,,319.579,624.266,832.657,,,,,,,,,,,,,163.532,794.569,4875.555,,,,,,,,,,,,,15.426,156.512,184.478,284.445,357.242,400.756,288.056,360.401,422.482,,,,,,
70.0,15.751,157.213,229.214,285.859,381.08,467.207,289.693,389.581,466.974,,,,,,,337.174,648.463,820.187,,,,,,,,,,,,,163.479,198.784,4880.626,,,,,,,,,,,,,13.755,151.187,159.087,284.486,310.299,385.239,286.277,311.9,418.757,,,,,,
80.0,15.231,153.867,264.619,284.092,386.616,548.688,288.003,400.176,562.682,,,,,,,326.93,648.494,827.988,,,,,,,,,,,,,161.803,177.83,4266.368,,,,,,,,,,,,,12.367,152.397,170.257,279.691,329.119,349.455,282.111,331.662,351.067,,,,,,
90.0,14.041,151.171,158.824,282.213,304.77,324.061,285.012,306.161,326.143,,,,,,,331.209,844.999,1329.292,,,,,,,,,,,,,174.684,334.388,4577.218,,,,,,,,,,,,,11.574,147.968,152.304,278.574,300.517,309.739,281.252,301.851,311.305,,,,,,
100.0,14.157,151.798,159.038,282.765,305.008,330.15,285.078,306.33,333.977,,,,,,,288.944,893.89,1413.832,,,,,,,,,,,,,163.735,194.666,4049.391,,,,,,,,,,,,,12.249,149.129,162.622,278.282,301.979,331.696,280.738,303.439,340.017,,,,,,
