x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,37000.11,68.747,269.434,439.848,68.747,269.434,439.848,,,,,,,0.0,129153733.367,0.097,22674.248,310.397,808.976,1266.455,310.397,808.976,1266.455,,,,,,,0.0,85406742.367,0.12,22316.008,163.279,254.291,4582.06,163.279,254.291,4582.06,,,,,,,0.0,64441244.867,0.103,34962.259,78.014,173.943,317.922,78.014,173.943,317.922,,,,,,,0.0,121848784.65,0.099
10.0,27459.369,55.824,211.574,1294.722,42.939,103.475,195.623,331.736,4450.362,19672.047,335.491,4603.019,20286.329,0.0,97927629.5,0.108,23134.801,291.428,774.95,1199.726,291.428,774.95,1199.726,,,,,,,0.0,91281094.667,0.123,22262.348,156.408,173.621,3999.064,156.408,173.621,3999.064,,,,,,,0.0,67412616.35,0.106,32054.843,36.442,220.238,1517.919,33.869,112.841,260.306,312.682,2653.761,3907.667,331.009,2685.534,3903.583,0.0,120517686.017,0.107
20.0,24134.939,61.956,326.624,1380.097,56.583,153.646,185.126,317.657,1984.733,13424.241,319.505,2035.69,13856.239,0.0,92287760.267,0.119,23995.855,316.383,667.137,967.995,316.383,667.137,967.995,,,,,,,0.0,91178261.783,0.118,21514.934,162.628,269.817,4766.519,162.628,269.817,4766.519,,,,,,,0.0,65685648.333,0.108,31295.792,32.383,322.512,1264.541,25.417,147.749,406.74,304.113,1471.822,2976.683,311.415,1482.745,2967.915,0.0,348552962.467,0.255
30.0,25432.497,39.877,306.668,977.634,33.98,149.064,177.092,295.06,810.11,9981.976,298.753,816.105,10223.987,0.0,99043010.133,0.118,23095.143,289.455,774.201,1249.247,289.455,774.201,1249.247,,,,,,,0.0,90216939.417,0.122,21367.193,164.502,220.762,4823.51,164.502,220.762,4823.51,,,,,,,0.0,179334172.733,0.215,21872.944,33.4,303.549,1070.053,29.661,146.547,156.794,292.849,825.576,10496.131,294.982,784.202,10677.234,0.0,85778324.0,0.125
40.0,23005.027,26.721,295.428,1159.323,21.541,144.944,198.402,283.382,516.693,9178.12,285.724,522.786,9800.159,0.0,94215935.667,0.126,22591.29,283.844,937.242,1475.324,283.844,937.242,1475.324,,,,,,,0.0,87149500.883,0.122,28629.873,149.056,452.012,1590.106,149.056,452.012,1590.106,,,,,,,0.0,367106199.117,0.292,22766.392,18.506,300.965,1157.044,15.028,145.97,365.816,280.707,622.252,5627.059,283.093,644.995,5598.381,0.0,93784146.35,0.127
50.0,19706.185,19.654,290.788,2713.67,14.497,143.061,403.953,278.931,643.114,7783.385,281.308,681.233,7950.475,0.0,89219531.55,0.142,22926.913,286.688,920.242,1238.834,286.688,920.242,1238.834,,,,,,,0.0,85404042.633,0.119,22723.366,164.76,306.243,3165.362,164.76,306.243,3165.362,,,,,,,0.0,69338574.35,0.106,21910.961,16.762,457.894,870.696,12.32,146.432,433.627,286.583,856.957,946.713,288.604,858.686,949.358,0.0,96432796.083,0.134
60.0,21064.944,21.812,584.214,1068.005,12.866,247.312,548.686,288.895,826.703,1183.757,290.814,827.723,1187.201,0.0,102392557.517,0.145,23700.289,319.579,624.266,832.657,319.579,624.266,832.657,,,,,,,0.0,92007860.25,0.12,17706.017,163.532,794.569,4875.555,163.532,794.569,4875.555,,,,,,,0.0,55698585.85,0.12,25843.538,38.205,320.418,372.843,15.426,156.512,184.478,284.445,357.242,400.756,288.056,360.401,422.482,0.0,109226929.8,0.124
70.0,24296.468,146.759,323.838,400.904,15.751,157.213,229.214,285.859,381.08,467.207,289.693,389.581,466.974,0.0,117284616.267,0.138,23945.838,337.174,648.463,820.187,337.174,648.463,820.187,,,,,,,0.0,89923293.883,0.117,22352.108,163.479,198.784,4880.626,163.479,198.784,4880.626,,,,,,,0.0,64159189.65,0.103,23501.383,144.97,306.168,322.093,13.755,151.187,159.087,284.486,310.299,385.239,286.277,311.9,418.757,0.0,103189491.15,0.131
80.0,22595.168,149.75,317.518,493.278,15.231,153.867,264.619,284.092,386.616,548.688,288.003,400.176,562.682,0.0,108419629.1,0.141,23792.257,326.93,648.494,827.988,326.93,648.494,827.988,,,,,,,0.0,91732483.783,0.12,21470.515,161.803,177.83,4266.368,161.803,177.83,4266.368,,,,,,,0.0,64676306.483,0.108,21170.624,149.109,304.733,343.407,12.367,152.397,170.257,279.691,329.119,349.455,282.111,331.662,351.067,0.0,97406317.217,0.14
90.0,21333.12,154.39,302.701,312.913,14.041,151.171,158.824,282.213,304.77,324.061,285.012,306.161,326.143,0.0,110980310.233,0.152,21358.934,331.209,844.999,1329.292,331.209,844.999,1329.292,,,,,,,0.0,84100901.2,0.126,21050.552,174.684,334.388,4577.218,174.684,334.388,4577.218,,,,,,,0.0,61235006.033,0.106,19441.645,151.442,298.663,305.57,11.574,147.968,152.304,278.574,300.517,309.739,281.252,301.851,311.305,0.0,112299907.333,0.168
