x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,64.887,33.791,1.945,0.575,0.0,66.379,32.398,1.745,0.57,0.0,52.374,38.521,1.126,0.57,0.0,79.545,40.725,1.839,0.57,0.0
0.1,63.825,33.888,2.09,0.575,0.0,65.205,32.431,1.73,0.57,0.0,46.512,38.553,0.964,0.57,0.0,78.702,40.776,1.883,0.57,0.0
0.2,60.604,34.029,1.949,0.575,0.0,66.741,32.464,1.688,0.57,0.0,45.319,38.566,0.898,0.57,0.0,66.249,40.8,1.89,0.57,0.0
0.5,67.158,34.328,1.972,0.575,0.0,66.053,32.498,1.679,0.57,0.0,45.537,38.581,0.927,0.57,0.0,66.804,40.866,1.947,0.57,0.0
1.0,56.988,34.536,1.649,0.575,0.0,61.6,32.53,1.506,0.57,0.0,54.108,38.603,1.169,0.57,0.0,67.855,40.921,1.682,0.57,0.0
1.5,64.882,34.592,1.39,0.575,0.0,56.844,32.56,1.304,0.57,0.0,56.875,38.63,1.196,0.57,0.0,64.224,40.96,1.181,0.57,0.0
2.0,58.098,34.606,1.007,0.575,0.0,57.766,32.583,1.223,0.57,0.0,54.549,38.65,1.094,0.57,0.0,62.611,40.974,1.579,0.57,0.0
2.5,59.512,34.608,0.823,0.575,0.0,54.075,32.606,1.028,0.57,0.0,49.113,38.672,0.875,0.57,0.0,59.579,40.978,1.868,0.57,0.0
3.0,55.063,34.61,0.67,0.575,0.0,50.881,32.624,0.898,0.57,0.0,45.875,38.693,0.73,0.57,0.0,55.426,40.985,0.587,0.57,0.0
4.0,48.802,34.615,0.48,0.575,0.0,46.549,32.64,0.688,0.57,0.0,38.027,38.709,1.205,0.57,0.0,45.876,40.985,0.44,0.57,0.0
5.0,42.293,34.617,0.34,0.575,0.0,39.785,32.651,0.479,0.57,0.0,35.751,38.717,0.844,0.57,0.0,38.759,40.989,0.267,0.57,0.0
7.5,25.968,41.13,0.122,0.575,0.0,32.969,32.658,0.255,0.57,0.0,24.643,38.725,0.234,0.57,0.0,32.257,40.993,0.317,0.57,0.0
10.0,23.2,34.617,0.086,0.575,0.0,22.105,32.66,0.111,0.57,0.0,18.132,38.726,0.127,0.57,0.0,25.39,40.995,0.16,0.57,0.0
