x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,50.75,267.239,907.685,100.564,367.663,1055.286,103.161,509.567,1078.138,,,,,,,370.734,802.932,940.289,,,,,,,,,,,,,163.722,316.888,604.192,,,,,,,,,,,,,43.746,83.769,177.59,83.633,243.456,5564.916,85.542,266.327,5542.872,,,,,,
10.0,58.136,290.64,621.142,115.988,544.912,1297.553,124.099,629.306,1317.426,,,,,,,358.169,738.075,817.677,,,,,,,,,,,,,162.604,785.48,1470.889,,,,,,,,,,,,,41.897,130.122,418.398,93.952,718.419,1022.127,96.343,725.56,1054.605,,,,,,
50.0,43.173,82.853,901.512,150.203,1573.573,4069.102,154.326,1538.675,4072.473,,,,,,,298.982,1032.25,2178.843,,,,,,,,,,,,,164.094,191.451,4735.122,,,,,,,,,,,,,39.052,110.88,493.984,143.56,394.021,3000.475,148.126,442.591,3221.61,,,,,,
100.0,17.187,198.235,415.823,243.387,619.635,963.746,247.514,630.452,975.844,,,,,,,304.489,640.475,827.639,,,,,,,,,,,,,157.415,186.229,4703.156,,,,,,,,,,,,,14.86,117.061,461.784,227.502,1085.196,4423.778,229.892,1075.38,4385.351,,,,,,
250.0,9.332,550.688,4574.638,1799.604,4652.444,106957.211,1783.99,4717.054,107293.749,,,,,,,544.829,1518.409,2221.499,,,,,,,,,,,,,161.4,971.417,2612.746,,,,,,,,,,,,,10.616,275.765,281.449,532.804,563.167,610.776,535.869,564.484,611.66,,,,,,
500.0,9.077,548.818,4126.657,1503.764,5298.658,8911.073,1502.582,5307.623,8979.848,,,,,,,1086.939,2499.341,4275.358,,,,,,,,,,,,,160.872,288.616,6232.785,,,,,,,,,,,,,9.949,542.915,552.743,1051.093,1104.37,2128.523,1051.464,1105.856,2134.976,,,,,,
1000.0,9.964,2332.246,7178.429,3933.529,17704.259,20875.798,3944.288,17721.989,20822.302,,,,,,,2186.056,5131.498,6991.072,,,,,,,,,,,,,161.626,211.193,4620.683,,,,,,,,,,,,,10.818,1236.212,3746.415,2145.407,5486.804,12757.949,2143.091,5512.282,12763.877,,,,,,
