x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,29981.984,92.695,317.555,963.371,50.75,267.239,907.685,100.564,367.663,1055.286,103.161,509.567,1078.138,0.0,129980076.15,0.121,23945.313,370.734,802.932,940.289,370.734,802.932,940.289,,,,,,,0.0,92334949.983,0.12,33155.364,163.722,316.888,604.192,163.722,316.888,604.192,,,,,,,0.0,306377370.067,0.215,22288.689,76.953,91.805,2735.969,43.746,83.769,177.59,83.633,243.456,5564.916,85.542,266.327,5542.872,0.0,98597884.317,0.134
10.0,26918.481,88.895,393.755,906.973,58.136,290.64,621.142,115.988,544.912,1297.553,124.099,629.306,1317.426,0.0,273978816.983,0.241,24776.692,358.169,738.075,817.677,358.169,738.075,817.677,,,,,,,0.0,91094022.283,0.114,25459.25,162.604,785.48,1470.889,162.604,785.48,1470.889,,,,,,,0.0,80040141.5,0.103,27247.13,69.89,400.86,811.445,41.897,130.122,418.398,93.952,718.419,1022.127,96.343,725.56,1054.605,0.0,118379595.233,0.124
50.0,24983.033,58.028,172.566,2367.483,43.173,82.853,901.512,150.203,1573.573,4069.102,154.326,1538.675,4072.473,0.0,203273724.433,0.203,23559.881,298.982,1032.25,2178.843,298.982,1032.25,2178.843,,,,,,,0.0,88488672.683,0.118,21747.008,164.094,191.451,4735.122,164.094,191.451,4735.122,,,,,,,0.0,66078001.6,0.107,24624.047,47.338,196.988,922.491,39.052,110.88,493.984,143.56,394.021,3000.475,148.126,442.591,3221.61,0.0,289544354.5,0.276
100.0,27805.771,30.003,432.097,716.781,17.187,198.235,415.823,243.387,619.635,963.746,247.514,630.452,975.844,0.0,138597453.717,0.136,24203.783,304.489,640.475,827.639,304.489,640.475,827.639,,,,,,,0.0,93627106.517,0.119,22419.967,157.415,186.229,4703.156,157.415,186.229,4703.156,,,,,,,0.0,67892498.4,0.106,21277.584,20.046,244.652,2344.626,14.86,117.061,461.784,227.502,1085.196,4423.778,229.892,1075.38,4385.351,0.0,130029869.167,0.17
250.0,4501.237,11.739,2385.014,38926.105,9.332,550.688,4574.638,1799.604,4652.444,106957.211,1783.99,4717.054,107293.749,0.0,18571146.433,0.308,12752.405,544.829,1518.409,2221.499,544.829,1518.409,2221.499,,,,,,,0.0,51442862.1,0.16,23824.166,161.4,971.417,2612.746,161.4,971.417,2612.746,,,,,,,0.0,67858311.433,0.1,17284.106,14.111,556.856,566.391,10.616,275.765,281.449,532.804,563.167,610.776,535.869,564.484,611.66,0.0,77366774.1,0.148
500.0,4540.116,11.857,4240.549,5666.744,9.077,548.818,4126.657,1503.764,5298.658,8911.073,1502.582,5307.623,8979.848,0.0,22293241.333,0.322,7132.258,1086.939,2499.341,4275.358,1086.939,2499.341,4275.358,,,,,,,0.0,27854990.167,0.22,18708.222,160.872,288.616,6232.785,160.872,288.616,6232.785,,,,,,,0.0,56771031.383,0.115,8712.691,12.743,1091.464,1116.625,9.949,542.915,552.743,1051.093,1104.37,2128.523,1051.464,1105.856,2134.976,0.0,40227400.25,0.209
1000.0,1926.288,12.205,7725.393,18358.365,9.964,2332.246,7178.429,3933.529,17704.259,20875.798,3944.288,17721.989,20822.302,0.0,9798135.15,0.629,3560.955,2186.056,5131.498,6991.072,2186.056,5131.498,6991.072,,,,,,,0.0,13570396.65,0.361,16570.545,161.626,211.193,4620.683,161.626,211.193,4620.683,,,,,,,0.0,40114192.667,0.11,3225.745,13.262,3046.674,6675.762,10.818,1236.212,3746.415,2145.407,5486.804,12757.949,2143.091,5512.282,12763.877,0.0,15150421.267,0.409
