x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,54.305,40.168,1.878,0.575,0.0,59.705,31.102,1.428,0.57,0.0,48.27,34.529,0.91,0.57,0.0,62.698,38.749,2.057,0.57,0.0
10.0,57.725,40.294,1.361,0.575,0.0,66.031,31.235,1.704,0.57,0.0,54.577,34.853,1.115,0.57,0.0,75.018,38.937,2.168,0.57,0.0
20.0,61.034,40.407,1.373,0.575,0.0,61.669,31.344,1.569,0.57,0.0,56.85,35.127,1.091,0.57,0.0,67.112,39.125,5.595,0.57,0.0
30.0,60.22,40.494,1.425,0.575,0.0,64.627,31.426,1.634,0.57,0.0,55.395,35.346,3.002,0.57,0.0,69.414,39.268,1.391,0.57,0.0
40.0,62.934,40.581,1.406,0.575,0.0,66.041,31.496,1.532,0.57,0.0,49.302,35.599,5.254,0.57,0.0,72.411,39.37,1.608,0.57,0.0
50.0,67.955,40.655,1.552,0.575,0.0,58.211,31.539,1.385,0.57,0.0,56.064,35.72,1.156,0.57,0.0,78.388,39.51,1.767,0.57,0.0
60.0,71.915,40.712,1.917,0.575,0.0,63.455,31.599,1.667,0.57,0.0,48.577,36.019,0.952,0.57,0.0,65.912,39.645,1.748,0.57,0.0
70.0,66.461,40.797,2.077,0.575,0.0,61.182,31.675,1.493,0.57,0.0,48.57,36.328,0.905,0.57,0.0,68.103,39.75,1.673,0.57,0.0
80.0,60.794,40.899,1.735,0.575,0.0,65.538,31.749,1.637,0.57,0.0,53.38,36.564,1.076,0.57,0.0,69.768,39.838,1.623,0.57,0.0
90.0,68.759,40.98,1.989,0.575,0.0,65.811,31.849,1.547,0.57,0.0,49.587,36.801,0.894,0.57,0.0,70.446,39.917,1.886,0.57,0.0
100.0,66.443,41.058,1.881,0.575,0.0,62.595,31.965,1.485,0.57,0.0,46.65,37.043,0.907,0.57,0.0,72.042,39.981,2.442,0.57,0.0
