x_var,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99
2250.0,,,,,,,,,,,,,,,,36.457,161.729,212.292,287.248,347.675,515.803,293.163,355.437,547.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275.0,43.316,156.926,162.046,303.24,325.474,623.222,305.62,327.081,638.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.35,176.378,5003.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600.0,67.62,170.944,176.688,325.253,353.97,386.847,327.6,355.884,386.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625.0,,,,,,,,,,,,,,,,59.029,176.433,194.203,282.4,386.293,403.993,285.162,388.229,414.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,,,,,,,,,,,,,,,,108.718,203.11,213.166,354.128,423.32,446.497,356.764,424.442,455.528,,,,,,,,,,,,,,,,,,,,,,285.484,1002.621,1440.128,,,,,,,,,,,,
3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.434,282.945,3031.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.869,260.277,1644.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.935,901.794,1262.11,,,,,,,,,,,,
4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.673,319.079,419.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.905,385.169,412.164,,,,,,,,,,,,,296.764,913.257,1107.901,,,,,,,,,,,,
6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.557,918.797,1156.648,,,,,,,,,,,,
7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.747,1104.716,1831.509,,,,,,,,,,,,
8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.649,662.396,770.309,,,,,,,,,,,,
