x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_input_throughput,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_input_throughput,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_input_throughput,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_input_throughput,slog_aborts
1.0,15.282,28.816,0.005,0.57,39.0,0.0,5.183,28.652,0.002,0.57,14.0,0.0,38.822,28.819,0.014,0.57,179.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
10.0,50.048,28.821,0.036,0.57,390.0,0.0,23.152,28.653,0.01,0.57,140.0,0.0,56.558,28.837,0.088,0.57,1790.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0
100.0,72.734,28.869,0.264,0.57,3900.0,0.0,63.958,28.664,0.09,0.57,1400.0,0.0,52.737,29.047,0.577,0.57,17900.0,0.0,0.0,0.0,0.0,0.0,3700.0,0.0
500.0,72.013,29.083,1.144,0.57,19500.0,0.0,69.099,28.701,0.41,0.57,7000.0,0.0,47.447,29.398,1.001,0.57,89500.0,0.0,0.0,0.0,0.0,0.0,18500.0,0.0
600.0,71.561,29.312,1.344,0.57,23400.0,0.0,68.703,28.742,0.493,0.57,8400.0,0.0,47.079,29.665,1.104,0.57,107400.0,0.0,0.0,0.0,0.0,0.0,22200.0,0.0
700.0,72.247,29.452,1.536,0.57,27573.0,0.0,66.515,28.765,0.568,0.57,10401.0,0.0,47.205,29.778,1.019,0.57,125572.0,0.0,0.0,0.0,0.0,0.0,26560.0,0.0
800.0,68.853,29.581,1.709,0.57,31200.0,0.0,71.173,28.787,0.647,0.57,11200.0,0.0,47.609,29.907,4.834,0.57,143200.0,0.0,0.0,0.0,0.0,0.0,29600.0,0.0
900.0,68.21,29.752,1.862,0.57,35452.0,0.0,69.2,28.816,0.718,0.57,13373.0,0.0,47.366,30.002,1.028,0.57,161450.0,0.0,0.0,0.0,0.0,0.0,34149.0,0.0
1000.0,69.72,29.876,2.005,0.57,39000.0,0.0,69.256,28.847,0.787,0.57,14000.0,0.0,48.508,30.067,1.096,0.57,179000.0,0.0,0.0,0.0,0.0,0.0,37000.0,0.0
1100.0,60.652,29.999,1.905,0.57,43330.0,0.0,69.49,28.885,0.845,0.57,16345.0,0.0,57.858,30.11,1.258,0.57,197328.0,0.0,0.0,0.0,0.0,0.0,41738.0,0.0
1200.0,65.38,30.142,2.235,0.57,47269.0,0.0,66.983,28.915,0.917,0.57,17831.0,0.0,54.297,30.291,1.288,0.57,215267.0,0.0,0.0,0.0,0.0,0.0,45532.0,0.0
1300.0,65.751,30.385,2.337,0.57,50700.0,0.0,67.51,28.939,0.971,0.57,18200.0,0.0,53.8,30.427,1.25,0.57,232700.0,0.0,0.0,0.0,0.0,0.0,48100.0,0.0
1400.0,64.406,30.516,2.36,0.57,54600.0,0.0,68.3,28.966,1.016,0.57,19600.0,0.0,57.41,30.539,1.36,0.57,250600.0,0.0,0.0,0.0,0.0,0.0,51800.0,0.0
1500.0,56.575,30.632,2.123,0.57,59086.0,0.0,67.781,29.015,1.077,0.57,22289.0,0.0,58.553,30.593,1.358,0.57,269084.0,0.0,0.0,0.0,0.0,0.0,56915.0,0.0
1600.0,68.287,30.716,2.337,0.57,63025.0,0.0,67.214,29.072,1.13,0.57,23775.0,0.0,49.976,30.621,1.201,0.57,287023.0,0.0,0.0,0.0,0.0,0.0,60709.0,0.0
1700.0,69.596,30.793,2.188,0.57,66300.0,0.0,67.956,29.088,1.205,0.57,23800.0,0.0,57.223,30.674,6.359,0.57,304300.0,0.0,0.0,0.0,0.0,0.0,62900.0,0.0
1800.0,63.598,30.843,2.261,0.57,70904.0,0.0,68.695,29.119,1.234,0.57,26747.0,0.0,49.141,30.709,1.044,0.57,322901.0,0.0,0.0,0.0,0.0,0.0,68298.0,0.0
1900.0,68.088,30.899,2.297,0.57,74100.0,0.0,67.29,29.149,1.289,0.57,26600.0,0.0,49.136,30.761,1.195,0.57,340100.0,0.0,0.0,0.0,0.0,0.0,70300.0,0.0
2000.0,69.002,31.041,2.291,0.57,78000.0,0.0,67.559,29.186,1.35,0.57,28000.0,0.0,47.737,31.075,1.157,0.57,358000.0,0.0,0.0,0.0,0.0,0.0,74000.0,0.0
2500.0,71.756,31.432,2.276,0.57,97500.0,0.0,65.143,29.265,1.463,0.57,35000.0,0.0,57.904,31.312,1.141,0.57,447500.0,0.0,0.0,0.0,0.0,0.0,92500.0,0.0
3000.0,72.546,31.582,2.13,0.57,118173.0,0.0,67.342,29.372,1.592,0.57,44579.0,0.0,56.508,31.516,1.16,0.57,538169.0,0.0,0.0,0.0,0.0,0.0,113831.0,0.0
4000.0,68.456,31.643,2.266,0.57,156000.0,0.0,66.588,29.432,1.701,0.57,56000.0,0.0,49.151,31.555,1.113,0.57,716000.0,0.0,0.0,0.0,0.0,0.0,148000.0,0.0
5000.0,60.26,31.752,2.088,0.57,195000.0,0.0,63.387,29.495,1.7,0.57,70000.0,0.0,55.303,31.572,1.329,0.57,895000.0,0.0,0.0,0.0,0.0,0.0,185000.0,0.0
7500.0,62.632,31.903,2.18,0.57,292500.0,0.0,64.637,29.553,1.582,0.57,105000.0,0.0,59.112,31.631,5.084,0.57,1342500.0,0.0,0.0,0.0,0.0,0.0,277500.0,0.0
10000.0,63.043,32.027,2.195,0.57,393911.0,0.0,64.712,29.628,1.7,0.57,148598.0,0.0,58.873,31.735,1.278,0.57,1793899.0,0.0,0.0,0.0,0.0,0.0,379436.0,0.0
25000.0,63.48,32.224,2.269,0.57,984779.0,0.0,66.998,29.759,1.847,0.57,371495.0,0.0,57.242,31.797,1.305,0.57,4484748.0,0.0,0.0,0.0,0.0,0.0,948592.0,0.0
50000.0,55.614,32.515,2.045,0.57,1969558.0,0.0,67.136,29.948,1.765,0.57,742990.0,0.0,58.519,31.88,1.389,0.57,8969497.0,0.0,0.0,0.0,0.0,0.0,1897184.0,0.0
100000.0,55.362,33.123,2.06,0.57,3900000.0,0.0,60.998,30.279,1.735,0.57,1400000.0,0.0,52.165,32.006,1.378,0.57,17900000.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0
