x_var,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost
0.0,22623.0,256.358965,301.69497970000003,327.0719402,350.8371787000001,256.358965,301.69497970000003,327.0719402,350.8371787000001,,,,,,,,,0.0,102751430.25,0.13570386796622905,36626.0,68.9226695,134.305223,4738.64259075,7237.971181400002,64.920997,120.265741,4478.418478,7142.886456000011,84.4431325,386.65607930000004,5545.756785100002,7849.438989239999,82.98031,228.52459199999993,5017.395071999999,7306.073368319993,0.0,216959465.11666667,0.14618547759333075,45138.0,76.684908,109.7068946,143.39371630000008,2370.3453034000163,73.1960865,107.57374990000001,131.03032919999987,2270.8480375299982,89.148065,115.0379974,270.869649,3044.5662921400008,87.90200300000001,115.6856425,253.3943885,2522.339022299999,0.0,261154896.7,0.13820058341087332,40201.0,10.7362,17.536887,20.8521514,50.419915759999725,10.7362,17.536887,20.8521514,50.419915759999725,,,,,,,,,0.0,181205710.01666668,0.11539798015803918
0.1,22929.0,238.962052,310.5871296,319.53318219999994,406.6712810400057,238.962052,310.5871296,319.53318219999994,406.6712810400057,,,,,,,,,0.0,104672809.31666666,0.1355687638507276,40714.0,66.227575,145.12193179999997,224.49227359999975,2817.68598814,63.903616,136.21995160000003,208.31077689999992,2740.0601019000014,84.549774,180.78144490000003,608.4495360000051,2898.2084633699997,82.0339235,168.1298775,345.12170125,2837.1099945,0.0,241323424.41666666,0.14347567147254833,36514.0,58.548163,206.228632,378.961414,1543.834604,46.065541,197.880083,287.909261,1529.9032284999996,115.22297,234.582248,707.5332557500001,1622.3629766000008,98.5123485,222.67118440000002,627.2499003999997,1583.9882659399998,0.0,209922142.78333333,0.14277928618246882,29592.0,8.709884,13.327200400000025,362.7770863999992,1113.41450008,8.709884,13.327200400000025,362.7770863999992,1113.41450008,,,,,,,,,0.0,134528818.45,0.12522223469180863
0.2,23116.0,252.443744,294.1624676000001,315.3251448,332.0220573600001,252.443744,294.1624676000001,315.3251448,332.0220573600001,,,,,,,,,0.0,106784516.01666667,0.13629911404798983,41898.0,58.587597,146.19940119999998,858.9430895499993,4415.2045721,50.842992,132.94280559999999,750.0685837999879,4329.755420799996,86.24511100000001,235.97581820000036,1411.8154054999948,4717.315665039997,81.598722,207.202109,1109.339888,4481.8734804,0.0,247672644.78333333,0.14245197612455643,37419.0,58.9240925,193.40030080000002,407.80330759999845,2582.2163010200006,52.990439,186.26428819999995,373.1691749999996,2564.19931964,75.99485999999999,227.8437805,525.8499479999999,2688.73772825,80.436691,231.16202440000004,572.8005285999983,2636.5870462000003,0.0,217709420.25,0.14348829217777068,27479.0,9.886152,21.954386900000017,100.30812519999988,269.7395361700005,9.886152,21.954386900000017,100.30812519999988,269.7395361700005,,,,,,,,,0.0,124745830.56666666,0.12773087125926463
0.5,21343.0,256.200726,384.299143,413.24629,482.6676303999995,256.200726,384.299143,413.24629,482.6676303999995,,,,,,,,,0.0,98038796.45,0.1394263191210233,37482.0,68.06598550000001,260.4131069999998,661.1931281499993,1889.2037395600003,59.503776,236.45803160000006,635.6371616,1827.2740210600005,98.99718200000001,398.0377980000007,831.2340845000016,2254.4438394400004,95.646169,370.99457,741.525686,2011.919963,0.0,221357314.21666667,0.14519359384059904,37008.0,76.111593,275.6435354000001,547.8763749999989,1127.547059919993,71.36710550000001,255.71340790000028,526.39813295,1091.9221901099995,92.190441,346.99907899999994,620.7565095999997,1236.1441723999976,92.2486895,336.8501272,613.4929950999995,1179.0594779300002,0.0,215407561.71666667,0.14383785220312723,26254.0,12.9227795,31.906002300000004,49.31873340000001,164.9351510299998,12.9227795,31.906002300000004,49.31873340000001,164.9351510299998,,,,,,,,,0.0,119972224.06666666,0.13005425768771742
1.0,20836.0,238.653883,402.652195,450.44132569999977,579.25261984,238.653883,402.652195,450.44132569999977,579.25261984,,,,,,,,,0.0,94060112.11666666,0.13899991564279773,35774.0,110.708413,286.39663140000005,356.6275381999999,559.5306130799979,93.4805375,263.7295083000001,327.52444939999987,532.2545389499999,167.550329,335.1982742,405.3883753000001,586.2957485800003,180.873309,361.2615827999999,442.52249009999986,666.8082546499985,0.0,210546704.48333332,0.14608190556456274,35640.0,100.519714,315.6938842,377.1579844999999,536.1354960199998,88.083299,302.0124387000001,361.47939404999994,511.486656209999,128.46144399999997,350.2480772,414.4897304999997,569.9287156000003,159.139575,366.64814420000005,438.70725289999996,639.6537675599999,0.0,206761846.21666667,0.144507208875795,21546.0,11.160406,37.76461480000001,89.37561,216.38440796,11.160406,37.76461480000001,89.37561,216.38440796,,,,,,,,,0.0,97951793.61666666,0.1380319257557474
1.5,20436.0,218.431751,460.6185176,579.9321880999996,816.33408618,218.431751,460.6185176,579.9321880999996,816.33408618,,,,,,,,,0.0,89805940.15,0.13755719333529068,30657.0,115.0645,364.39773880000024,477.402675,736.2734523399998,89.826488,322.9223073999998,434.40486919999967,694.3008719600003,183.913418,427.5616738000001,539.4068897,794.5262304800001,237.260361,487.36535980000014,614.3618246,866.9475726999999,0.0,179605684.93333334,0.1502793390960194,31224.0,117.33110099999999,348.0831819,440.1363657999998,714.1473089199999,100.54652,326.1998122,417.7301864499998,691.8082815999993,153.033354,370.21731009999996,455.40971734999994,741.0688255100001,208.7530645,429.60959299999996,526.9316937499998,812.2226716500002,0.0,179617824.73333332,0.14755817623195835,15461.0,11.36223,63.491460000000004,188.66034220000006,232.74526351000003,11.36223,63.491460000000004,188.66034220000006,232.74526351000003,,,,,,,,,0.0,70510509.91666667,0.15685985371795705
2.0,18526.0,228.771594,524.3004527,676.0699816499994,1022.0264295299987,228.771594,524.3004527,676.0699816499994,1022.0264295299987,,,,,,,,,0.0,79866874.16666667,0.14100925636043038,23615.0,173.939001,474.50134019999996,615.0233576000004,866.2911414799986,134.7011475,422.4362195,557.1378714499995,803.5045036999998,240.283888,544.5714238000003,681.3671261499996,977.01232374,315.379457,652.748102,771.563137,1094.9384632000035,0.0,138488970.55,0.16027014232479356,22767.0,167.896589,506.14538899999997,665.4336464999994,1022.3350894300007,141.309548,471.730695,641.3778035,979.0209653999992,197.717718,530.1490205,663.30048175,951.8362678,273.344303,655.8902932,799.4157965999998,1208.7041388399998,0.0,130875981.23333333,0.15955196664763324,11622.0,11.3187535,167.42243320000003,211.88320449999998,358.3317123200009,11.3187535,167.42243320000003,211.88320449999998,358.3317123200009,,,,,,,,,0.0,52930278.88333333,0.17842071740377446
2.5,15838.0,253.187753,648.9388995,845.1514719499999,1355.4016893499972,253.187753,648.9388995,845.1514719499999,1355.4016893499972,,,,,,,,,0.0,67835684.93333334,0.14974830778296924,18835.0,208.555554,620.0093632,779.1251286999996,1182.2894219800003,176.308164,560.4756882,714.3470609999999,1126.4194930600004,274.999988,703.8155698000002,878.2308679999996,1332.598382059999,374.864629,818.5409378000002,956.3170858,1397.045796160001,0.0,109946185.11666666,0.17063571554729667,19514.0,210.293319,572.7140108,719.1397339,1186.1583702299997,187.827066,538.3116762000003,688.2928865999997,1080.67135038,237.029799,578.6235077000002,722.989378,1376.3099455099998,326.491584,715.3716396000002,861.8719489999996,1450.7523807599996,0.0,111851011.15,0.1666506212462847,8581.0,12.032611,206.3741066,227.08832139999998,603.5662606799997,12.032611,206.3741066,227.08832139999998,603.5662606799997,,,,,,,,,0.0,39111395.4,0.20944271157207783
3.0,14248.0,274.637568,747.7581296000004,898.0395314,1462.7242387999997,274.637568,747.7581296000004,898.0395314,1462.7242387999997,,,,,,,,,0.0,60534443.86666667,0.15621061744338385,14781.0,255.179883,771.7812096000004,995.322587,1646.2998967600006,217.246935,699.9571715,916.58443775,1580.9788745,341.987164,868.3709692000001,1116.7950667999999,1732.02378896,472.842349,1000.0648874999999,1271.0959021499984,1852.8370985699996,0.0,85921727.78333333,0.18492893279660824,15603.0,248.59551,724.0476014000002,903.9357966,1447.1090636899996,221.606463,683.5973906,866.8747169999999,1413.484664159994,275.6986875,735.6702753000003,918.7254349,1436.4161339300001,420.320885,885.476686,1090.106479,1663.539189,0.0,89552277.51666667,0.17984013012454872,7149.0,12.3826195,215.36913550000003,279.99190809999993,626.7888530199999,12.3826195,215.36913550000003,279.99190809999993,626.7888530199999,,,,,,,,,0.0,32716868.95,0.2335064175409148
4.0,10096.0,371.403295,1018.9457572000005,1346.4045549999996,2245.9107850000073,371.403295,1018.9457572000005,1346.4045549999996,2245.9107850000073,,,,,,,,,0.0,42366567.68333333,0.18446229731246697,10391.0,379.402604,1029.58299,1328.551561,2305.8183303999976,307.5822605,944.2028693,1232.5048960999998,2303.063794440002,502.55337199999997,1140.4619495000002,1411.25517525,2172.9637735,685.321338,1327.8716002,1595.7461452999996,2500.4478481199935,0.0,60844505.516666666,0.21479069486414526,9216.0,364.7284705,1048.3880499000004,1340.3006533,2340.7683275599998,315.12766,993.4904474,1281.8810063999993,2152.5007721199995,441.02259300000003,1098.7673315000002,1392.5628564499991,2465.05762674994,611.7724,1291.1182239999998,1583.9490054999997,3187.4000290200006,0.0,52840495.18333333,0.22480576211660885,4344.0,24.070983,312.7489501,509.5349635499973,1016.5344282500012,24.070983,312.7489501,509.5349635499973,1016.5344282500012,,,,,,,,,0.0,19941634.783333335,0.3254679317833026
