x_var,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost
0.0,23469.0,187.313498,259.25127399999997,343.77083625,1067.0447335000013,187.313498,259.25127399999997,343.77083625,1067.0447335000013,,,,,,,,,0.0,103302631.41666667,0.13128180273268283,41190.0,140.113981,287.52480270000007,383.7732625,610.2932976500001,135.442453,274.8230123999999,370.44475014999995,594.32226381,161.95658500000002,399.14362909999994,504.59838295,671.50431035,157.131551,397.1761335,498.15956759999983,667.6368391700003,0.0,234488429.06666666,0.13849887305980418,39992.0,142.028858,180.99012059999998,529.3836663999999,792.3688835400002,137.97881,178.265856,515.75031,780.818831199996,150.7352115,209.21555030000007,655.6034207499995,901.2684934,151.147574,266.591274,638.0034732500001,905.7079851999996,0.0,223816770.93333334,0.13731084763619394,25468.0,11.0600795,138.80349550000003,141.69154395,145.59093372,11.0600795,138.80349550000003,141.69154395,145.59093372,,,,,,,,,0.0,115558900.21666667,0.1306022461258573
20.0,23487.0,216.924862,260.20741000000004,295.1571591999998,356.24724656,216.924862,260.20741000000004,295.1571591999998,356.24724656,,,,,,,,,0.0,104291563.06666666,0.13202330060600898,40898.0,144.675456,223.244843,315.1060685,528.9941726000008,139.649463,216.475331,305.0791515,512.7826910600021,154.852755,308.2028244,370.96216189999984,567.95826488,152.300138,261.62865339999996,338.12856579999993,550.8134172799996,0.0,236933287.76666668,0.1406833037149331,37347.0,143.018087,209.178173,447.853169,990.2868044000002,136.364087,196.40462219999995,422.3681698999992,965.7048858400012,151.7822805,257.0009945,646.7776975999972,1036.50507296,153.108704,253.009699,614.6815399499986,1034.6568445600005,0.0,212198124.38333333,0.14081351882792909,25972.0,11.015406,140.47221050000002,143.75248675,147.78838525,11.015406,140.47221050000002,143.75248675,147.78838525,,,,,,,,,0.0,117669011.85,0.12969275515940243
40.0,22936.0,204.135581,286.124755,346.49915859999953,757.3678259200001,204.135581,286.124755,346.49915859999953,757.3678259200001,,,,,,,,,0.0,102022848.01666667,0.13321664459074528,38543.0,145.95211,246.37844130000002,315.99473109999997,529.44331318,140.0811655,226.16610080000007,295.99187020000005,505.35518594000257,157.80754000000002,313.6443528000001,378.0919019499998,652.4244348899988,153.19651249999998,279.1868795,343.72277479999997,616.9693772300001,0.0,227221930.45,0.14423990371792544,34152.0,143.223487,207.1640426000004,567.9696609499998,1250.0177239599998,137.919276,183.07061020000003,530.2459443,1193.956504399997,150.4016415,376.59200060000006,664.1786850999999,1434.2943867799997,150.0339555,372.69687240000036,657.0076280500001,1312.316648019998,0.0,196210220.91666666,0.1446241631041618,31560.0,8.576694,150.70868020000003,160.3980511,169.53790524,8.576694,150.70868020000003,160.3980511,169.53790524,,,,,,,,,0.0,142879209.08333334,0.12270545569286016
60.0,21019.0,232.82074,292.89241130000005,362.9373702999999,722.7363332900004,232.82074,292.89241130000005,362.9373702999999,722.7363332900004,,,,,,,,,0.0,93478802.28333333,0.1372365976338868,36741.0,146.1076725,276.39714100000003,471.52278225000003,556.4176603999991,138.620794,244.3102844000002,418.6307250999991,548.4933464800001,153.135045,462.645639,504.5660545,601.4970959999999,151.18397149999998,395.8138298000002,483.9636374,569.1789117899999,0.0,219289585.21666667,0.14699631758344442,31990.0,144.1180855,239.38477780000048,536.4802230999996,1490.1213654300004,137.4716525,190.04310340000012,503.2376728499992,1475.9320959700015,151.56636600000002,359.89492610000025,727.3829507499998,1628.0066952200018,150.5041095,365.1448460000002,703.9768415999991,1547.9735931600007,0.0,186553623.81666666,0.14836112773783475,30940.0,8.11568,11.3989628,20.759060399999882,2716.7779880600006,8.11568,11.3989628,20.759060399999882,2716.7779880600006,,,,,,,,,0.0,139871514.7,0.12322011292824821
80.0,20811.0,251.34438849999998,276.8181734,333.8096509999998,425.85301878999996,251.34438849999998,276.8181734,333.8096509999998,425.85301878999996,,,,,,,,,0.0,93163365.8,0.1383050942290135,36402.0,147.041402,264.40635160000005,362.9234325999997,492.4596029599991,140.15991400000001,236.56686000000002,327.23256125,467.16174465000034,153.887842,357.0631042,431.14862219999986,632.5819743199991,151.7011525,314.448993,402.01590975,551.645356,0.0,221219076.91666666,0.1494253485614343,32372.0,143.35098299999999,349.473009,607.544635,1091.81776,135.506962,283.9586266000001,548.6072133999999,1075.1176146399996,148.8923115,505.6633260000001,669.2126540500001,1140.8981605499996,148.815788,492.894093,654.502381,1122.2147790000004,0.0,189853535.25,0.14864916301124428,30025.0,8.241546,11.8146874,13.745152,3402.906469480005,8.241546,11.8146874,13.745152,3402.906469480005,,,,,,,,,0.0,135440847.28333333,0.12402387829031362
100.0,19579.0,228.70812949999998,380.2205417,446.74695239999994,758.1306072899994,228.70812949999998,380.2205417,446.74695239999994,758.1306072899994,,,,,,,,,0.0,86945102.68333334,0.14065590957999216,35173.0,145.934528,252.45025280000002,515.3586769999997,738.4181684600002,135.85261,213.7761052,432.96560019999947,720.26105624,150.775779,310.52252840000006,650.2930709999999,788.5346575199999,149.838618,276.6133454,593.5041818000001,757.5217239599999,0.0,215679832.5,0.1514967915730816,31803.0,143.646344,320.4360373999998,590.2083895999976,1044.0755475999995,135.175558,233.18583439999992,533.7619563999998,1004.7205803700001,148.593453,397.3437980000001,761.1444437999992,1095.9893692000003,148.567195,394.3064734,783.0472069000026,1088.6412597100002,0.0,188717921.18333334,0.15059454842834535,30067.0,8.36045,11.420851,12.99251604999999,3399.47687948999,8.36045,11.420851,12.99251604999999,3399.47687948999,,,,,,,,,0.0,135860346.63333333,0.12412967481513508
