Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
1130834824331264,False,False,1750084865452412009,1750084865529557259,77.14525,0.00031,0.01011,0.0,0.61607,0.09451,0.00027,0.00193,0.00254,0.0,76.4195
545018465026049,False,False,1750084858786005072,1750084858854185637,68.18057,0.00031,0.01014,0.0,4.51216,0.17711,0.00033,0.00268,0.00261,0.0,63.47521
498040112742401,False,False,1750084858250952786,1750084858317516913,66.56413,0.0003,0.0101,0.0,2.31184,0.17747,0.00028,0.0026,0.0028,0.0,64.05874
129437429465088,True,False,1750084854002220208,1750084854083717363,81.49715,0.66782,0.0092,0.0,3.83298,0.07267,0.00028,0.0017,0.97981,0.0,75.9327
290210940256256,True,False,1750084855864793717,1750084855953705735,88.91202,0.45199,0.0108,0.0,3.31685,0.2988,0.00028,0.00175,1.06991,0.0,83.76162
145191369506816,False,False,1750084854185202062,1750084854265158631,79.95657,0.00043,0.01087,0.0,4.36515,0.0,0.0,0.0,0.0,0.0,75.58011
438494686150657,False,False,1750084857572676289,1750084857640288683,67.61239,0.0006,0.01118,0.0,4.92577,0.21286,0.00023,0.00282,0.00289,0.0,62.45605
938978635218945,False,False,1750084863265691220,1750084863331966537,66.27532,0.00031,0.01467,0.0,1.1725,0.10598,0.00024,0.18182,0.00259,0.0,64.79721
531270274711553,True,False,1750084858629682076,1750084858696527308,66.84523,0.00013,0.00739,0.0,0.49483,0.99916,0.00056,0.0051,1.05901,0.0,64.27904
677539680944129,False,False,1750084860318970076,1750084860384319045,65.34897,0.00052,0.00494,0.0,2.79872,0.18545,0.00024,0.00239,0.00298,0.0,62.35373
1563380980711425,False,False,1750084870337081562,1750084870414106058,77.0245,0.00029,0.01334,0.0,4.39466,0.18298,0.00027,0.00294,0.00427,0.0,72.42575
401910154723328,True,False,1750084857155652959,1750084857236117927,80.46497,1.42514,0.01065,0.0,2.88941,0.3704,0.00025,0.00219,0.74504,0.0,75.02189
1172148114751488,True,False,1750084865920604186,1750084866000529697,79.92551,1.93139,0.00649,0.0,3.96488,3.05649,0.00024,0.00123,1.73923,0.0,69.22556
378674381651968,False,False,1750084856890348950,1750084856970494321,80.14537,0.00052,0.01093,0.0,5.5411,0.0,0.0,0.0,0.0,0.0,74.59282
1357587622723585,False,False,1750084868041932076,1750084868106581519,64.64944,0.00033,0.00981,0.0,1.65412,0.21726,0.00028,0.00248,0.00265,0.0,62.76251
