intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
1,1.0,5757,31,150,297,29,147,286,1156,46,285,302,1153,49,288,305,1153,29,146,287,1146,29,146,286,1150,0
1,0.9,5985,29,150,293,27,146,281,1202,48,285,295,1192,51,288,298,1199,28,146,279,1196,28,146,281,1195,10
1,0.8,5683,31,149,292,29,145,282,1134,49,283,295,1147,52,286,297,1137,29,145,283,1132,29,145,282,1133,20
1,0.7,5607,37,148,288,33,144,277,1121,53,282,290,1125,55,284,293,1118,33,144,278,1119,33,144,277,1124,30
1,0.6,4916,31,150,292,29,145,282,980,50,283,294,980,53,285,297,981,29,145,282,990,29,145,283,985,40
1,0.5,5790,30,148,287,28,144,278,1155,50,280,289,1159,52,283,291,1158,28,144,277,1156,28,144,277,1162,50
1,0.4,5762,32,148,289,29,144,278,1149,51,282,291,1155,54,284,294,1147,29,144,279,1157,29,144,277,1154,60
1,0.3,5556,33,150,290,31,145,278,1106,53,282,294,1121,55,284,296,1111,31,145,278,1108,30,145,277,1110,70
1,0.2,5725,31,155,297,29,148,282,1144,47,285,302,1151,50,288,305,1146,29,148,282,1145,29,148,281,1140,80
1,0.1,5706,33,151,293,30,146,282,1139,45,284,296,1142,48,286,299,1143,30,146,282,1139,30,146,282,1143,90
1,0.0,5748,31,150,291,29,145,278,1147,50,283,294,1153,52,285,297,1151,29,145,277,1144,29,145,277,1153,100
2,1.0,4550,50,257,302,47,151,297,909,66,290,306,910,69,294,308,911,45,149,201,915,45,148,210,905,0
2,0.9,4570,41,185,302,39,152,297,914,68,293,305,919,71,296,308,912,38,150,160,907,38,150,163,918,10
2,0.8,4544,41,163,300,39,151,294,900,68,292,302,912,72,295,306,908,38,149,157,914,38,149,156,910,20
2,0.6,4394,43,250,300,41,151,294,878,72,292,302,879,75,295,305,881,40,149,157,877,40,149,157,878,40
2,0.5,4267,42,286,435,40,160,376,857,69,298,603,856,72,301,598,856,39,154,355,854,39,154,356,844,50
2,0.4,4417,48,160,299,45,150,294,887,69,290,301,888,73,293,306,878,43,148,169,882,42,148,160,882,60
2,0.3,4280,47,208,304,44,151,299,858,70,290,323,855,73,293,320,854,42,148,239,858,42,148,243,855,70
2,0.2,4296,44,281,301,41,152,296,857,69,292,303,863,72,295,307,859,39,150,163,860,39,149,162,856,80
2,0.1,4345,43,254,306,41,156,300,871,72,297,314,872,75,300,317,864,40,153,215,867,40,153,209,871,90
2,0.0,4432,42,218,312,39,160,303,884,67,300,324,889,69,304,326,885,38,156,186,890,38,156,185,885,100
5,1.0,3042,66,145,169,62,107,153,606,85,156,174,610,89,160,178,605,60,86,97,606,60,86,97,614,0
5,0.9,3026,67,146,171,62,110,154,603,84,158,177,603,88,162,180,607,61,88,101,607,61,87,100,607,10
5,0.8,2730,64,133,149,61,114,138,551,84,139,154,547,92,143,158,543,60,76,87,543,60,76,87,546,20
5,0.7,2971,66,144,265,62,129,208,595,89,151,302,598,95,156,332,595,61,91,204,591,61,91,199,592,30
5,0.6,2995,67,140,159,63,118,145,597,90,148,165,601,94,152,167,604,63,80,90,594,62,80,90,600,40
5,0.5,2959,69,149,171,64,112,157,589,87,159,178,592,91,163,181,594,63,87,99,591,63,87,98,593,50
5,0.4,2881,77,299,331,69,163,319,578,119,306,355,577,124,312,374,575,67,159,267,574,67,159,261,577,60
5,0.3,2990,80,302,325,70,165,311,600,115,313,330,598,120,318,335,596,68,162,173,595,68,162,173,600,70
5,0.2,2957,85,298,321,76,164,307,597,121,309,329,593,123,313,332,585,73,159,174,593,73,159,173,589,80
5,0.1,2937,83,301,324,73,165,309,586,119,312,329,586,124,317,334,588,70,161,172,587,70,161,173,589,90
5,0.0,2922,80,301,325,72,165,310,589,124,312,331,583,128,317,336,583,70,162,174,584,70,162,176,584,100
20,1.0,1321,143,373,548,147,328,429,260,17,284,362,267,227,510,690,265,147,321,402,265,145,320,394,264,0
20,0.9,1186,148,326,446,148,242,361,235,42,216,284,240,210,428,522,235,147,234,298,237,147,235,300,239,10
20,0.8,1205,150,332,449,151,247,369,240,60,224,288,242,208,435,511,240,149,237,279,243,149,238,283,241,20
20,0.7,1238,152,356,475,149,258,367,248,75,244,390,251,213,456,542,249,151,254,296,244,150,251,289,247,30
20,0.6,1190,150,332,443,150,241,336,236,73,223,298,241,212,431,491,235,150,234,282,237,149,234,277,241,40
20,0.5,1196,157,351,510,155,275,387,241,76,274,376,239,221,488,574,241,154,270,318,237,156,271,319,238,50
20,0.4,832,166,441,2972,164,369,3857,167,139,435,1352,168,291,628,4980,166,164,349,2976,166,163,354,2982,165,60
20,0.3,1221,158,360,467,156,259,438,246,110,286,428,245,224,434,572,242,154,245,392,246,154,242,398,243,70
20,0.2,1066,158,331,391,155,220,325,212,135,306,353,216,240,378,439,212,156,207,256,215,155,206,258,212,80
20,0.1,1214,157,355,527,155,281,362,240,94,302,439,245,221,497,621,242,155,271,332,244,153,268,335,243,90
20,0.0,1166,166,373,622,159,291,606,230,170,416,755,236,236,436,679,232,159,254,583,234,158,253,576,233,100
