intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
1,1.0,9363,57,178,255,50,148,232,1874,76,205,278,1870,78,207,282,1868,50,147,230,1870,50,147,230,1881,0
1,0.9,9005,49,184,357,44,168,208,1803,65,319,383,1796,67,202,256,1802,45,180,332,1804,45,181,331,1800,10
1,0.8,8702,34,312,491,30,190,411,1740,48,379,787,1747,51,275,460,1739,31,285,471,1741,31,286,468,1735,20
1,0.7,8855,32,229,360,22,175,224,1768,41,335,413,1779,43,208,268,1772,27,200,340,1771,27,200,337,1765,30
1,0.6,8419,25,287,311,16,159,178,1681,32,306,332,1682,34,173,202,1688,21,166,307,1679,21,166,306,1689,40
1,0.5,7684,25,288,301,12,155,167,1535,137,298,314,1543,114,165,184,1537,51,161,299,1534,136,161,299,1536,50
1,0.4,6810,141,286,295,11,152,159,1364,142,293,300,1366,145,160,167,1365,142,155,294,1361,142,155,294,1354,60
1,0.3,5993,142,285,293,11,150,158,1196,143,291,300,1202,146,158,167,1196,142,176,292,1201,142,180,292,1198,70
1,0.2,5274,143,286,297,13,153,164,1054,145,294,308,1060,147,161,182,1051,143,281,296,1052,143,280,295,1057,80
1,0.1,4575,144,288,341,139,187,242,917,152,312,398,914,148,185,252,916,143,284,332,911,143,283,326,917,90
1,0.0,3860,147,316,492,142,274,398,768,273,350,638,776,149,234,403,769,145,326,478,771,145,324,482,774,100
2,1.0,7119,63,284,430,58,268,412,1425,78,316,474,1430,80,325,484,1424,52,242,365,1412,52,240,359,1428,0
2,0.9,6630,47,318,901,40,258,786,1326,59,386,1289,1330,63,353,910,1327,38,276,861,1328,38,275,861,1319,10
2,0.8,6161,55,335,893,50,228,720,1231,80,410,1136,1235,83,317,884,1233,50,260,860,1226,50,259,855,1235,20
