intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
1,1.0,4008,137,276,283,135,267,276,802,150,277,287,811,176,280,290,797,135,266,276,797,135,266,276,800,0
1,0.9,4010,136,275,282,135,266,275,796,148,276,284,807,263,279,286,805,135,267,276,795,135,267,276,806,10
1,0.8,4013,136,275,282,135,266,275,803,149,276,283,805,244,279,287,806,135,266,275,796,135,266,275,802,20
1,0.7,3995,137,276,284,135,267,277,801,146,277,288,805,265,280,305,796,135,267,278,796,135,267,277,797,30
1,0.6,4005,136,275,282,135,266,275,805,150,276,285,803,264,279,290,797,135,267,275,801,135,266,275,799,40
1,0.5,4021,136,275,281,135,266,275,802,259,276,283,810,262,279,288,801,135,266,275,805,135,265,274,804,50
1,0.4,4007,136,275,283,135,266,275,800,162,277,285,802,264,280,292,799,135,265,276,807,135,266,275,798,60
1,0.3,4019,136,275,282,135,266,275,806,260,276,284,807,264,279,290,800,135,266,275,803,135,265,274,803,70
1,0.2,4010,136,275,283,135,265,275,800,152,276,285,807,264,279,304,803,135,265,275,798,135,265,275,801,80
1,0.1,4017,136,274,281,135,266,275,800,258,276,283,809,263,279,293,803,135,266,275,805,135,265,274,800,90
1,0.0,3983,136,274,282,135,266,275,798,150,275,284,799,263,278,301,798,135,266,275,792,135,266,274,795,100
2,1.0,3777,143,292,309,141,278,297,755,227,297,315,763,188,301,321,753,141,156,277,757,140,156,274,749,0
2,0.9,3801,142,290,307,140,276,294,760,170,296,314,764,269,299,318,761,140,154,275,756,139,154,273,760,10
2,0.8,3816,141,288,308,139,275,294,762,200,294,317,773,186,298,323,759,139,154,274,759,139,154,273,764,20
2,0.7,3824,141,287,303,139,276,292,766,163,292,308,770,269,296,314,764,139,152,272,759,139,152,273,766,30
2,0.6,3817,142,288,302,140,276,293,765,158,293,306,771,268,296,311,758,139,152,275,762,139,152,274,761,40
2,0.5,3803,142,289,304,140,276,292,759,265,294,308,768,270,297,316,758,140,153,276,760,140,152,275,760,50
2,0.4,3806,142,288,303,140,277,293,763,261,293,306,765,270,297,314,763,139,152,276,756,139,152,274,759,60
2,0.3,3759,142,290,312,140,279,299,751,267,293,320,762,272,297,380,744,140,153,288,752,140,153,288,750,70
2,0.2,3704,142,289,359,140,277,304,740,262,294,377,744,270,299,413,737,139,156,287,742,139,156,285,741,80
2,0.1,3834,141,286,300,139,275,291,766,264,290,304,772,263,294,318,764,139,150,272,764,138,150,274,768,90
2,0.0,3862,140,283,296,138,273,286,767,202,286,299,778,268,290,322,768,138,147,272,775,137,148,271,774,100
5,1.0,2630,221,536,636,177,358,541,527,279,593,696,533,285,597,697,522,164,339,401,523,162,338,399,525,0
5,0.9,2531,237,568,687,187,374,569,504,279,618,738,511,285,624,746,504,167,362,408,504,169,361,405,508,10
5,0.8,2508,246,574,686,170,395,574,500,280,621,766,507,286,629,789,499,158,373,430,503,158,375,429,498,20
5,0.7,2532,203,562,742,166,402,563,506,280,647,782,512,286,662,793,499,159,392,431,508,160,391,429,508,30
5,0.6,2458,235,583,766,177,404,623,490,282,642,823,498,288,653,860,494,170,388,541,489,165,385,529,486,40
5,0.5,2466,238,586,725,185,394,589,493,281,654,775,497,287,664,784,491,168,382,423,491,167,382,422,493,50
5,0.4,2453,256,593,704,185,389,602,488,283,643,771,494,290,652,785,489,174,376,425,490,171,375,423,491,60
5,0.3,2255,248,636,849,206,441,670,453,297,743,896,458,302,737,919,449,200,428,496,448,198,430,495,448,70
5,0.2,2277,253,591,705,223,390,586,454,324,649,750,463,331,657,762,453,218,371,431,450,217,370,428,457,80
5,0.1,2266,261,586,683,228,387,586,453,320,634,723,459,328,647,753,456,223,355,447,451,223,357,448,448,90
5,0.0,2306,241,543,679,218,400,540,462,322,604,768,465,331,613,782,457,214,368,454,464,214,367,451,458,100
20,1.0,1070,293,1016,1586,323,957,1080,214,132,860,987,218,396,1579,1922,212,314,946,1008,213,312,945,1007,213,0
