intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
1,1.0,9494,52,178,233,43,154,192,1899,69,198,280,1904,71,199,282,1898,43,154,192,1897,43,153,192,1896,0
1,0.9,9324,50,193,352,43,165,232,1863,64,306,420,1862,66,210,292,1870,45,185,303,1862,45,185,301,1867,10
1,0.8,8911,39,210,392,33,178,237,1773,56,341,511,1786,58,211,340,1784,35,189,381,1794,35,189,373,1774,20
1,0.7,8503,30,231,392,22,172,221,1708,39,327,586,1701,42,196,430,1695,26,187,378,1695,26,187,388,1704,30
1,0.6,7508,25,294,319,17,163,181,1499,33,310,337,1500,35,176,210,1507,22,167,317,1496,22,166,317,1506,40
1,0.5,7656,25,288,301,13,156,167,1532,70,298,307,1527,128,165,176,1535,137,160,300,1533,50,160,300,1529,50
1,0.4,6714,141,287,297,12,155,163,1343,142,294,303,1347,146,162,171,1338,142,159,297,1346,142,160,297,1341,60
1,0.3,5616,143,288,302,13,155,167,1119,144,295,317,1128,147,163,208,1124,143,282,303,1122,143,282,302,1122,70
1,0.2,5250,144,287,298,15,155,164,1050,146,294,305,1053,148,162,173,1047,144,282,298,1048,143,280,297,1052,80
1,0.1,4697,146,289,301,139,157,168,935,150,297,311,943,150,165,183,941,145,285,301,939,145,284,300,939,90
1,0.0,4237,146,288,301,142,157,169,846,270,297,311,851,150,166,186,848,145,285,300,844,145,285,300,849,100
2,1.0,6823,73,303,457,71,289,430,1375,80,361,526,1365,83,365,536,1362,70,272,366,1361,70,270,361,1359,0
2,0.9,6377,64,370,531,60,317,458,1277,84,416,674,1280,87,412,635,1271,60,305,437,1276,60,304,432,1272,10
2,0.8,6075,57,382,588,51,346,522,1216,81,416,729,1214,84,410,695,1214,52,340,510,1216,52,336,511,1215,20
2,0.7,6089,52,350,543,41,281,461,1216,71,389,658,1224,75,352,592,1219,44,285,455,1216,44,284,453,1215,30
2,0.6,5247,46,456,754,32,329,723,1055,64,592,1310,1048,68,494,753,1042,37,439,739,1045,37,429,741,1056,40
2,0.5,5001,69,377,652,29,274,495,1005,150,502,996,1005,156,383,596,990,148,351,571,995,146,345,569,1005,50
2,0.4,4268,156,333,501,30,233,335,849,163,419,635,858,167,264,363,856,157,257,369,855,157,258,379,850,60
2,0.3,5000,159,320,351,30,188,206,999,164,346,377,1005,168,203,221,999,158,186,319,998,158,186,320,1000,70
2,0.2,4614,158,315,338,50,181,198,922,164,334,354,928,167,195,213,927,157,178,318,917,157,177,317,920,80
2,0.1,4203,160,316,339,151,180,196,837,170,335,357,844,168,192,214,841,157,179,320,841,157,179,322,841,90
2,0.0,3730,163,320,386,154,196,236,744,284,361,451,751,171,218,252,744,160,215,323,745,160,214,323,745,100
5,1.0,3885,121,604,751,116,581,717,775,139,648,1053,787,146,660,1116,773,114,562,660,777,113,565,659,773,0
5,0.9,3847,123,453,668,112,370,570,766,175,537,810,780,180,536,769,765,111,354,539,769,111,350,541,768,10
5,0.8,3703,117,555,768,100,497,679,743,166,610,979,742,174,616,917,737,103,489,676,733,103,472,676,748,20
5,0.7,3597,120,560,829,91,472,742,717,167,663,1025,726,174,639,926,713,101,440,735,719,100,453,736,722,30
5,0.6,3512,155,479,770,94,403,617,703,183,595,908,708,191,571,862,700,138,404,593,701,138,403,595,700,40
5,0.5,3630,172,429,632,93,327,486,729,190,526,728,730,198,459,666,725,171,334,493,723,170,328,481,723,50
5,0.4,2945,179,715,1078,68,479,761,585,195,874,1482,588,199,727,926,589,179,699,784,591,179,696,776,591,60
5,0.3,3129,182,623,938,76,507,823,629,202,737,1102,631,199,724,1062,622,179,527,844,622,179,527,838,626,70
5,0.2,2865,180,699,1015,81,592,838,568,224,885,1422,576,197,728,967,573,177,683,868,579,177,684,882,570,80
5,0.1,2740,184,592,936,160,499,631,547,317,882,1191,549,198,603,755,546,179,548,635,549,179,550,638,549,90
5,0.0,2266,172,839,1292,158,688,962,454,316,1291,1840,454,183,810,1059,451,168,799,1046,453,168,790,1044,454,100
20,1.0,1465,277,820,1174,281,798,1019,294,30,560,892,295,371,1144,1635,289,280,730,943,294,279,747,938,293,0
20,0.9,1453,274,776,1182,277,751,1031,291,30,552,831,295,403,1158,1552,286,279,706,908,288,279,693,891,292,10
20,0.8,1405,264,1060,1394,264,1033,1305,279,39,606,1206,281,394,1344,2229,279,266,959,1254,283,266,952,1256,282,20
20,0.7,1342,272,913,1508,266,867,1257,266,59,763,1080,270,426,1330,1909,269,280,846,1060,267,279,854,1080,271,30
20,0.6,1329,262,1024,1481,252,979,1358,263,44,766,1274,271,417,1372,2145,266,271,937,1274,263,271,941,1265,266,40
20,0.5,1277,267,1013,1569,244,971,1297,255,51,853,1131,258,420,1464,2096,254,298,973,1156,255,294,977,1152,255,50
20,0.4,1255,288,1057,1560,253,1016,1394,250,85,857,1229,255,414,1435,2181,251,313,1005,1261,248,312,1008,1255,252,60
20,0.3,1234,314,1166,1656,245,1116,1495,245,179,836,1392,248,411,1536,2463,248,333,986,1414,246,334,1054,1428,246,70
20,0.2,851,357,2757,4467,239,1425,4247,170,333,1742,4409,173,451,3099,4689,170,358,3074,4627,168,357,3038,4455,170,80
20,0.1,886,345,2282,3659,247,2059,3503,178,326,2091,3742,180,497,2731,3733,175,345,2635,3650,176,344,2598,3654,177,90
20,0.0,943,374,1992,2217,310,1401,2161,187,404,2136,2670,192,479,2050,2210,189,367,1972,2172,188,367,1981,2176,187,100
