x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,69.159,91.107,4.489,0.568,0.0,67.341,85.653,3.046,0.568,0.0,64.895,90.041,3.301,0.568,0.0,71.238,90.646,6.969,0.57,0.0
10.0,67.174,91.225,3.889,0.567,0.0,70.339,85.704,3.277,0.568,0.0,67.097,90.054,3.338,0.568,0.0,75.837,90.733,6.266,0.57,0.0
50.0,67.722,91.428,3.805,0.568,0.0,70.062,85.707,3.024,0.568,0.0,51.106,90.136,2.564,0.568,0.0,72.273,90.964,3.668,0.57,0.0
100.0,73.528,91.643,4.883,0.568,0.0,72.785,85.737,2.137,0.568,0.0,62.418,90.197,2.829,0.568,0.0,80.397,91.093,4.206,0.57,0.0
250.0,73.559,91.73,2.007,0.568,0.0,69.35,85.758,0.884,0.568,0.0,45.872,90.218,2.173,0.568,0.0,78.346,91.182,2.146,0.57,0.0
500.0,62.377,91.742,0.696,0.568,0.0,63.997,85.76,0.366,0.568,0.0,43.78,90.285,1.774,0.568,0.0,63.407,91.202,1.048,0.57,0.0
1000.0,17.372,91.735,0.225,0.568,0.0,52.376,85.76,0.195,0.568,0.0,35.431,90.414,1.408,0.568,0.0,36.701,91.201,0.307,0.57,0.0
