x_var,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost
1000.0,22323.0,141.009,286.331,376.408,141.009,286.331,376.408,,,,,,,0.0,96038133.883,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250.0,,,,,,,,,,,,,,,,,42221.0,143.77,229.266,355.357,55.656,147.079,227.765,148.032,242.092,443.165,149.758,242.245,438.275,0.0,195237523.283,0.117,46043.0,147.127,757.526,2650.29,12.259,660.306,2616.525,151.05,801.911,2599.044,152.673,862.778,2728.045,0.0,201254884.117,0.109,,,,,,,,,,,,,,,,
1500.0,19269.0,178.491,374.899,545.282,178.491,374.899,545.282,,,,,,,0.0,85738428.767,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875.0,,,,,,,,,,,,,,,,,47714.0,143.127,166.477,223.873,56.396,91.029,138.472,150.745,179.789,238.555,152.07,181.712,240.982,0.0,220057325.133,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,17033.0,214.861,442.842,613.867,214.861,442.842,613.867,,,,,,,0.0,77170419.167,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,20076.0,176.036,336.228,447.183,176.036,336.228,447.183,,,,,,,0.0,88180003.933,0.138,49179.0,142.406,155.375,188.495,54.221,82.256,111.646,149.703,158.939,215.888,150.973,160.893,216.81,0.0,226075046.733,0.113,46154.0,146.497,205.475,255.025,10.933,184.97,226.466,150.198,212.681,280.634,151.359,213.115,282.79,0.0,207927894.417,0.112,,,,,,,,,,,,,,,,
3000.0,21696.0,150.806,298.095,391.563,150.806,298.095,391.563,,,,,,,0.0,92611046.533,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125.0,,,,,,,,,,,,,,,,,45471.0,141.697,155.493,401.657,51.327,82.272,278.401,148.737,159.272,461.149,149.99,159.734,461.854,0.0,208139276.367,0.114,46847.0,145.097,156.87,196.529,16.785,144.162,157.791,150.375,158.495,233.636,151.465,160.021,231.297,0.0,204858882.1,0.109,,,,,,,,,,,,,,,,
3500.0,23818.0,141.447,272.943,364.877,141.447,272.943,364.877,,,,,,,0.0,98123429.883,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750.0,,,,,,,,,,,,,,,,,45999.0,143.808,222.324,250.408,53.467,143.429,176.089,147.197,238.296,276.336,148.629,238.888,272.753,0.0,210186484.733,0.113,44834.0,144.082,155.859,165.418,80.701,143.18,150.28,149.518,157.082,184.599,150.663,158.71,182.391,0.0,195763388.367,0.11,,,,,,,,,,,,,,,,
4000.0,28279.0,138.21,146.93,219.275,138.21,146.93,219.275,,,,,,,0.0,110577119.95,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375.0,,,,,,,,,,,,,,,,,45232.0,145.187,1013.978,2073.922,51.993,942.121,2011.649,148.12,1065.052,2114.651,149.752,1050.654,2123.833,0.0,204826283.733,0.113,38881.0,144.74,158.415,248.169,104.99,146.384,205.111,149.804,160.394,298.824,151.266,163.217,315.289,0.0,309337572.783,0.185,,,,,,,,,,,,,,,,
5000.0,,,,,,,,,,,,,,,,,28333.0,144.646,580.503,1137.367,44.356,126.855,348.76,181.551,779.153,1170.815,183.89,792.939,1170.346,0.0,130811850.967,0.128,39085.0,145.994,159.483,173.487,112.867,147.712,157.623,151.111,160.368,179.911,152.829,163.078,186.472,0.0,168727886.15,0.112,,,,,,,,,,,,,,,,
