x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,69403.0,63.415,151.163,305.268,63.415,151.163,305.268,,,,,,,0.0,250264447.8,0.087,22302.0,138.213,351.515,518.032,138.213,351.515,518.032,,,,,,,0.0,92938806.217,0.129,40621.0,10.115,145.421,205.897,10.115,145.421,205.897,,,,,,,0.0,143521551.333,0.096,78662.0,64.978,117.055,244.155,64.978,117.055,244.155,,,,,,,0.0,330866535.167,0.097
10.0,,,,,,,,,,,,,,,,,24434.0,137.994,267.823,393.827,137.994,267.823,393.827,,,,,,,0.0,99894620.033,0.123,40205.0,10.127,144.438,1635.503,10.127,144.438,1635.503,,,,,,,0.0,140469643.667,0.095,60246.0,46.835,225.04,759.418,40.925,205.744,734.561,172.6,333.207,983.075,175.182,328.12,997.358,0.0,238929441.367,0.096
20.0,62448.0,54.973,166.843,587.25,39.334,105.281,532.663,152.242,199.793,738.899,154.401,201.11,658.141,0.0,247556564.683,0.096,23006.0,139.349,282.198,386.067,139.349,282.198,386.067,,,,,,,0.0,96557587.85,0.128,37692.0,10.172,1100.401,1387.862,10.172,1100.401,1387.862,,,,,,,0.0,132962407.4,0.097,53482.0,22.651,331.143,2311.98,20.594,288.726,2287.735,155.013,509.553,2406.059,157.49,513.173,2490.612,0.0,271392742.1,0.12
30.0,59801.0,68.953,164.169,236.892,49.643,114.098,173.437,150.726,212.164,277.206,152.543,213.137,278.901,0.0,249309398.583,0.1,21720.0,145.709,306.596,401.494,145.709,306.596,401.494,,,,,,,0.0,97517858.633,0.137,38730.0,9.804,144.269,3282.049,9.804,144.269,3282.049,,,,,,,0.0,136295944.017,0.097,49125.0,15.559,434.914,1165.584,13.441,406.446,1138.569,149.219,490.638,1218.726,150.828,495.432,1225.821,0.0,237902866.133,0.118
40.0,56265.0,73.324,152.852,157.308,50.826,80.756,87.947,148.648,153.712,171.899,150.127,155.468,166.496,0.0,245286495.45,0.105,20675.0,164.914,327.127,432.683,164.914,327.127,432.683,,,,,,,0.0,94076524.85,0.14,41958.0,9.987,151.639,288.733,9.987,151.639,288.733,,,,,,,0.0,147840156.917,0.095,44199.0,141.51,238.277,514.749,13.237,207.751,389.386,149.44,339.594,626.432,150.601,337.423,621.986,0.0,388461292.3,0.199
50.0,50537.0,142.096,151.872,158.219,52.445,80.067,87.335,147.41,152.379,170.758,148.695,154.065,172.279,0.0,230910331.05,0.111,19701.0,183.363,346.279,470.886,183.363,346.279,470.886,,,,,,,0.0,90632018.917,0.144,42294.0,9.942,155.063,259.794,9.942,155.063,259.794,,,,,,,0.0,149621371.667,0.095,49443.0,144.818,157.195,189.706,11.37,143.714,163.391,149.891,161.707,210.869,150.985,162.816,211.68,0.0,299583857.667,0.142
60.0,44196.0,144.916,174.604,226.382,55.555,96.923,140.728,146.815,201.578,232.501,148.054,202.991,236.683,0.0,210726996.867,0.118,19424.0,191.166,343.651,460.467,191.166,343.651,460.467,,,,,,,0.0,85831433.417,0.141,40503.0,10.329,145.187,460.766,10.329,145.187,460.766,,,,,,,0.0,143033192.633,0.096,44527.0,146.448,155.597,174.082,12.512,139.959,146.691,148.955,156.376,213.585,150.131,158.526,212.171,0.0,230080906.317,0.126
70.0,39683.0,145.681,190.579,368.22,55.094,105.299,264.932,146.55,208.77,392.925,147.726,209.93,393.987,0.0,196584214.5,0.125,18963.0,199.39,351.924,472.266,199.39,351.924,472.266,,,,,,,0.0,85082213.7,0.143,42643.0,9.996,143.896,150.338,9.996,143.896,150.338,,,,,,,0.0,150066223.083,0.094,40702.0,147.45,156.458,183.407,12.924,140.343,147.512,148.813,156.923,200.889,149.924,158.879,206.741,0.0,191450673.617,0.119
80.0,32867.0,145.718,229.519,700.976,54.605,133.739,483.862,146.121,249.344,786.611,147.234,251.395,687.985,0.0,168840007.633,0.134,16606.0,219.886,469.982,732.634,219.886,469.982,732.634,,,,,,,0.0,74405991.033,0.151,41458.0,10.011,148.72,486.749,10.011,148.72,486.749,,,,,,,0.0,146189519.867,0.095,37582.0,148.688,157.341,169.403,14.69,141.436,148.142,149.343,157.032,173.407,150.483,158.947,175.967,0.0,309574053.233,0.192
90.0,30250.0,146.684,243.799,1109.472,56.453,140.045,1014.738,146.612,247.808,1115.339,147.786,248.233,1117.167,0.0,166417120.883,0.144,16138.0,222.473,492.868,824.783,222.473,492.868,824.783,,,,,,,0.0,72064539.733,0.152,42217.0,10.044,145.702,181.482,10.044,145.702,181.482,,,,,,,0.0,148711018.05,0.094,34719.0,150.104,158.881,204.698,17.527,142.631,149.968,150.088,158.319,219.48,151.234,160.106,213.417,0.0,175129277.8,0.13
