x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,27.0,136.134,142.118,146.312,6.418,8.364,14.9,139.838,142.62,147.259,140.043,142.842,148.005,0.0,5996633.917,42.035,27.0,14.0,132.709,136.464,179.583,132.709,136.464,179.583,,,,,,,0.0,72067.95,72.603,14.0,172.0,5.978,7.884,138.874,5.978,7.884,138.874,,,,,,,0.0,916664.883,6.008,178.0,25.0,139.333,147.283,152.191,6.535,8.055,12.496,144.041,147.704,154.311,144.398,148.53,164.374,0.0,15190126.367,52.752,25.0
10.0,276.0,61.289,141.325,144.41,6.021,6.663,16.087,138.799,141.814,145.608,139.072,142.183,147.234,0.0,2418514.267,3.853,270.0,150.0,132.507,136.153,139.828,132.507,136.153,139.828,,,,,,,0.0,717268.35,6.862,140.0,1773.0,5.947,137.773,140.243,5.947,137.773,140.243,,,,,,,0.0,6983922.333,0.651,1780.0,264.0,63.752,145.784,147.191,6.007,6.614,14.035,142.413,146.29,148.581,142.655,146.583,149.512,0.0,1778190.417,3.979,250.0
100.0,2719.0,131.953,141.152,156.393,5.584,32.325,64.45,138.579,142.31,160.816,138.786,142.917,162.972,0.0,14237406.467,0.478,2700.0,1455.0,132.948,172.134,250.831,132.948,172.134,250.831,,,,,,,0.0,6955760.633,0.793,1400.0,15801.0,6.93,138.915,141.269,6.93,138.915,141.269,,,,,,,0.0,55417835.75,0.134,17800.0,2630.0,133.276,145.066,146.709,5.717,60.921,123.329,141.007,145.692,147.939,141.292,145.989,147.926,0.0,13504031.417,0.489,2500.0
250.0,6591.0,133.115,141.457,142.616,5.529,55.987,69.382,139.204,141.708,147.152,139.507,142.098,147.794,0.0,32672498.767,0.253,6822.0,3356.0,133.887,233.43,263.24,133.887,233.43,263.24,,,,,,,0.0,15881683.183,0.397,3709.0,38722.0,6.821,138.591,142.093,6.821,138.591,142.093,,,,,,,0.0,134332627.3,0.096,44561.0,6278.0,134.311,145.346,146.778,5.806,105.958,132.113,141.56,145.841,147.115,142.012,146.253,147.507,0.0,42649239.3,0.298,6471.0
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39068.0,8.129,141.397,145.811,8.129,141.397,145.811,,,,,,,0.0,137754356.333,0.097,53474.0,,,,,,,,,,,,,,,,,
400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42256.0,10.018,144.643,154.292,10.018,144.643,154.292,,,,,,,0.0,149029084.25,0.095,71298.0,,,,,,,,,,,,,,,,,
500.0,12632.0,77.314,142.358,143.73,6.109,64.675,72.425,139.985,142.62,144.471,140.441,143.141,145.2,0.0,60624256.567,0.176,13500.0,6509.0,134.786,250.675,267.436,134.786,250.675,267.436,,,,,,,0.0,30589448.85,0.25,7000.0,51106.0,9.861,405.701,1341.853,9.861,405.701,1341.853,,,,,,,0.0,175956802.833,0.089,89000.0,11959.0,135.368,146.204,147.816,6.049,118.941,135.185,142.484,146.67,148.207,142.986,147.16,149.176,0.0,58587097.117,0.183,12500.0
600.0,14895.0,133.743,142.634,143.887,6.446,66.15,73.263,140.286,142.843,144.04,140.777,143.407,144.927,0.0,70948350.117,0.163,16200.0,7625.0,135.063,253.539,274.674,135.063,253.539,274.674,,,,,,,0.0,36348220.017,0.228,8400.0,53753.0,10.861,655.949,2592.034,10.861,655.949,2592.034,,,,,,,0.0,184585044.883,0.088,106800.0,13732.0,136.157,146.528,148.837,6.114,122.65,137.314,142.747,147.054,151.971,143.296,147.618,155.915,0.0,65445149.7,0.169,15000.0
700.0,17103.0,135.464,142.985,144.348,6.853,67.449,74.648,140.569,143.175,144.592,141.132,143.801,145.334,0.0,81057367.217,0.154,19102.0,8722.0,135.386,256.781,292.312,135.386,256.781,292.312,,,,,,,0.0,41265384.067,0.211,10386.0,54809.0,11.604,1017.204,2082.253,11.604,1017.204,2082.253,,,,,,,0.0,188332965.667,0.087,124772.0,16219.0,136.731,146.772,148.899,6.31,123.959,136.861,143.033,147.253,149.74,143.623,147.897,150.835,0.0,76747173.5,0.157,18120.0
800.0,18789.0,136.027,143.153,146.151,7.314,68.411,75.587,140.625,143.399,160.021,141.246,144.083,161.355,0.0,88629898.267,0.148,21600.0,9723.0,135.856,260.683,316.732,135.856,260.683,316.732,,,,,,,0.0,45251611.75,0.197,11200.0,53630.0,13.61,1025.409,1652.205,13.61,1025.409,1652.205,,,,,,,0.0,184781294.667,0.088,142400.0,18379.0,137.25,146.95,149.199,6.484,125.823,137.635,143.242,147.448,149.958,143.792,148.155,151.437,0.0,82572654.55,0.145,20000.0
