x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,53236.0,54.411,2155.703,5235.954,53.006,2154.413,5238.108,51.811,2033.365,5194.933,59.58,2204.497,5261.91,0.0,258251863.283,0.116,45147.0,85.739,192.232,248.446,85.739,192.232,248.446,,,,,,,0.0,176597067.967,0.101,49021.0,10.227,23.73,84.895,10.227,23.73,84.895,,,,,,,0.0,172883816.15,0.091,53670.0,56.195,970.829,6412.803,53.385,970.959,6396.439,59.933,960.227,6431.712,62.529,977.819,6416.513,0.0,232760485.433,0.106
0.1,53036.0,56.048,391.831,8345.764,53.874,371.135,8312.183,57.003,413.033,8807.24,60.026,414.674,8214.604,0.0,249884050.567,0.113,44973.0,86.389,192.407,256.235,86.389,192.407,256.235,,,,,,,0.0,176485520.067,0.101,43868.0,9.521,34.069,404.522,9.521,34.069,404.522,,,,,,,0.0,155471445.967,0.094,55051.0,56.759,245.431,5645.505,53.878,225.545,5608.906,60.226,296.387,5685.964,63.808,280.912,5668.904,0.0,242590004.767,0.107
0.2,50810.0,59.99,163.122,807.958,56.566,145.694,791.633,60.178,163.718,846.363,66.74,191.8,807.27,0.0,233386649.017,0.112,44339.0,85.434,194.461,271.297,85.434,194.461,271.297,,,,,,,0.0,173828436.55,0.101,42540.0,9.237,34.36,287.519,9.237,34.36,287.519,,,,,,,0.0,150110041.35,0.094,52937.0,48.932,243.651,4683.438,45.52,221.942,4609.769,49.851,263.475,5101.606,54.772,278.232,4668.815,0.0,367384075.9,0.158
0.5,50272.0,69.816,282.644,495.137,60.345,257.478,445.245,75.442,290.704,523.482,86.168,312.791,540.647,0.0,242248507.083,0.117,36263.0,76.43,255.652,682.778,76.43,255.652,682.778,,,,,,,0.0,141092237.5,0.106,38345.0,10.974,69.837,207.073,10.974,69.837,207.073,,,,,,,0.0,135539222.867,0.097,54997.0,64.834,270.381,409.84,58.005,250.484,375.069,66.763,277.315,421.797,76.743,295.381,446.938,0.0,520059862.917,0.208
1.0,39589.0,84.321,338.792,594.893,67.318,302.338,564.832,84.418,319.153,563.058,124.72,403.337,651.949,0.0,185581106.383,0.119,25338.0,108.434,423.017,1060.524,108.434,423.017,1060.524,,,,,,,0.0,99814958.583,0.119,25300.0,11.296,188.766,232.036,11.296,188.766,232.036,,,,,,,0.0,89232692.2,0.111,41162.0,77.644,311.585,543.692,67.62,295.066,526.881,72.391,286.842,476.951,105.357,354.04,643.576,0.0,176816610.35,0.111
1.5,27708.0,145.414,484.064,756.189,105.941,431.084,698.874,138.011,477.942,734.402,218.793,561.55,835.998,0.0,139885516.183,0.138,20118.0,170.272,538.286,807.215,170.272,538.286,807.215,,,,,,,0.0,80470020.85,0.13,17045.0,12.29,212.79,364.245,12.29,212.79,364.245,,,,,,,0.0,59839770.05,0.13,29049.0,127.505,447.583,737.714,107.604,421.719,712.905,100.742,418.247,696.816,200.08,514.722,820.176,0.0,127718799.75,0.123
2.0,20464.0,207.876,679.242,1081.822,168.282,611.736,1001.515,196.255,645.056,1051.112,281.682,798.738,1287.876,0.0,98806280.233,0.146,13651.0,225.704,752.724,1469.241,225.704,752.724,1469.241,,,,,,,0.0,56056493.267,0.156,11227.0,13.716,242.908,618.78,13.716,242.908,618.78,,,,,,,0.0,39509971.5,0.161,21142.0,204.413,640.655,960.236,187.717,615.253,918.487,165.28,577.81,876.616,263.07,739.662,1068.807,0.0,90914261.333,0.134
2.5,15719.0,252.971,832.657,1430.496,220.086,769.871,1338.178,235.546,779.825,1338.431,358.279,963.588,1562.521,0.0,71345721.133,0.155,11768.0,269.756,871.717,1359.641,269.756,871.717,1359.641,,,,,,,0.0,47134096.5,0.166,8958.0,19.328,309.937,638.044,19.328,309.937,638.044,,,,,,,0.0,31591039.433,0.184,16291.0,241.36,810.443,1340.74,219.219,777.562,1297.876,212.551,728.887,1270.942,328.838,901.734,1518.86,0.0,139308691.983,0.233
3.0,12681.0,319.797,1016.909,1533.925,261.384,932.054,1478.417,292.783,935.562,1438.717,462.975,1204.716,1736.976,0.0,57784619.1,0.171,9591.0,350.017,1027.622,1545.617,350.017,1027.622,1545.617,,,,,,,0.0,38503067.55,0.186,6962.0,48.695,434.063,812.97,48.695,434.063,812.97,,,,,,,0.0,24575721.55,0.216,13617.0,289.682,979.389,1471.424,250.724,883.442,1421.666,249.178,909.56,1363.112,420.249,1149.657,1573.471,0.0,58753425.6,0.161
4.0,8324.0,498.2,1577.996,2567.799,425.448,1489.283,2567.153,445.046,1490.498,2148.041,695.854,1798.273,2886.401,0.0,37979107.783,0.213,5448.0,534.022,1835.321,6140.957,534.022,1835.321,6140.957,,,,,,,0.0,22100813.267,0.267,4426.0,94.919,654.161,1367.036,94.919,654.161,1367.036,,,,,,,0.0,15635177.083,0.3,8792.0,461.029,1502.038,2324.544,417.118,1439.137,2212.492,397.27,1366.272,2138.03,640.15,1709.672,2536.637,0.0,37768192.483,0.201
5.0,5893.0,661.273,1955.036,3454.114,548.512,1811.822,3068.84,604.866,1793.9,3025.001,913.928,2239.557,4472.328,0.0,26670308.283,0.263,4640.0,724.011,2105.372,3412.04,724.011,2105.372,3412.04,,,,,,,0.0,19800563.967,0.304,3242.0,187.387,842.067,2258.043,187.387,842.067,2258.043,,,,,,,0.0,11442703.517,0.384,6454.0,657.934,1955.141,4228.634,590.181,1852.529,4259.522,530.913,1761.505,3544.565,873.556,2303.145,6944.945,0.0,27824415.467,0.243
7.5,2639.0,1534.684,5324.737,43333.976,1296.344,4845.126,43324.561,1486.199,5264.047,43074.512,2077.135,5877.629,43798.585,0.0,11872733.2,0.475,2579.0,1406.154,3580.292,4939.431,1406.154,3580.292,4939.431,,,,,,,0.0,10485659.417,0.475,1375.0,391.596,1872.627,4177.632,391.596,1872.627,4177.632,,,,,,,0.0,4915184.283,0.81,3355.0,1351.995,4511.434,6939.52,1172.463,4126.622,6391.185,1223.306,4398.166,6737.574,1881.063,5074.569,7706.835,0.0,14456385.333,0.389
10.0,1205.0,2534.872,17516.166,26187.315,2120.369,16030.966,25108.054,2143.448,17337.142,25074.086,3727.167,20215.236,27228.773,0.0,5250116.7,0.929,1153.0,2826.476,11276.469,21191.6,2826.476,11276.469,21191.6,,,,,,,0.0,4653327.95,0.961,840.0,553.266,4604.406,10780.034,553.266,4604.406,10780.034,,,,,,,0.0,2929665.467,1.278,1518.0,2708.242,81438.525,98006.31,2577.019,80351.216,96862.589,2127.403,80384.654,97017.863,3416.713,84365.218,99365.714,0.0,9215534.483,0.79
