x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,66.816,87.601,4.767,0.568,0.0,70.71,87.013,1.837,0.568,0.0,60.738,88.41,2.734,0.568,0.0,68.555,88.545,6.283,0.57,0.0
10.0,,,,,,69.533,85.485,1.973,0.568,0.0,59.557,88.559,2.676,0.568,0.0,77.546,88.772,4.662,0.57,0.0
20.0,73.563,88.099,4.76,0.568,0.0,74.055,87.063,1.9,0.568,0.0,55.142,88.701,2.567,0.568,0.0,74.228,88.967,4.87,0.57,0.0
30.0,74.392,88.329,4.867,0.568,0.0,69.718,85.485,1.918,0.568,0.0,49.355,90.628,2.589,0.568,0.0,78.84,89.136,4.68,0.57,0.0
40.0,75.515,88.592,4.767,0.568,0.0,69.865,85.485,1.851,0.568,0.0,56.537,89.128,2.819,0.568,0.0,76.653,91.48,7.317,0.57,0.0
50.0,73.325,88.775,4.506,0.568,0.0,73.199,85.485,1.798,0.568,0.0,59.745,89.181,2.85,0.568,0.0,81.739,91.23,5.83,0.57,0.0
60.0,76.658,88.961,4.145,0.568,0.0,72.656,85.485,1.695,0.568,0.0,61.984,90.746,2.724,0.568,0.0,82.059,91.332,4.473,0.57,0.0
70.0,74.841,89.141,3.853,0.568,0.0,72.961,85.485,1.681,0.568,0.0,60.407,89.553,2.905,0.568,0.0,79.236,90.105,3.749,0.57,0.0
80.0,74.58,89.299,3.294,0.568,0.0,70.907,85.488,1.47,0.568,0.0,57.913,89.697,2.777,0.568,0.0,81.21,90.273,6.018,0.57,0.0
90.0,68.728,89.422,3.17,0.568,0.0,71.03,85.588,1.418,0.568,0.0,61.164,89.843,2.867,0.568,0.0,78.975,90.425,3.421,0.57,0.0
100.0,65.227,89.549,3.238,0.568,0.0,70.418,87.122,1.538,0.568,0.0,62.842,89.989,2.906,0.568,0.0,70.784,90.555,5.745,0.57,0.0
