x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,53.006,2154.413,5238.108,51.811,2033.365,5194.933,59.58,2204.497,5261.91,,,,,,,85.739,192.232,248.446,,,,,,,,,,,,,10.227,23.73,84.895,,,,,,,,,,,,,53.385,970.959,6396.439,59.933,960.227,6431.712,62.529,977.819,6416.513,,,,,,
0.1,53.874,371.135,8312.183,57.003,413.033,8807.24,60.026,414.674,8214.604,,,,,,,86.389,192.407,256.235,,,,,,,,,,,,,9.521,34.069,404.522,,,,,,,,,,,,,53.878,225.545,5608.906,60.226,296.387,5685.964,63.808,280.912,5668.904,,,,,,
0.2,56.566,145.694,791.633,60.178,163.718,846.363,66.74,191.8,807.27,,,,,,,85.434,194.461,271.297,,,,,,,,,,,,,9.237,34.36,287.519,,,,,,,,,,,,,45.52,221.942,4609.769,49.851,263.475,5101.606,54.772,278.232,4668.815,,,,,,
0.5,60.345,257.478,445.245,75.442,290.704,523.482,86.168,312.791,540.647,,,,,,,76.43,255.652,682.778,,,,,,,,,,,,,10.974,69.837,207.073,,,,,,,,,,,,,58.005,250.484,375.069,66.763,277.315,421.797,76.743,295.381,446.938,,,,,,
1.0,67.318,302.338,564.832,84.418,319.153,563.058,124.72,403.337,651.949,,,,,,,108.434,423.017,1060.524,,,,,,,,,,,,,11.296,188.766,232.036,,,,,,,,,,,,,67.62,295.066,526.881,72.391,286.842,476.951,105.357,354.04,643.576,,,,,,
1.5,105.941,431.084,698.874,138.011,477.942,734.402,218.793,561.55,835.998,,,,,,,170.272,538.286,807.215,,,,,,,,,,,,,12.29,212.79,364.245,,,,,,,,,,,,,107.604,421.719,712.905,100.742,418.247,696.816,200.08,514.722,820.176,,,,,,
2.0,168.282,611.736,1001.515,196.255,645.056,1051.112,281.682,798.738,1287.876,,,,,,,225.704,752.724,1469.241,,,,,,,,,,,,,13.716,242.908,618.78,,,,,,,,,,,,,187.717,615.253,918.487,165.28,577.81,876.616,263.07,739.662,1068.807,,,,,,
2.5,220.086,769.871,1338.178,235.546,779.825,1338.431,358.279,963.588,1562.521,,,,,,,269.756,871.717,1359.641,,,,,,,,,,,,,19.328,309.937,638.044,,,,,,,,,,,,,219.219,777.562,1297.876,212.551,728.887,1270.942,328.838,901.734,1518.86,,,,,,
3.0,261.384,932.054,1478.417,292.783,935.562,1438.717,462.975,1204.716,1736.976,,,,,,,350.017,1027.622,1545.617,,,,,,,,,,,,,48.695,434.063,812.97,,,,,,,,,,,,,250.724,883.442,1421.666,249.178,909.56,1363.112,420.249,1149.657,1573.471,,,,,,
4.0,425.448,1489.283,2567.153,445.046,1490.498,2148.041,695.854,1798.273,2886.401,,,,,,,534.022,1835.321,6140.957,,,,,,,,,,,,,94.919,654.161,1367.036,,,,,,,,,,,,,417.118,1439.137,2212.492,397.27,1366.272,2138.03,640.15,1709.672,2536.637,,,,,,
5.0,548.512,1811.822,3068.84,604.866,1793.9,3025.001,913.928,2239.557,4472.328,,,,,,,724.011,2105.372,3412.04,,,,,,,,,,,,,187.387,842.067,2258.043,,,,,,,,,,,,,590.181,1852.529,4259.522,530.913,1761.505,3544.565,873.556,2303.145,6944.945,,,,,,
7.5,1296.344,4845.126,43324.561,1486.199,5264.047,43074.512,2077.135,5877.629,43798.585,,,,,,,1406.154,3580.292,4939.431,,,,,,,,,,,,,391.596,1872.627,4177.632,,,,,,,,,,,,,1172.463,4126.622,6391.185,1223.306,4398.166,6737.574,1881.063,5074.569,7706.835,,,,,,
10.0,2120.369,16030.966,25108.054,2143.448,17337.142,25074.086,3727.167,20215.236,27228.773,,,,,,,2826.476,11276.469,21191.6,,,,,,,,,,,,,553.266,4604.406,10780.034,,,,,,,,,,,,,2577.019,80351.216,96862.589,2127.403,80384.654,97017.863,3416.713,84365.218,99365.714,,,,,,
