x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,52.657,85.648,264.675,148.488,198.487,398.26,149.816,201.814,401.875,,,,,,,199.579,478.816,704.777,,,,,,,,,,,,,9.567,145.385,259.785,,,,,,,,,,,,,12.787,144.384,212.626,149.766,201.248,270.071,150.99,207.745,272.441,,,,,,
0.01,55.256,85.458,141.826,149.305,166.392,256.653,150.696,167.761,251.244,,,,,,,220.761,504.285,838.997,,,,,,,,,,,,,10.156,145.907,595.787,,,,,,,,,,,,,12.731,146.767,236.399,149.069,185.921,285.377,150.251,194.574,303.282,,,,,,
0.1,61.33,80.515,89.98,147.26,152.182,181.906,148.449,153.591,182.081,,,,,,,188.219,883.668,2122.893,,,,,,,,,,,,,10.387,142.981,147.763,,,,,,,,,,,,,12.06,142.607,147.856,148.335,158.205,327.724,149.503,159.622,301.09,,,,,,
0.2,62.91,80.777,93.377,146.814,151.618,187.42,148.08,153.53,188.927,,,,,,,184.927,1155.823,3296.03,,,,,,,,,,,,,10.69,143.321,148.793,,,,,,,,,,,,,11.38,143.131,147.88,148.078,153.698,167.343,149.23,155.064,167.597,,,,,,
0.5,66.101,81.025,107.347,146.525,151.772,228.481,147.706,153.299,233.126,,,,,,,195.087,2061.44,5001.573,,,,,,,,,,,,,10.58,142.892,147.087,,,,,,,,,,,,,11.457,143.678,148.544,148.078,153.699,164.682,149.218,155.101,167.624,,,,,,
1.0,67.99,81.805,100.845,146.87,152.948,191.191,148.137,154.552,193.75,,,,,,,200.8,2268.405,5116.65,,,,,,,,,,,,,10.452,144.554,343.227,,,,,,,,,,,,,12.211,143.661,148.255,148.518,154.68,169.934,149.58,155.961,174.281,,,,,,
