x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,51381.628,20.375,41.427,51.208,20.375,41.427,51.208,,,,,,,0.0,129448810.55,0.07,22920.456,143.29,632.36,1657.259,143.29,632.36,1657.259,,,,,,,0.0,82653863.133,0.116,43373.387,123.583,215.353,284.859,123.583,215.353,284.859,,,,,,,0.0,165752057.117,0.1,51356.335,29.76,45.454,140.545,29.76,45.454,140.545,,,,,,,0.0,118897369.817,0.066
10.0,43301.873,14.269,27.454,155.082,14.238,25.503,151.45,148.802,3776.252,4556.533,151.081,4247.264,4610.573,0.0,240389213.667,0.134,26295.162,148.329,450.09,987.72,148.329,450.09,987.72,,,,,,,0.0,76872115.15,0.097,38056.36,99.074,232.751,2204.638,99.074,232.751,2204.638,,,,,,,0.0,78572529.817,0.068,50122.51,18.273,28.966,1265.066,18.186,27.886,888.892,162.366,1835.133,1998.554,164.244,1890.848,2048.177,0.0,119161541.833,0.068
20.0,47234.136,14.324,143.808,497.948,14.259,137.306,384.069,149.117,1703.368,2425.387,152.019,2186.837,2461.658,0.0,112169541.567,0.069,25598.522,142.201,727.372,920.164,142.201,727.372,920.164,,,,,,,0.0,79495092.783,0.102,41761.567,118.556,345.226,365.208,118.556,345.226,365.208,,,,,,,0.0,86930927.033,0.066,48279.142,16.387,147.216,1166.339,16.299,139.078,890.514,154.772,1717.072,1866.901,157.75,1791.227,1875.735,0.0,119971670.967,0.071
30.0,48707.623,13.529,149.096,396.37,13.457,146.402,381.686,151.073,550.177,1476.671,153.478,605.181,1684.357,0.0,118551848.65,0.07,30308.226,145.326,410.162,547.677,145.326,410.162,547.677,,,,,,,0.0,88652840.717,0.092,41816.613,83.891,521.712,589.413,83.891,521.712,589.413,,,,,,,0.0,84939223.6,0.065,50712.318,17.214,155.86,550.16,17.102,152.162,535.305,158.833,640.91,967.583,162.341,689.623,999.342,0.0,120904033.15,0.068
40.0,49770.598,12.305,149.757,442.27,12.235,147.817,413.17,150.041,512.291,621.099,152.514,540.38,625.65,0.0,120946446.833,0.069,32174.191,146.82,300.015,429.444,146.82,300.015,429.444,,,,,,,0.0,92013945.25,0.089,40475.564,81.42,748.488,811.76,81.42,748.488,811.76,,,,,,,0.0,81805557.75,0.065,49752.016,19.007,159.51,311.722,18.89,156.214,289.937,160.386,448.568,905.734,162.895,703.771,921.754,0.0,118316127.333,0.068
50.0,48769.047,12.184,150.369,390.017,12.105,148.86,362.762,150.024,478.138,784.577,151.93,581.105,801.49,0.0,118847197.583,0.07,28066.623,144.954,511.253,800.816,144.954,511.253,800.816,,,,,,,0.0,88234220.633,0.099,40983.342,92.907,318.162,560.89,92.907,318.162,560.89,,,,,,,0.0,82993936.233,0.065,51179.152,14.145,156.196,424.068,14.035,152.928,416.833,154.417,438.597,471.187,157.344,450.067,476.648,0.0,122250009.733,0.068
60.0,45388.749,11.689,150.192,359.614,11.612,148.782,339.126,149.188,427.486,857.973,151.309,439.408,1024.347,0.0,115505111.6,0.073,27200.006,149.293,485.218,779.627,149.293,485.218,779.627,,,,,,,0.0,78497072.85,0.095,41982.311,100.118,512.12,639.986,100.118,512.12,639.986,,,,,,,0.0,86371318.517,0.065,49813.315,17.887,159.03,296.202,17.749,156.337,282.033,157.244,307.47,348.603,159.738,321.056,352.606,0.0,114035362.933,0.066
70.0,48704.853,11.396,149.391,231.208,11.33,148.335,205.42,148.625,287.532,514.611,150.414,302.774,516.907,0.0,114116039.067,0.068,31224.353,147.118,355.267,546.199,147.118,355.267,546.199,,,,,,,0.0,93675999.3,0.093,42588.156,91.677,404.264,463.685,91.677,404.264,463.685,,,,,,,0.0,82155049.5,0.062,52511.431,13.551,158.797,267.948,13.448,154.405,261.967,153.981,275.203,404.629,155.915,319.85,486.398,0.0,115452533.133,0.063
80.0,43413.663,10.092,149.44,454.051,10.024,147.7,424.463,147.321,485.796,592.278,149.104,507.037,617.944,0.0,110119780.15,0.074,28653.765,146.247,376.163,596.015,146.247,376.163,596.015,,,,,,,0.0,84222987.85,0.094,42629.745,85.161,641.368,723.099,85.161,641.368,723.099,,,,,,,0.0,133617331.833,0.086,47729.232,11.852,153.668,405.949,11.761,150.897,402.102,151.223,415.954,448.57,153.288,419.144,451.813,0.0,118532140.283,0.071
90.0,47770.06,10.769,148.095,152.071,10.707,147.446,151.487,147.212,152.677,225.534,148.859,154.085,225.42,0.0,120507510.45,0.072,27862.722,147.712,489.351,585.045,147.712,489.351,585.045,,,,,,,0.0,82517667.4,0.096,41675.759,96.318,467.334,556.246,96.318,467.334,556.246,,,,,,,0.0,89968045.233,0.068,48124.093,11.905,158.666,345.099,11.817,152.633,341.025,151.779,351.478,366.431,154.011,354.434,367.953,0.0,118784845.933,0.07
