x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,52.096,12.245,283.328,287.414,12.18,18.396,19.592,283.045,287.274,288.412,283.584,288.752,677.432,0.0,69115015.733,46.017,115.0,6.346,265.692,400.406,1057.97,265.692,400.406,1057.97,,,,,,,0.0,746831.017,162.309,14.0,79.28,12.112,19.681,278.511,12.112,19.681,278.511,,,,,,,0.0,570382.683,12.947,176.0,48.803,12.304,286.917,292.319,12.226,18.455,19.898,287.519,293.899,753.529,287.04,295.692,935.527,0.0,514885.617,21.009,113.0
10.0,634.104,5.992,141.36,145.581,5.967,140.089,144.722,140.864,146.457,148.16,141.499,147.916,150.745,0.0,3393416.133,1.708,1150.0,71.106,136.71,203.55,237.782,136.71,203.55,237.782,,,,,,,0.0,382504.2,14.382,140.0,806.107,5.934,12.33,171.056,5.934,12.33,171.056,,,,,,,0.0,2871724.25,1.33,1760.0,634.057,6.054,143.74,149.272,6.024,141.227,147.501,144.777,151.588,155.753,145.266,152.854,156.71,0.0,3462141.75,1.71,1130.0
100.0,6650.518,5.958,138.557,142.295,5.941,137.726,141.742,139.236,144.443,147.358,139.558,144.674,148.514,0.0,21693451.5,0.218,11500.0,705.144,133.892,140.439,145.68,133.892,140.439,145.68,,,,,,,0.0,3183926.817,1.53,1400.0,7951.421,6.304,13.635,140.094,6.304,13.635,140.094,,,,,,,0.0,19520575.233,0.177,17600.0,6597.177,6.021,139.53,145.681,6.005,138.169,144.68,142.492,147.697,150.402,142.923,148.305,151.11,0.0,21001025.95,0.218,11300.0
500.0,37006.638,6.756,140.64,144.108,6.728,140.026,143.662,141.402,145.285,151.125,142.2,146.193,152.755,0.0,92466983.467,0.077,57500.0,3522.937,134.457,137.222,140.515,134.457,137.222,140.515,,,,,,,0.0,14956736.8,0.373,7000.0,34308.283,9.542,136.936,143.928,9.542,136.936,143.928,,,,,,,0.0,69779668.683,0.07,88000.0,35961.44,6.979,141.172,146.332,6.949,140.368,145.213,143.883,148.743,153.515,144.819,149.423,152.103,0.0,92292293.867,0.08,56500.0
750.0,47870.422,9.466,144.546,148.862,9.42,143.702,148.235,144.926,150.91,188.107,146.261,152.238,186.752,0.0,118648515.817,0.071,86250.0,5347.392,134.718,137.361,145.488,134.718,137.361,145.488,,,,,,,0.0,21681268.433,0.271,10500.0,40195.549,12.864,140.013,147.219,12.864,140.013,147.219,,,,,,,0.0,78678078.567,0.064,132000.0,45880.77,9.935,144.968,150.736,9.888,143.889,149.449,147.029,152.589,156.509,148.491,154.209,158.815,0.0,111396535.15,0.071,84750.0
1000.0,54181.52,12.213,149.414,200.778,12.137,147.74,192.284,148.889,246.932,377.078,151.228,272.062,388.904,0.0,129698102.933,0.067,115000.0,7034.117,135.309,146.042,234.302,135.309,146.042,234.302,,,,,,,0.0,61771669.75,0.32,14000.0,38102.238,17.897,142.593,148.797,17.897,142.593,148.797,,,,,,,0.0,76501794.25,0.067,176000.0,49015.595,13.329,153.386,211.334,13.255,150.844,207.386,153.214,220.281,235.188,155.763,223.955,239.645,0.0,116443613.333,0.068,113000.0
1250.0,51653.775,17.847,156.67,281.192,17.677,153.626,257.825,154.472,320.925,890.996,157.905,330.856,904.342,0.0,194327071.833,0.095,143750.0,8830.575,135.606,144.543,224.349,135.606,144.543,224.349,,,,,,,0.0,50192061.2,0.229,17500.0,34805.229,25.267,142.282,152.552,25.267,142.282,152.552,,,,,,,0.0,69006806.6,0.069,220000.0,50590.269,17.972,156.665,352.854,17.802,154.299,311.603,156.342,412.199,463.174,159.068,425.72,467.09,0.0,120290851.983,0.068,141250.0
1500.0,44429.147,18.154,153.287,515.897,17.969,150.978,490.725,150.111,515.921,656.804,152.567,543.417,668.565,0.0,120680218.583,0.077,173385.0,10600.211,135.856,144.118,209.099,135.856,144.118,209.099,,,,,,,0.0,38216995.9,0.168,22238.0,35523.891,31.304,143.057,148.088,31.304,143.057,148.088,,,,,,,0.0,70531427.367,0.068,265440.0,46736.818,20.888,161.762,647.841,20.717,158.613,471.386,160.681,895.789,1277.402,163.495,1028.138,1300.305,0.0,113685105.35,0.07,170034.0
2000.0,42551.19,27.187,166.883,1056.999,26.99,163.476,972.061,163.312,1175.582,2205.759,167.346,1259.571,2408.622,0.0,109234312.383,0.075,230000.0,14404.795,136.764,148.834,234.932,136.764,148.834,234.932,,,,,,,0.0,48784356.667,0.138,28000.0,39422.19,38.349,146.756,169.606,38.349,146.756,169.606,,,,,,,0.0,79792001.6,0.066,352000.0,38560.263,23.757,155.536,1380.803,23.641,151.779,983.635,157.608,3916.562,10839.718,161.087,4297.848,10808.185,0.0,94321770.583,0.075,226000.0
2500.0,50303.343,44.304,191.324,1031.175,43.957,183.318,832.098,183.108,1062.499,1140.98,190.304,1081.864,1147.141,0.0,124767165.15,0.07,287500.0,16740.749,137.985,239.878,515.207,137.985,239.878,515.207,,,,,,,0.0,147977800.667,0.237,35000.0,39486.592,54.223,144.031,149.09,54.223,144.031,149.09,,,,,,,0.0,78215082.817,0.065,440000.0,40352.623,30.652,161.316,1999.362,30.549,157.805,1590.868,164.523,4198.419,11194.438,168.384,5633.393,11533.771,0.0,94952947.183,0.072,282500.0
5000.0,53615.264,71.989,720.464,2661.5,70.975,434.367,2462.778,246.942,2710.919,3255.687,586.126,3189.375,3281.394,0.0,174675376.9,0.084,575000.0,29216.194,145.104,479.867,979.817,145.104,479.867,979.817,,,,,,,0.0,81563035.7,0.091,70000.0,47626.876,115.943,156.402,204.149,115.943,156.402,204.149,,,,,,,0.0,97095720.967,0.062,880000.0,50803.861,82.732,465.754,2391.708,82.128,386.647,2342.165,246.665,2458.863,2655.912,251.982,2551.402,2661.442,0.0,126404175.433,0.07,565000.0
