x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_input_throughput,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_input_throughput,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_input_throughput,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_input_throughput,slog_aborts
1.0,27.766,31.293,1.382,0.572,115.0,0.0,5.426,31.13,0.015,0.572,14.0,0.0,36.874,31.29,0.011,0.572,176.0,0.0,25.328,31.293,0.01,0.572,113.0,0.0
10.0,66.403,31.299,0.067,0.572,1150.0,0.0,26.88,31.13,0.008,0.572,140.0,0.0,54.93,31.3,0.058,0.572,1760.0,0.0,73.15,31.3,0.069,0.572,1130.0,0.0
100.0,71.136,31.337,0.42,0.572,11500.0,0.0,60.761,31.136,0.063,0.572,1400.0,0.0,59.154,31.344,0.365,0.572,17600.0,0.0,77.192,31.337,0.406,0.572,11300.0,0.0
500.0,66.624,31.565,1.591,0.572,57500.0,0.0,72.009,31.149,0.294,0.572,7000.0,0.0,55.066,31.546,1.086,0.572,88000.0,0.0,74.939,31.542,1.599,0.572,56500.0,0.0
750.0,63.032,31.898,1.964,0.572,86250.0,0.0,67.514,31.178,0.42,0.572,10500.0,0.0,50.917,31.806,1.206,0.572,132000.0,0.0,69.587,31.869,1.875,0.572,84750.0,0.0
1000.0,66.44,32.229,2.068,0.572,115000.0,0.0,67.541,31.214,1.196,0.572,14000.0,0.0,54.343,32.039,1.192,0.572,176000.0,0.0,66.011,36.081,1.914,0.572,113000.0,0.0
1250.0,64.143,32.558,3.131,0.572,143750.0,0.0,70.293,31.26,0.965,0.572,17500.0,0.0,52.336,32.229,1.036,0.572,220000.0,0.0,65.853,36.161,1.997,0.572,141250.0,0.0
1500.0,60.86,32.854,1.957,0.572,173385.0,0.0,70.962,31.306,0.731,0.572,22238.0,0.0,52.301,32.413,1.062,0.572,265440.0,0.0,70.489,36.242,1.941,0.572,170034.0,0.0
2000.0,65.531,33.138,1.839,0.572,230000.0,0.0,67.203,31.382,0.908,0.572,28000.0,0.0,54.436,32.576,1.249,0.572,352000.0,0.0,71.278,36.341,1.6,0.572,226000.0,0.0
2500.0,62.234,33.335,2.065,0.572,287500.0,0.0,63.987,31.457,2.739,0.572,35000.0,0.0,56.909,32.743,1.17,0.572,440000.0,0.0,68.565,36.445,1.596,0.572,282500.0,0.0
5000.0,60.677,33.606,2.805,0.572,575000.0,0.0,65.037,31.576,1.384,0.572,70000.0,0.0,54.967,32.943,1.565,0.572,880000.0,0.0,70.932,36.544,2.093,0.572,565000.0,0.0
10000.0,65.139,33.913,2.242,0.572,1155901.0,0.0,62.907,31.747,1.644,0.572,148257.0,0.0,57.203,33.189,1.697,0.572,1769601.0,0.0,69.203,35.347,2.048,0.572,1133562.0,0.0
25000.0,65.536,34.304,2.022,0.572,2889753.0,0.0,66.953,31.953,1.747,0.572,370644.0,0.0,55.964,33.492,1.839,0.572,4424002.0,0.0,66.958,35.463,1.965,0.572,2833907.0,0.0
50000.0,64.419,34.509,1.98,0.572,5779506.0,0.0,60.67,32.225,1.692,0.572,741289.0,0.0,59.591,33.832,1.857,0.572,8848005.0,0.0,64.939,35.579,1.921,0.572,5667814.0,0.0
100000.0,62.688,34.8,2.069,0.572,11500000.0,0.0,60.71,32.596,1.768,0.572,1400000.0,0.0,52.329,34.279,1.56,0.572,17600000.0,0.0,66.244,35.694,1.963,0.572,11300000.0,0.0
250000.0,67.265,35.314,2.106,0.572,28897531.0,0.0,57.853,33.031,1.759,0.572,3706447.0,0.0,49.603,34.668,1.483,0.572,44240027.0,0.0,62.965,35.96,2.148,0.572,28339074.0,0.0
