x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,66.154,37.158,2.149,0.572,0.0,63.73,34.491,1.408,0.572,0.0,55.855,36.174,2.652,0.572,0.0,61.602,40.425,1.954,0.572,0.0
10.0,69.548,37.368,4.287,0.572,0.0,61.535,34.776,1.382,0.572,0.0,55.852,36.268,1.257,0.572,0.0,66.668,40.49,1.983,0.572,0.0
20.0,60.065,37.49,1.72,0.572,0.0,67.035,34.882,1.472,0.572,0.0,56.603,36.356,1.394,0.572,0.0,72.524,40.555,2.077,0.572,0.0
30.0,61.301,37.582,1.928,0.572,0.0,65.391,34.957,1.57,0.572,0.0,54.915,36.441,1.32,0.572,0.0,68.804,40.616,2.007,0.572,0.0
40.0,63.007,37.679,1.949,0.572,0.0,64.073,35.033,1.594,0.572,0.0,53.101,36.527,1.265,0.572,0.0,67.305,41.092,1.959,0.572,0.0
50.0,62.363,37.769,1.914,0.572,0.0,64.616,35.103,1.591,0.572,0.0,54.141,36.611,1.313,0.572,0.0,69.942,40.733,2.038,0.572,0.0
60.0,63.776,37.859,1.952,0.572,0.0,61.431,35.142,1.411,0.572,0.0,55.486,36.687,1.358,0.572,0.0,66.5,40.796,1.855,0.572,0.0
70.0,61.854,37.95,1.869,0.572,0.0,64.014,35.191,1.659,0.572,0.0,53.574,36.772,1.326,0.572,0.0,65.303,40.857,1.867,0.572,0.0
80.0,63.19,38.027,1.824,0.572,0.0,64.29,35.26,1.508,0.572,0.0,51.293,36.846,1.983,0.572,0.0,72.818,40.91,2.023,0.572,0.0
90.0,66.528,38.109,2.001,0.572,0.0,63.754,35.328,1.462,0.572,0.0,54.291,36.899,1.432,0.572,0.0,70.198,40.972,2.022,0.572,0.0
100.0,65.896,38.193,1.927,0.572,0.0,63.916,35.383,2.747,0.572,0.0,58.676,36.975,1.381,0.572,0.0,70.462,41.037,1.962,0.572,0.0
